71:	test: 0.8250964	best: 0.8250964 (71)	total: 5m 5s	remaining: 30m 14s
72:	test: 0.8253123	best: 0.8253123 (72)	total: 5m 10s	remaining: 30m 15s
73:	test: 0.8255379	best: 0.8255379 (73)	total: 5m 14s	remaining: 30m 11s
74:	test: 0.8257009	best: 0.8257009 (74)	total: 5m 19s	remaining: 30m 9s
75:	test: 0.8258791	best: 0.8258791 (75)	total: 5m 23s	remaining: 30m 6s
76:	test: 0.8260703	best: 0.8260703 (76)	total: 5m 27s	remaining: 30m
77:	test: 0.8262158	best: 0.8262158 (77)	total: 5m 32s	remaining: 29m 56s
78:	test: 0.8264280	best: 0.8264280 (78)	total: 5m 36s	remaining: 29m 53s
79:	test: 0.8265831	best: 0.8265831 (79)	total: 5m 40s	remaining: 29m 50s
80:	test: 0.8267165	best: 0.8267165 (80)	total: 5m 45s	remaining: 29m 44s
81:	test: 0.8269001	best: 0.8269001 (81)	total: 5m 49s	remaining: 29m 43s
82:	test: 0.8270724	best: 0.8270724 (82)	total: 5m 54s	remaining: 29m 43s
83:	test: 0.8272189	best: 0.8272189 (83)	total: 5m 59s	remaining: 29m 38s
84:	test: 0.8273903	best: 0.8273903 (84)	total: 6m 3s	remaining: 29m 36s
85:	test: 0.8275259	best: 0.8275259 (85)	total: 6m 8s	remaining: 29m 33s
86:	test: 0.8276741	best: 0.8276741 (86)	total: 6m 12s	remaining: 29m 28s
87:	test: 0.8278287	best: 0.8278287 (87)	total: 6m 16s	remaining: 29m 24s
88:	test: 0.8279724	best: 0.8279724 (88)	total: 6m 20s	remaining: 29m 18s
89:	test: 0.8281531	best: 0.8281531 (89)	total: 6m 24s	remaining: 29m 13s
90:	test: 0.8282654	best: 0.8282654 (90)	total: 6m 28s	remaining: 29m 7s
91:	test: 0.8284025	best: 0.8284025 (91)	total: 6m 33s	remaining: 29m 6s
92:	test: 0.8285366	best: 0.8285366 (92)	total: 6m 37s	remaining: 28m 59s
93:	test: 0.8286777	best: 0.8286777 (93)	total: 6m 42s	remaining: 28m 58s
94:	test: 0.8288227	best: 0.8288227 (94)	total: 6m 47s	remaining: 28m 57s
95:	test: 0.8289451	best: 0.8289451 (95)	total: 6m 51s	remaining: 28m 51s
96:	test: 0.8290553	best: 0.8290553 (96)	total: 6m 56s	remaining: 28m 48s
97:	test: 0.8292088	best: 0.8292088 (97)	total: 6m 59s	remaining: 28m 41s
98:	test: 0.8293536	best: 0.8293536 (98)	total: 7m 4s	remaining: 28m 38s
99:	test: 0.8294763	best: 0.8294763 (99)	total: 7m 8s	remaining: 28m 35s
100:	test: 0.8296356	best: 0.8296356 (100)	total: 7m 13s	remaining: 28m 32s
101:	test: 0.8298179	best: 0.8298179 (101)	total: 7m 17s	remaining: 28m 26s
102:	test: 0.8299047	best: 0.8299047 (102)	total: 7m 21s	remaining: 28m 20s
103:	test: 0.8299688	best: 0.8299688 (103)	total: 7m 25s	remaining: 28m 15s
104:	test: 0.8300796	best: 0.8300796 (104)	total: 7m 29s	remaining: 28m 11s
105:	test: 0.8302106	best: 0.8302106 (105)	total: 7m 33s	remaining: 28m 6s
106:	test: 0.8303390	best: 0.8303390 (106)	total: 7m 37s	remaining: 28m
107:	test: 0.8304430	best: 0.8304430 (107)	total: 7m 42s	remaining: 27m 58s
108:	test: 0.8305703	best: 0.8305703 (108)	total: 7m 48s	remaining: 28m
109:	test: 0.8306669	best: 0.8306669 (109)	total: 7m 52s	remaining: 27m 56s
110:	test: 0.8307870	best: 0.8307870 (110)	total: 7m 57s	remaining: 27m 52s
111:	test: 0.8309453	best: 0.8309453 (111)	total: 8m 1s	remaining: 27m 49s
112:	test: 0.8310862	best: 0.8310862 (112)	total: 8m 6s	remaining: 27m 46s
113:	test: 0.8311887	best: 0.8311887 (113)	total: 8m 10s	remaining: 27m 41s
114:	test: 0.8312903	best: 0.8312903 (114)	total: 8m 15s	remaining: 27m 39s
115:	test: 0.8313801	best: 0.8313801 (115)	total: 8m 19s	remaining: 27m 34s
116:	test: 0.8315386	best: 0.8315386 (116)	total: 8m 24s	remaining: 27m 32s
117:	test: 0.8316752	best: 0.8316752 (117)	total: 8m 28s	remaining: 27m 26s
118:	test: 0.8318004	best: 0.8318004 (118)	total: 8m 32s	remaining: 27m 20s
119:	test: 0.8319004	best: 0.8319004 (119)	total: 8m 36s	remaining: 27m 17s
120:	test: 0.8320325	best: 0.8320325 (120)	total: 8m 42s	remaining: 27m 15s
121:	test: 0.8320987	best: 0.8320987 (121)	total: 8m 46s	remaining: 27m 11s
122:	test: 0.8322042	best: 0.8322042 (122)	total: 8m 50s	remaining: 27m 5s
123:	test: 0.8323173	best: 0.8323173 (123)	total: 8m 55s	remaining: 27m 3s
124:	test: 0.8324115	best: 0.8324115 (124)	total: 8m 58s	remaining: 26m 55s
125:	test: 0.8325450	best: 0.8325450 (125)	total: 9m 3s	remaining: 26m 52s
126:	test: 0.8326271	best: 0.8326271 (126)	total: 9m 8s	remaining: 26m 49s
127:	test: 0.8327106	best: 0.8327106 (127)	total: 9m 11s	remaining: 26m 43s
128:	test: 0.8328052	best: 0.8328052 (128)	total: 9m 16s	remaining: 26m 41s
129:	test: 0.8329322	best: 0.8329322 (129)	total: 9m 23s	remaining: 26m 44s
130:	test: 0.8330265	best: 0.8330265 (130)	total: 9m 27s	remaining: 26m 38s
131:	test: 0.8331035	best: 0.8331035 (131)	total: 9m 31s	remaining: 26m 31s
132:	test: 0.8331655	best: 0.8331655 (132)	total: 9m 34s	remaining: 26m 26s
133:	test: 0.8332415	best: 0.8332415 (133)	total: 9m 38s	remaining: 26m 19s
134:	test: 0.8333343	best: 0.8333343 (134)	total: 9m 41s	remaining: 26m 13s
135:	test: 0.8334456	best: 0.8334456 (135)	total: 9m 45s	remaining: 26m 7s
136:	test: 0.8335270	best: 0.8335270 (136)	total: 9m 51s	remaining: 26m 6s
137:	test: 0.8336142	best: 0.8336142 (137)	total: 9m 55s	remaining: 26m 1s
138:	test: 0.8337261	best: 0.8337261 (138)	total: 10m	remaining: 26m
139:	test: 0.8338224	best: 0.8338224 (139)	total: 10m 4s	remaining: 25m 55s
140:	test: 0.8338870	best: 0.8338870 (140)	total: 10m 8s	remaining: 25m 50s
141:	test: 0.8339872	best: 0.8339872 (141)	total: 10m 13s	remaining: 25m 47s
142:	test: 0.8341073	best: 0.8341073 (142)	total: 10m 18s	remaining: 25m 45s
143:	test: 0.8341895	best: 0.8341895 (143)	total: 10m 23s	remaining: 25m 42s
144:	test: 0.8342672	best: 0.8342672 (144)	total: 10m 28s	remaining: 25m 37s
145:	test: 0.8343315	best: 0.8343315 (145)	total: 10m 31s	remaining: 25m 31s
146:	test: 0.8343890	best: 0.8343890 (146)	total: 10m 35s	remaining: 25m 25s
147:	test: 0.8344434	best: 0.8344434 (147)	total: 10m 38s	remaining: 25m 18s
148:	test: 0.8345351	best: 0.8345351 (148)	total: 10m 43s	remaining: 25m 15s
