72:	test: 0.7835743	best: 0.7835743 (72)	total: 1m 53s	remaining: 11m 2s
73:	test: 0.7836906	best: 0.7836906 (73)	total: 1m 54s	remaining: 11m 1s
74:	test: 0.7836342	best: 0.7836906 (73)	total: 1m 56s	remaining: 10m 59s
75:	test: 0.7836894	best: 0.7836906 (73)	total: 1m 58s	remaining: 10m 58s
76:	test: 0.7838927	best: 0.7838927 (76)	total: 1m 59s	remaining: 10m 56s
77:	test: 0.7838879	best: 0.7838927 (76)	total: 2m	remaining: 10m 54s
78:	test: 0.7837128	best: 0.7838927 (76)	total: 2m 2s	remaining: 10m 52s
79:	test: 0.7838173	best: 0.7838927 (76)	total: 2m 3s	remaining: 10m 50s
80:	test: 0.7843491	best: 0.7843491 (80)	total: 2m 5s	remaining: 10m 48s
81:	test: 0.7846524	best: 0.7846524 (81)	total: 2m 7s	remaining: 10m 47s
82:	test: 0.7849238	best: 0.7849238 (82)	total: 2m 8s	remaining: 10m 45s
83:	test: 0.7849045	best: 0.7849238 (82)	total: 2m 10s	remaining: 10m 44s
84:	test: 0.7850495	best: 0.7850495 (84)	total: 2m 11s	remaining: 10m 42s
85:	test: 0.7848938	best: 0.7850495 (84)	total: 2m 13s	remaining: 10m 41s
86:	test: 0.7855457	best: 0.7855457 (86)	total: 2m 14s	remaining: 10m 39s
87:	test: 0.7854326	best: 0.7855457 (86)	total: 2m 16s	remaining: 10m 38s
88:	test: 0.7857253	best: 0.7857253 (88)	total: 2m 17s	remaining: 10m 37s
89:	test: 0.7855619	best: 0.7857253 (88)	total: 2m 19s	remaining: 10m 35s
90:	test: 0.7855393	best: 0.7857253 (88)	total: 2m 21s	remaining: 10m 34s
91:	test: 0.7856512	best: 0.7857253 (88)	total: 2m 22s	remaining: 10m 31s
92:	test: 0.7860990	best: 0.7860990 (92)	total: 2m 24s	remaining: 10m 30s
93:	test: 0.7859688	best: 0.7860990 (92)	total: 2m 25s	remaining: 10m 29s
94:	test: 0.7855669	best: 0.7860990 (92)	total: 2m 27s	remaining: 10m 28s
95:	test: 0.7856758	best: 0.7860990 (92)	total: 2m 28s	remaining: 10m 26s
96:	test: 0.7857813	best: 0.7860990 (92)	total: 2m 30s	remaining: 10m 25s
97:	test: 0.7861318	best: 0.7861318 (97)	total: 2m 32s	remaining: 10m 24s
98:	test: 0.7863931	best: 0.7863931 (98)	total: 2m 34s	remaining: 10m 24s
99:	test: 0.7863436	best: 0.7863931 (98)	total: 2m 35s	remaining: 10m 23s
100:	test: 0.7864850	best: 0.7864850 (100)	total: 2m 37s	remaining: 10m 21s
101:	test: 0.7866775	best: 0.7866775 (101)	total: 2m 39s	remaining: 10m 21s
102:	test: 0.7869248	best: 0.7869248 (102)	total: 2m 40s	remaining: 10m 19s
103:	test: 0.7868078	best: 0.7869248 (102)	total: 2m 42s	remaining: 10m 18s
104:	test: 0.7866900	best: 0.7869248 (102)	total: 2m 43s	remaining: 10m 16s
105:	test: 0.7868717	best: 0.7869248 (102)	total: 2m 45s	remaining: 10m 15s
106:	test: 0.7871089	best: 0.7871089 (106)	total: 2m 46s	remaining: 10m 13s
107:	test: 0.7872383	best: 0.7872383 (107)	total: 2m 48s	remaining: 10m 12s
108:	test: 0.7873961	best: 0.7873961 (108)	total: 2m 49s	remaining: 10m 9s
109:	test: 0.7874067	best: 0.7874067 (109)	total: 2m 51s	remaining: 10m 8s
110:	test: 0.7873464	best: 0.7874067 (109)	total: 2m 53s	remaining: 10m 6s
111:	test: 0.7873189	best: 0.7874067 (109)	total: 2m 54s	remaining: 10m 4s
112:	test: 0.7873854	best: 0.7874067 (109)	total: 2m 56s	remaining: 10m 3s
113:	test: 0.7873321	best: 0.7874067 (109)	total: 2m 57s	remaining: 10m 2s
114:	test: 0.7876218	best: 0.7876218 (114)	total: 2m 59s	remaining: 10m
115:	test: 0.7875531	best: 0.7876218 (114)	total: 3m	remaining: 9m 58s
116:	test: 0.7875428	best: 0.7876218 (114)	total: 3m 2s	remaining: 9m 57s
117:	test: 0.7876185	best: 0.7876218 (114)	total: 3m 4s	remaining: 9m 56s
118:	test: 0.7877297	best: 0.7877297 (118)	total: 3m 5s	remaining: 9m 54s
119:	test: 0.7877989	best: 0.7877989 (119)	total: 3m 7s	remaining: 9m 52s
120:	test: 0.7879423	best: 0.7879423 (120)	total: 3m 8s	remaining: 9m 51s
121:	test: 0.7881770	best: 0.7881770 (121)	total: 3m 10s	remaining: 9m 50s
122:	test: 0.7880604	best: 0.7881770 (121)	total: 3m 11s	remaining: 9m 47s
123:	test: 0.7880252	best: 0.7881770 (121)	total: 3m 13s	remaining: 9m 45s
124:	test: 0.7881702	best: 0.7881770 (121)	total: 3m 15s	remaining: 9m 45s
125:	test: 0.7883278	best: 0.7883278 (125)	total: 3m 16s	remaining: 9m 44s
126:	test: 0.7883288	best: 0.7883288 (126)	total: 3m 18s	remaining: 9m 43s
127:	test: 0.7885212	best: 0.7885212 (127)	total: 3m 20s	remaining: 9m 42s
128:	test: 0.7885603	best: 0.7885603 (128)	total: 3m 22s	remaining: 9m 41s
129:	test: 0.7884511	best: 0.7885603 (128)	total: 3m 23s	remaining: 9m 38s
130:	test: 0.7884798	best: 0.7885603 (128)	total: 3m 24s	remaining: 9m 36s
131:	test: 0.7884395	best: 0.7885603 (128)	total: 3m 26s	remaining: 9m 34s
132:	test: 0.7882399	best: 0.7885603 (128)	total: 3m 27s	remaining: 9m 33s
133:	test: 0.7885354	best: 0.7885603 (128)	total: 3m 29s	remaining: 9m 32s
134:	test: 0.7882491	best: 0.7885603 (128)	total: 3m 31s	remaining: 9m 30s
135:	test: 0.7883840	best: 0.7885603 (128)	total: 3m 32s	remaining: 9m 28s
136:	test: 0.7884741	best: 0.7885603 (128)	total: 3m 33s	remaining: 9m 26s
137:	test: 0.7884594	best: 0.7885603 (128)	total: 3m 35s	remaining: 9m 26s
138:	test: 0.7885526	best: 0.7885603 (128)	total: 3m 37s	remaining: 9m 24s
139:	test: 0.7886821	best: 0.7886821 (139)	total: 3m 39s	remaining: 9m 23s
140:	test: 0.7885683	best: 0.7886821 (139)	total: 3m 40s	remaining: 9m 21s
141:	test: 0.7885984	best: 0.7886821 (139)	total: 3m 42s	remaining: 9m 19s
142:	test: 0.7885975	best: 0.7886821 (139)	total: 3m 43s	remaining: 9m 17s
143:	test: 0.7887804	best: 0.7887804 (143)	total: 3m 44s	remaining: 9m 15s
144:	test: 0.7887894	best: 0.7887894 (144)	total: 3m 46s	remaining: 9m 14s
145:	test: 0.7888031	best: 0.7888031 (145)	total: 3m 48s	remaining: 9m 13s
146:	test: 0.7887900	best: 0.7888031 (145)	total: 3m 49s	remaining: 9m 12s
147:	test: 0.7887645	best: 0.7888031 (145)	total: 3m 52s	remaining: 9m 12s
148:	test: 0.7887427	best: 0.7888031 (145)	total: 3m 53s	remaining: 9m 10s
149:	test: 0.7886263	best: 0.7888031 (145)	total: 3m 55s	remaining: 9m 8s
150:	test: 0.7887568	best: 0.7888031 (145)	total: 3m 56s	remaining: 9m 7s
151:	test: 0.7886797	best: 0.7888031 (145)	total: 3m 58s	remaining: 9m 5s
152:	test: 0.7889456	best: 0.7889456 (152)	total: 4m	remaining: 9m 4s
153:	test: 0.7888189	best: 0.7889456 (152)	total: 4m 1s	remaining: 9m 3s
154:	test: 0.7890231	best: 0.7890231 (154)	total: 4m 3s	remaining: 9m 2s
155:	test: 0.7892001	best: 0.7892001 (155)	total: 4m 4s	remaining: 9m
156:	test: 0.7891683	best: 0.7892001 (155)	total: 4m 6s	remaining: 8m 58s
157:	test: 0.7889838	best: 0.7892001 (155)	total: 4m 8s	remaining: 8m 57s
158:	test: 0.7891013	best: 0.7892001 (155)	total: 4m 9s	remaining: 8m 55s
159:	test: 0.7892156	best: 0.7892156 (159)	total: 4m 11s	remaining: 8m 53s
160:	test: 0.7891723	best: 0.7892156 (159)	total: 4m 12s	remaining: 8m 52s
161:	test: 0.7892581	best: 0.7892581 (161)	total: 4m 14s	remaining: 8m 50s
162:	test: 0.7893017	best: 0.7893017 (162)	total: 4m 16s	remaining: 8m 49s
163:	test: 0.7894737	best: 0.7894737 (163)	total: 4m 17s	remaining: 8m 48s
164:	test: 0.7894154	best: 0.7894737 (163)	total: 4m 19s	remaining: 8m 46s
165:	test: 0.7894772	best: 0.7894772 (165)	total: 4m 20s	remaining: 8m 44s
166:	test: 0.7894900	best: 0.7894900 (166)	total: 4m 22s	remaining: 8m 44s
167:	test: 0.7895877	best: 0.7895877 (167)	total: 4m 24s	remaining: 8m 41s
168:	test: 0.7898398	best: 0.7898398 (168)	total: 4m 25s	remaining: 8m 40s
169:	test: 0.7899329	best: 0.7899329 (169)	total: 4m 27s	remaining: 8m 38s
170:	test: 0.7899448	best: 0.7899448 (170)	total: 4m 28s	remaining: 8m 37s
171:	test: 0.7900353	best: 0.7900353 (171)	total: 4m 30s	remaining: 8m 34s
172:	test: 0.7900777	best: 0.7900777 (172)	total: 4m 31s	remaining: 8m 33s
173:	test: 0.7901271	best: 0.7901271 (173)	total: 4m 33s	remaining: 8m 31s
174:	test: 0.7900942	best: 0.7901271 (173)	total: 4m 34s	remaining: 8m 29s
175:	test: 0.7900420	best: 0.7901271 (173)	total: 4m 36s	remaining: 8m 28s
176:	test: 0.7902004	best: 0.7902004 (176)	total: 4m 38s	remaining: 8m 27s
177:	test: 0.7903650	best: 0.7903650 (177)	total: 4m 39s	remaining: 8m 25s
178:	test: 0.7905194	best: 0.7905194 (178)	total: 4m 41s	remaining: 8m 25s
179:	test: 0.7901995	best: 0.7905194 (178)	total: 4m 42s	remaining: 8m 22s
180:	test: 0.7901317	best: 0.7905194 (178)	total: 4m 44s	remaining: 8m 21s
181:	test: 0.7901592	best: 0.7905194 (178)	total: 4m 46s	remaining: 8m 19s
182:	test: 0.7901659	best: 0.7905194 (178)	total: 4m 47s	remaining: 8m 18s
183:	test: 0.7900445	best: 0.7905194 (178)	total: 4m 49s	remaining: 8m 17s
184:	test: 0.7902300	best: 0.7905194 (178)	total: 4m 50s	remaining: 8m 15s
185:	test: 0.7901261	best: 0.7905194 (178)	total: 4m 52s	remaining: 8m 13s
186:	test: 0.7900249	best: 0.7905194 (178)	total: 4m 54s	remaining: 8m 12s
187:	test: 0.7900312	best: 0.7905194 (178)	total: 4m 55s	remaining: 8m 11s
188:	test: 0.7898919	best: 0.7905194 (178)	total: 4m 57s	remaining: 8m 9s
189:	test: 0.7899164	best: 0.7905194 (178)	total: 4m 58s	remaining: 8m 7s
190:	test: 0.7900623	best: 0.7905194 (178)	total: 5m	remaining: 8m 5s
191:	test: 0.7901907	best: 0.7905194 (178)	total: 5m 1s	remaining: 8m 3s
192:	test: 0.7899912	best: 0.7905194 (178)	total: 5m 3s	remaining: 8m 2s
193:	test: 0.7899603	best: 0.7905194 (178)	total: 5m 4s	remaining: 8m
194:	test: 0.7900131	best: 0.7905194 (178)	total: 5m 6s	remaining: 7m 58s
195:	test: 0.7901590	best: 0.7905194 (178)	total: 5m 7s	remaining: 7m 57s
196:	test: 0.7901497	best: 0.7905194 (178)	total: 5m 9s	remaining: 7m 55s
197:	test: 0.7903333	best: 0.7905194 (178)	total: 5m 11s	remaining: 7m 54s
198:	test: 0.7902760	best: 0.7905194 (178)	total: 5m 12s	remaining: 7m 53s
199:	test: 0.7901934	best: 0.7905194 (178)	total: 5m 14s	remaining: 7m 51s
200:	test: 0.7904510	best: 0.7905194 (178)	total: 5m 16s	remaining: 7m 50s
