71:	test: 0.9117103	best: 0.9117103 (71)	total: 4m 49s	remaining: 28m 43s
72:	test: 0.9121732	best: 0.9121732 (72)	total: 4m 53s	remaining: 28m 37s
73:	test: 0.9126350	best: 0.9126350 (73)	total: 4m 57s	remaining: 28m 31s
74:	test: 0.9130877	best: 0.9130877 (74)	total: 5m	remaining: 28m 25s
75:	test: 0.9135099	best: 0.9135099 (75)	total: 5m 4s	remaining: 28m 19s
76:	test: 0.9137868	best: 0.9137868 (76)	total: 5m 8s	remaining: 28m 15s
77:	test: 0.9141442	best: 0.9141442 (77)	total: 5m 12s	remaining: 28m 10s
78:	test: 0.9145990	best: 0.9145990 (78)	total: 5m 16s	remaining: 28m 4s
79:	test: 0.9149936	best: 0.9149936 (79)	total: 5m 19s	remaining: 27m 59s
80:	test: 0.9154216	best: 0.9154216 (80)	total: 5m 23s	remaining: 27m 54s
81:	test: 0.9156964	best: 0.9156964 (81)	total: 5m 27s	remaining: 27m 48s
82:	test: 0.9160577	best: 0.9160577 (82)	total: 5m 31s	remaining: 27m 44s
83:	test: 0.9163496	best: 0.9163496 (83)	total: 5m 34s	remaining: 27m 37s
84:	test: 0.9166546	best: 0.9166546 (84)	total: 5m 38s	remaining: 27m 32s
85:	test: 0.9169669	best: 0.9169669 (85)	total: 5m 42s	remaining: 27m 27s
86:	test: 0.9172758	best: 0.9172758 (86)	total: 5m 45s	remaining: 27m 21s
87:	test: 0.9175462	best: 0.9175462 (87)	total: 5m 49s	remaining: 27m 16s
88:	test: 0.9179176	best: 0.9179176 (88)	total: 5m 53s	remaining: 27m 11s
89:	test: 0.9182318	best: 0.9182318 (89)	total: 5m 56s	remaining: 27m 5s
90:	test: 0.9185575	best: 0.9185575 (90)	total: 6m	remaining: 27m
91:	test: 0.9188688	best: 0.9188688 (91)	total: 6m 4s	remaining: 26m 54s
92:	test: 0.9191397	best: 0.9191397 (92)	total: 6m 7s	remaining: 26m 49s
93:	test: 0.9194129	best: 0.9194129 (93)	total: 6m 11s	remaining: 26m 43s
94:	test: 0.9196951	best: 0.9196951 (94)	total: 6m 14s	remaining: 26m 38s
95:	test: 0.9199643	best: 0.9199643 (95)	total: 6m 18s	remaining: 26m 34s
96:	test: 0.9202389	best: 0.9202389 (96)	total: 6m 22s	remaining: 26m 29s
97:	test: 0.9204797	best: 0.9204797 (97)	total: 6m 26s	remaining: 26m 25s
98:	test: 0.9206467	best: 0.9206467 (98)	total: 6m 29s	remaining: 26m 19s
99:	test: 0.9208743	best: 0.9208743 (99)	total: 6m 33s	remaining: 26m 15s
100:	test: 0.9211455	best: 0.9211455 (100)	total: 6m 37s	remaining: 26m 10s
101:	test: 0.9213703	best: 0.9213703 (101)	total: 6m 41s	remaining: 26m 5s
