0:	test: 0.6881949	best: 0.6881949 (0)	total: 1.67s	remaining: 13m 52s
1:	test: 0.7248380	best: 0.7248380 (1)	total: 3.3s	remaining: 13m 41s
2:	test: 0.7370300	best: 0.7370300 (2)	total: 4.97s	remaining: 13m 44s
3:	test: 0.7456799	best: 0.7456799 (3)	total: 6.55s	remaining: 13m 32s
4:	test: 0.7491978	best: 0.7491978 (4)	total: 8.13s	remaining: 13m 24s
5:	test: 0.7523195	best: 0.7523195 (5)	total: 9.72s	remaining: 13m 20s
6:	test: 0.7549904	best: 0.7549904 (6)	total: 11.4s	remaining: 13m 21s
7:	test: 0.7578856	best: 0.7578856 (7)	total: 13s	remaining: 13m 18s
8:	test: 0.7589290	best: 0.7589290 (8)	total: 14.6s	remaining: 13m 15s
9:	test: 0.7601408	best: 0.7601408 (9)	total: 16.1s	remaining: 13m 7s
10:	test: 0.7611254	best: 0.7611254 (10)	total: 17.9s	remaining: 13m 16s
11:	test: 0.7625109	best: 0.7625109 (11)	total: 19.8s	remaining: 13m 25s
12:	test: 0.7639862	best: 0.7639862 (12)	total: 21.3s	remaining: 13m 18s
13:	test: 0.7645952	best: 0.7645952 (13)	total: 22.8s	remaining: 13m 11s
14:	test: 0.7652963	best: 0.7652963 (14)	total: 24.4s	remaining: 13m 8s
15:	test: 0.7656770	best: 0.7656770 (15)	total: 25.8s	remaining: 13m 1s
16:	test: 0.7666905	best: 0.7666905 (16)	total: 27.4s	remaining: 12m 57s
17:	test: 0.7676361	best: 0.7676361 (17)	total: 28.9s	remaining: 12m 54s
18:	test: 0.7680301	best: 0.7680301 (18)	total: 30.4s	remaining: 12m 49s
19:	test: 0.7687812	best: 0.7687812 (19)	total: 31.9s	remaining: 12m 44s
20:	test: 0.7691372	best: 0.7691372 (20)	total: 33.4s	remaining: 12m 42s
21:	test: 0.7696577	best: 0.7696577 (21)	total: 35.2s	remaining: 12m 45s
22:	test: 0.7699315	best: 0.7699315 (22)	total: 37.1s	remaining: 12m 48s
23:	test: 0.7706981	best: 0.7706981 (23)	total: 38.5s	remaining: 12m 43s
24:	test: 0.7712089	best: 0.7712089 (24)	total: 40.2s	remaining: 12m 43s
25:	test: 0.7719846	best: 0.7719846 (25)	total: 41.8s	remaining: 12m 42s
26:	test: 0.7724404	best: 0.7724404 (26)	total: 43.4s	remaining: 12m 39s
27:	test: 0.7726913	best: 0.7726913 (27)	total: 44.7s	remaining: 12m 34s
28:	test: 0.7732435	best: 0.7732435 (28)	total: 46.4s	remaining: 12m 33s
29:	test: 0.7744033	best: 0.7744033 (29)	total: 48.1s	remaining: 12m 33s
30:	test: 0.7745542	best: 0.7745542 (30)	total: 49.6s	remaining: 12m 29s
31:	test: 0.7750283	best: 0.7750283 (31)	total: 51s	remaining: 12m 25s
32:	test: 0.7754977	best: 0.7754977 (32)	total: 52.5s	remaining: 12m 23s
33:	test: 0.7759221	best: 0.7759221 (33)	total: 54s	remaining: 12m 20s
34:	test: 0.7761208	best: 0.7761208 (34)	total: 55.6s	remaining: 12m 19s
35:	test: 0.7761965	best: 0.7761965 (35)	total: 57.2s	remaining: 12m 17s
36:	test: 0.7761237	best: 0.7761965 (35)	total: 58.8s	remaining: 12m 16s
37:	test: 0.7768260	best: 0.7768260 (37)	total: 1m	remaining: 12m 15s
38:	test: 0.7771336	best: 0.7771336 (38)	total: 1m 1s	remaining: 12m 12s
39:	test: 0.7773583	best: 0.7773583 (39)	total: 1m 3s	remaining: 12m 10s
40:	test: 0.7772026	best: 0.7773583 (39)	total: 1m 4s	remaining: 12m 6s
41:	test: 0.7775371	best: 0.7775371 (41)	total: 1m 6s	remaining: 12m 4s
42:	test: 0.7777705	best: 0.7777705 (42)	total: 1m 7s	remaining: 12m 1s
43:	test: 0.7780132	best: 0.7780132 (43)	total: 1m 9s	remaining: 11m 59s
44:	test: 0.7780967	best: 0.7780967 (44)	total: 1m 10s	remaining: 11m 57s
45:	test: 0.7785602	best: 0.7785602 (45)	total: 1m 12s	remaining: 11m 56s
46:	test: 0.7788230	best: 0.7788230 (46)	total: 1m 14s	remaining: 11m 56s
47:	test: 0.7787772	best: 0.7788230 (46)	total: 1m 15s	remaining: 11m 55s
48:	test: 0.7793652	best: 0.7793652 (48)	total: 1m 17s	remaining: 11m 53s
