0:	test: 0.7638025	best: 0.7638025 (0)	total: 3.65s	remaining: 30m 22s
1:	test: 0.7701655	best: 0.7701655 (1)	total: 7.02s	remaining: 29m 7s
2:	test: 0.7761931	best: 0.7761931 (2)	total: 10.5s	remaining: 28m 58s
3:	test: 0.7791004	best: 0.7791004 (3)	total: 13.9s	remaining: 28m 49s
4:	test: 0.7816392	best: 0.7816392 (4)	total: 17.5s	remaining: 28m 51s
5:	test: 0.7843526	best: 0.7843526 (5)	total: 21s	remaining: 28m 46s
6:	test: 0.7865917	best: 0.7865917 (6)	total: 24.3s	remaining: 28m 33s
7:	test: 0.7886653	best: 0.7886653 (7)	total: 27.8s	remaining: 28m 30s
8:	test: 0.7903558	best: 0.7903558 (8)	total: 31.5s	remaining: 28m 40s
9:	test: 0.7923705	best: 0.7923705 (9)	total: 35.5s	remaining: 28m 57s
10:	test: 0.7945723	best: 0.7945723 (10)	total: 39s	remaining: 28m 53s
11:	test: 0.7960904	best: 0.7960904 (11)	total: 42.4s	remaining: 28m 44s
12:	test: 0.7974244	best: 0.7974244 (12)	total: 46s	remaining: 28m 43s
13:	test: 0.7988906	best: 0.7988906 (13)	total: 49.7s	remaining: 28m 45s
14:	test: 0.8001840	best: 0.8001840 (14)	total: 53.2s	remaining: 28m 40s
15:	test: 0.8011673	best: 0.8011673 (15)	total: 56.6s	remaining: 28m 31s
16:	test: 0.8026022	best: 0.8026022 (16)	total: 1m	remaining: 28m 31s
17:	test: 0.8035975	best: 0.8035975 (17)	total: 1m 3s	remaining: 28m 33s
18:	test: 0.8046604	best: 0.8046604 (18)	total: 1m 7s	remaining: 28m 29s
19:	test: 0.8054027	best: 0.8054027 (19)	total: 1m 11s	remaining: 28m 25s
20:	test: 0.8062658	best: 0.8062658 (20)	total: 1m 14s	remaining: 28m 18s
21:	test: 0.8071053	best: 0.8071053 (21)	total: 1m 17s	remaining: 28m 13s
22:	test: 0.8078826	best: 0.8078826 (22)	total: 1m 21s	remaining: 28m 13s
23:	test: 0.8087130	best: 0.8087130 (23)	total: 1m 25s	remaining: 28m 10s
24:	test: 0.8093179	best: 0.8093179 (24)	total: 1m 28s	remaining: 28m 6s
