71:	test: 0.5064624	best: 0.5064624 (71)	total: 3m 17s	remaining: 19m 36s
72:	test: 0.5065850	best: 0.5065850 (72)	total: 3m 20s	remaining: 19m 32s
73:	test: 0.5066908	best: 0.5066908 (73)	total: 3m 23s	remaining: 19m 29s
74:	test: 0.5071466	best: 0.5071466 (74)	total: 3m 26s	remaining: 19m 28s
75:	test: 0.5070751	best: 0.5071466 (74)	total: 3m 29s	remaining: 19m 26s
76:	test: 0.5071096	best: 0.5071466 (74)	total: 3m 31s	remaining: 19m 22s
77:	test: 0.5073512	best: 0.5073512 (77)	total: 3m 34s	remaining: 19m 18s
78:	test: 0.5073821	best: 0.5073821 (78)	total: 3m 36s	remaining: 19m 12s
79:	test: 0.5073324	best: 0.5073821 (78)	total: 3m 39s	remaining: 19m 10s
80:	test: 0.5075461	best: 0.5075461 (80)	total: 3m 41s	remaining: 19m 5s
81:	test: 0.5077434	best: 0.5077434 (81)	total: 3m 44s	remaining: 19m 3s
82:	test: 0.5080861	best: 0.5080861 (82)	total: 3m 47s	remaining: 19m 1s
83:	test: 0.5083807	best: 0.5083807 (83)	total: 3m 49s	remaining: 18m 58s
84:	test: 0.5087635	best: 0.5087635 (84)	total: 3m 52s	remaining: 18m 54s
85:	test: 0.5088016	best: 0.5088016 (85)	total: 3m 54s	remaining: 18m 50s
86:	test: 0.5087344	best: 0.5088016 (85)	total: 3m 57s	remaining: 18m 48s
87:	test: 0.5088815	best: 0.5088815 (87)	total: 4m	remaining: 18m 45s
88:	test: 0.5088509	best: 0.5088815 (87)	total: 4m 3s	remaining: 18m 43s
89:	test: 0.5089560	best: 0.5089560 (89)	total: 4m 6s	remaining: 18m 42s
90:	test: 0.5091968	best: 0.5091968 (90)	total: 4m 9s	remaining: 18m 39s
91:	test: 0.5096023	best: 0.5096023 (91)	total: 4m 11s	remaining: 18m 36s
92:	test: 0.5096486	best: 0.5096486 (92)	total: 4m 14s	remaining: 18m 34s
93:	test: 0.5096735	best: 0.5096735 (93)	total: 4m 17s	remaining: 18m 31s
94:	test: 0.5099589	best: 0.5099589 (94)	total: 4m 20s	remaining: 18m 28s
95:	test: 0.5101115	best: 0.5101115 (95)	total: 4m 22s	remaining: 18m 26s
96:	test: 0.5099007	best: 0.5101115 (95)	total: 4m 25s	remaining: 18m 24s
97:	test: 0.5100182	best: 0.5101115 (95)	total: 4m 28s	remaining: 18m 21s
98:	test: 0.5101347	best: 0.5101347 (98)	total: 4m 31s	remaining: 18m 18s
99:	test: 0.5102643	best: 0.5102643 (99)	total: 4m 33s	remaining: 18m 14s
100:	test: 0.5103729	best: 0.5103729 (100)	total: 4m 36s	remaining: 18m 10s
101:	test: 0.5105233	best: 0.5105233 (101)	total: 4m 38s	remaining: 18m 6s
102:	test: 0.5107348	best: 0.5107348 (102)	total: 4m 41s	remaining: 18m 4s
103:	test: 0.5110233	best: 0.5110233 (103)	total: 4m 44s	remaining: 18m 4s
104:	test: 0.5109552	best: 0.5110233 (103)	total: 4m 47s	remaining: 18m 2s
105:	test: 0.5110634	best: 0.5110634 (105)	total: 4m 50s	remaining: 18m 1s
106:	test: 0.5109106	best: 0.5110634 (105)	total: 4m 53s	remaining: 17m 58s
107:	test: 0.5112777	best: 0.5112777 (107)	total: 4m 56s	remaining: 17m 55s
108:	test: 0.5116646	best: 0.5116646 (108)	total: 4m 58s	remaining: 17m 51s
109:	test: 0.5115030	best: 0.5116646 (108)	total: 5m 2s	remaining: 17m 51s
110:	test: 0.5116755	best: 0.5116755 (110)	total: 5m 4s	remaining: 17m 48s
111:	test: 0.5117459	best: 0.5117459 (111)	total: 5m 7s	remaining: 17m 44s
112:	test: 0.5116624	best: 0.5117459 (111)	total: 5m 10s	remaining: 17m 41s
113:	test: 0.5117501	best: 0.5117501 (113)	total: 5m 12s	remaining: 17m 38s
114:	test: 0.5117593	best: 0.5117593 (114)	total: 5m 15s	remaining: 17m 35s
115:	test: 0.5117902	best: 0.5117902 (115)	total: 5m 17s	remaining: 17m 32s
116:	test: 0.5116827	best: 0.5117902 (115)	total: 5m 20s	remaining: 17m 28s
117:	test: 0.5116098	best: 0.5117902 (115)	total: 5m 22s	remaining: 17m 25s
118:	test: 0.5117338	best: 0.5117902 (115)	total: 5m 25s	remaining: 17m 21s
119:	test: 0.5119780	best: 0.5119780 (119)	total: 5m 28s	remaining: 17m 19s
120:	test: 0.5116684	best: 0.5119780 (119)	total: 5m 31s	remaining: 17m 17s
121:	test: 0.5119211	best: 0.5119780 (119)	total: 5m 33s	remaining: 17m 14s
122:	test: 0.5122073	best: 0.5122073 (122)	total: 5m 36s	remaining: 17m 11s
123:	test: 0.5120935	best: 0.5122073 (122)	total: 5m 39s	remaining: 17m 10s
124:	test: 0.5122788	best: 0.5122788 (124)	total: 5m 43s	remaining: 17m 9s
125:	test: 0.5124840	best: 0.5124840 (125)	total: 5m 46s	remaining: 17m 7s
126:	test: 0.5126804	best: 0.5126804 (126)	total: 5m 49s	remaining: 17m 5s
127:	test: 0.5128559	best: 0.5128559 (127)	total: 5m 51s	remaining: 17m 2s
128:	test: 0.5129102	best: 0.5129102 (128)	total: 5m 54s	remaining: 16m 59s
129:	test: 0.5129169	best: 0.5129169 (129)	total: 5m 57s	remaining: 16m 57s
130:	test: 0.5130920	best: 0.5130920 (130)	total: 6m	remaining: 16m 55s
131:	test: 0.5130558	best: 0.5130920 (130)	total: 6m 2s	remaining: 16m 51s
132:	test: 0.5129024	best: 0.5130920 (130)	total: 6m 6s	remaining: 16m 50s
133:	test: 0.5128885	best: 0.5130920 (130)	total: 6m 9s	remaining: 16m 48s
134:	test: 0.5130880	best: 0.5130920 (130)	total: 6m 11s	remaining: 16m 45s
135:	test: 0.5131650	best: 0.5131650 (135)	total: 6m 14s	remaining: 16m 42s
136:	test: 0.5132013	best: 0.5132013 (136)	total: 6m 17s	remaining: 16m 39s
137:	test: 0.5132062	best: 0.5132062 (137)	total: 6m 19s	remaining: 16m 36s
138:	test: 0.5131514	best: 0.5132062 (137)	total: 6m 22s	remaining: 16m 33s
139:	test: 0.5133212	best: 0.5133212 (139)	total: 6m 25s	remaining: 16m 31s
140:	test: 0.5133354	best: 0.5133354 (140)	total: 6m 29s	remaining: 16m 30s
141:	test: 0.5132612	best: 0.5133354 (140)	total: 6m 32s	remaining: 16m 28s
142:	test: 0.5133220	best: 0.5133354 (140)	total: 6m 34s	remaining: 16m 24s
143:	test: 0.5134612	best: 0.5134612 (143)	total: 6m 36s	remaining: 16m 21s
144:	test: 0.5135129	best: 0.5135129 (144)	total: 6m 39s	remaining: 16m 18s
145:	test: 0.5134839	best: 0.5135129 (144)	total: 6m 42s	remaining: 16m 15s
146:	test: 0.5134681	best: 0.5135129 (144)	total: 6m 45s	remaining: 16m 13s
147:	test: 0.5132486	best: 0.5135129 (144)	total: 6m 48s	remaining: 16m 11s
148:	test: 0.5132511	best: 0.5135129 (144)	total: 6m 50s	remaining: 16m 7s
149:	test: 0.5133719	best: 0.5135129 (144)	total: 6m 53s	remaining: 16m 5s
150:	test: 0.5134720	best: 0.5135129 (144)	total: 6m 55s	remaining: 16m 1s
151:	test: 0.5136455	best: 0.5136455 (151)	total: 6m 58s	remaining: 15m 58s
152:	test: 0.5135427	best: 0.5136455 (151)	total: 7m 1s	remaining: 15m 55s
153:	test: 0.5135983	best: 0.5136455 (151)	total: 7m 4s	remaining: 15m 53s
154:	test: 0.5136246	best: 0.5136455 (151)	total: 7m 7s	remaining: 15m 50s
155:	test: 0.5137509	best: 0.5137509 (155)	total: 7m 9s	remaining: 15m 46s
156:	test: 0.5136898	best: 0.5137509 (155)	total: 7m 11s	remaining: 15m 42s
157:	test: 0.5137228	best: 0.5137509 (155)	total: 7m 14s	remaining: 15m 40s
158:	test: 0.5137916	best: 0.5137916 (158)	total: 7m 16s	remaining: 15m 37s
159:	test: 0.5140161	best: 0.5140161 (159)	total: 7m 19s	remaining: 15m 33s
160:	test: 0.5141180	best: 0.5141180 (160)	total: 7m 21s	remaining: 15m 30s
161:	test: 0.5141774	best: 0.5141774 (161)	total: 7m 24s	remaining: 15m 27s
162:	test: 0.5140875	best: 0.5141774 (161)	total: 7m 27s	remaining: 15m 25s
163:	test: 0.5139065	best: 0.5141774 (161)	total: 7m 30s	remaining: 15m 22s
164:	test: 0.5138338	best: 0.5141774 (161)	total: 7m 32s	remaining: 15m 18s
165:	test: 0.5137867	best: 0.5141774 (161)	total: 7m 34s	remaining: 15m 15s
166:	test: 0.5139999	best: 0.5141774 (161)	total: 7m 37s	remaining: 15m 12s
167:	test: 0.5140144	best: 0.5141774 (161)	total: 7m 39s	remaining: 15m 8s
168:	test: 0.5142171	best: 0.5142171 (168)	total: 7m 42s	remaining: 15m 5s
169:	test: 0.5141618	best: 0.5142171 (168)	total: 7m 44s	remaining: 15m 1s
170:	test: 0.5142171	best: 0.5142171 (170)	total: 7m 46s	remaining: 14m 57s
171:	test: 0.5141721	best: 0.5142171 (170)	total: 7m 49s	remaining: 14m 54s
172:	test: 0.5143828	best: 0.5143828 (172)	total: 7m 51s	remaining: 14m 51s
173:	test: 0.5144522	best: 0.5144522 (173)	total: 7m 54s	remaining: 14m 49s
174:	test: 0.5145654	best: 0.5145654 (174)	total: 7m 56s	remaining: 14m 45s
175:	test: 0.5144801	best: 0.5145654 (174)	total: 7m 59s	remaining: 14m 42s
176:	test: 0.5145793	best: 0.5145793 (176)	total: 8m 2s	remaining: 14m 39s
177:	test: 0.5146960	best: 0.5146960 (177)	total: 8m 5s	remaining: 14m 37s
178:	test: 0.5145587	best: 0.5146960 (177)	total: 8m 8s	remaining: 14m 35s
179:	test: 0.5145747	best: 0.5146960 (177)	total: 8m 10s	remaining: 14m 32s
180:	test: 0.5145982	best: 0.5146960 (177)	total: 8m 13s	remaining: 14m 29s
181:	test: 0.5146667	best: 0.5146960 (177)	total: 8m 15s	remaining: 14m 26s
182:	test: 0.5146081	best: 0.5146960 (177)	total: 8m 18s	remaining: 14m 24s
183:	test: 0.5148661	best: 0.5148661 (183)	total: 8m 22s	remaining: 14m 22s
184:	test: 0.5148401	best: 0.5148661 (183)	total: 8m 24s	remaining: 14m 19s
185:	test: 0.5147028	best: 0.5148661 (183)	total: 8m 27s	remaining: 14m 17s
186:	test: 0.5148281	best: 0.5148661 (183)	total: 8m 30s	remaining: 14m 14s
187:	test: 0.5148305	best: 0.5148661 (183)	total: 8m 32s	remaining: 14m 11s
188:	test: 0.5148058	best: 0.5148661 (183)	total: 8m 35s	remaining: 14m 8s
189:	test: 0.5147559	best: 0.5148661 (183)	total: 8m 38s	remaining: 14m 5s
190:	test: 0.5148943	best: 0.5148943 (190)	total: 8m 40s	remaining: 14m 2s
191:	test: 0.5148979	best: 0.5148979 (191)	total: 8m 43s	remaining: 13m 59s
192:	test: 0.5149206	best: 0.5149206 (192)	total: 8m 45s	remaining: 13m 56s
193:	test: 0.5149030	best: 0.5149206 (192)	total: 8m 48s	remaining: 13m 53s
194:	test: 0.5150374	best: 0.5150374 (194)	total: 8m 51s	remaining: 13m 50s
195:	test: 0.5149725	best: 0.5150374 (194)	total: 8m 53s	remaining: 13m 47s
196:	test: 0.5149889	best: 0.5150374 (194)	total: 8m 56s	remaining: 13m 45s
197:	test: 0.5151427	best: 0.5151427 (197)	total: 8m 59s	remaining: 13m 42s
198:	test: 0.5150673	best: 0.5151427 (197)	total: 9m 1s	remaining: 13m 38s
199:	test: 0.5151981	best: 0.5151981 (199)	total: 9m 4s	remaining: 13m 36s
200:	test: 0.5151901	best: 0.5151981 (199)	total: 9m 7s	remaining: 13m 33s
201:	test: 0.5153165	best: 0.5153165 (201)	total: 9m 9s	remaining: 13m 30s
202:	test: 0.5155332	best: 0.5155332 (202)	total: 9m 11s	remaining: 13m 27s
203:	test: 0.5155923	best: 0.5155923 (203)	total: 9m 14s	remaining: 13m 24s
204:	test: 0.5156033	best: 0.5156033 (204)	total: 9m 16s	remaining: 13m 20s
205:	test: 0.5156338	best: 0.5156338 (205)	total: 9m 19s	remaining: 13m 17s
206:	test: 0.5156498	best: 0.5156498 (206)	total: 9m 21s	remaining: 13m 14s
207:	test: 0.5157324	best: 0.5157324 (207)	total: 9m 24s	remaining: 13m 12s
208:	test: 0.5158305	best: 0.5158305 (208)	total: 9m 27s	remaining: 13m 10s
209:	test: 0.5159746	best: 0.5159746 (209)	total: 9m 30s	remaining: 13m 8s
210:	test: 0.5159631	best: 0.5159746 (209)	total: 9m 33s	remaining: 13m 6s
211:	test: 0.5160086	best: 0.5160086 (211)	total: 9m 36s	remaining: 13m 3s
212:	test: 0.5157044	best: 0.5160086 (211)	total: 9m 38s	remaining: 13m
213:	test: 0.5158489	best: 0.5160086 (211)	total: 9m 42s	remaining: 12m 58s
214:	test: 0.5159154	best: 0.5160086 (211)	total: 9m 45s	remaining: 12m 56s
215:	test: 0.5158651	best: 0.5160086 (211)	total: 9m 48s	remaining: 12m 53s
216:	test: 0.5157273	best: 0.5160086 (211)	total: 9m 50s	remaining: 12m 50s
217:	test: 0.5159740	best: 0.5160086 (211)	total: 9m 52s	remaining: 12m 46s
218:	test: 0.5161325	best: 0.5161325 (218)	total: 9m 55s	remaining: 12m 43s
219:	test: 0.5162142	best: 0.5162142 (219)	total: 9m 57s	remaining: 12m 39s
220:	test: 0.5162853	best: 0.5162853 (220)	total: 9m 59s	remaining: 12m 37s
221:	test: 0.5164445	best: 0.5164445 (221)	total: 10m 2s	remaining: 12m 34s
