72:	test: 0.9219514	best: 0.9219514 (72)	total: 16.4s	remaining: 1m 35s
73:	test: 0.9223110	best: 0.9223110 (73)	total: 16.6s	remaining: 1m 35s
74:	test: 0.9227195	best: 0.9227195 (74)	total: 16.8s	remaining: 1m 35s
75:	test: 0.9230538	best: 0.9230538 (75)	total: 17.1s	remaining: 1m 35s
76:	test: 0.9233629	best: 0.9233629 (76)	total: 17.3s	remaining: 1m 34s
77:	test: 0.9237291	best: 0.9237291 (77)	total: 17.5s	remaining: 1m 34s
78:	test: 0.9240901	best: 0.9240901 (78)	total: 17.7s	remaining: 1m 34s
79:	test: 0.9244248	best: 0.9244248 (79)	total: 17.9s	remaining: 1m 34s
80:	test: 0.9247994	best: 0.9247994 (80)	total: 18.1s	remaining: 1m 33s
81:	test: 0.9251112	best: 0.9251112 (81)	total: 18.3s	remaining: 1m 33s
82:	test: 0.9254561	best: 0.9254561 (82)	total: 18.6s	remaining: 1m 33s
83:	test: 0.9257586	best: 0.9257586 (83)	total: 18.8s	remaining: 1m 33s
84:	test: 0.9260250	best: 0.9260250 (84)	total: 19s	remaining: 1m 32s
85:	test: 0.9263333	best: 0.9263333 (85)	total: 19.2s	remaining: 1m 32s
86:	test: 0.9266257	best: 0.9266257 (86)	total: 19.5s	remaining: 1m 32s
87:	test: 0.9269031	best: 0.9269031 (87)	total: 19.7s	remaining: 1m 32s
88:	test: 0.9271600	best: 0.9271600 (88)	total: 19.9s	remaining: 1m 31s
89:	test: 0.9274827	best: 0.9274827 (89)	total: 20.1s	remaining: 1m 31s
90:	test: 0.9277413	best: 0.9277413 (90)	total: 20.3s	remaining: 1m 31s
91:	test: 0.9280034	best: 0.9280034 (91)	total: 20.6s	remaining: 1m 31s
92:	test: 0.9282915	best: 0.9282915 (92)	total: 20.8s	remaining: 1m 30s
93:	test: 0.9285793	best: 0.9285793 (93)	total: 21s	remaining: 1m 30s
94:	test: 0.9288738	best: 0.9288738 (94)	total: 21.2s	remaining: 1m 30s
95:	test: 0.9290682	best: 0.9290682 (95)	total: 21.4s	remaining: 1m 30s
96:	test: 0.9293097	best: 0.9293097 (96)	total: 21.7s	remaining: 1m 29s
97:	test: 0.9295339	best: 0.9295339 (97)	total: 21.9s	remaining: 1m 29s
98:	test: 0.9297461	best: 0.9297461 (98)	total: 22.1s	remaining: 1m 29s
99:	test: 0.9299675	best: 0.9299675 (99)	total: 22.3s	remaining: 1m 29s
100:	test: 0.9302341	best: 0.9302341 (100)	total: 22.5s	remaining: 1m 28s
101:	test: 0.9304711	best: 0.9304711 (101)	total: 22.7s	remaining: 1m 28s
102:	test: 0.9306738	best: 0.9306738 (102)	total: 22.9s	remaining: 1m 28s
103:	test: 0.9308807	best: 0.9308807 (103)	total: 23.1s	remaining: 1m 28s
104:	test: 0.9311027	best: 0.9311027 (104)	total: 23.4s	remaining: 1m 27s
105:	test: 0.9313198	best: 0.9313198 (105)	total: 23.6s	remaining: 1m 27s
106:	test: 0.9315484	best: 0.9315484 (106)	total: 23.8s	remaining: 1m 27s
107:	test: 0.9317726	best: 0.9317726 (107)	total: 24s	remaining: 1m 27s
108:	test: 0.9319770	best: 0.9319770 (108)	total: 24.3s	remaining: 1m 26s
109:	test: 0.9321398	best: 0.9321398 (109)	total: 24.5s	remaining: 1m 26s
110:	test: 0.9323136	best: 0.9323136 (110)	total: 24.7s	remaining: 1m 26s
111:	test: 0.9324744	best: 0.9324744 (111)	total: 24.9s	remaining: 1m 26s
112:	test: 0.9326673	best: 0.9326673 (112)	total: 25.1s	remaining: 1m 26s
113:	test: 0.9328980	best: 0.9328980 (113)	total: 25.3s	remaining: 1m 25s
114:	test: 0.9330787	best: 0.9330787 (114)	total: 25.5s	remaining: 1m 25s
115:	test: 0.9332672	best: 0.9332672 (115)	total: 25.7s	remaining: 1m 25s
116:	test: 0.9334293	best: 0.9334293 (116)	total: 26s	remaining: 1m 24s
117:	test: 0.9336246	best: 0.9336246 (117)	total: 26.2s	remaining: 1m 24s
118:	test: 0.9338071	best: 0.9338071 (118)	total: 26.4s	remaining: 1m 24s
119:	test: 0.9339617	best: 0.9339617 (119)	total: 26.6s	remaining: 1m 24s
120:	test: 0.9341362	best: 0.9341362 (120)	total: 26.8s	remaining: 1m 23s
121:	test: 0.9342994	best: 0.9342994 (121)	total: 27s	remaining: 1m 23s
122:	test: 0.9344640	best: 0.9344640 (122)	total: 27.2s	remaining: 1m 23s
123:	test: 0.9346128	best: 0.9346128 (123)	total: 27.4s	remaining: 1m 23s
124:	test: 0.9347662	best: 0.9347662 (124)	total: 27.6s	remaining: 1m 22s
125:	test: 0.9349261	best: 0.9349261 (125)	total: 27.9s	remaining: 1m 22s
126:	test: 0.9350987	best: 0.9350987 (126)	total: 28.1s	remaining: 1m 22s
127:	test: 0.9352496	best: 0.9352496 (127)	total: 28.3s	remaining: 1m 22s
128:	test: 0.9354183	best: 0.9354183 (128)	total: 28.5s	remaining: 1m 22s
129:	test: 0.9355551	best: 0.9355551 (129)	total: 28.7s	remaining: 1m 21s
130:	test: 0.9356626	best: 0.9356626 (130)	total: 28.9s	remaining: 1m 21s
131:	test: 0.9357947	best: 0.9357947 (131)	total: 29.2s	remaining: 1m 21s
132:	test: 0.9359599	best: 0.9359599 (132)	total: 29.4s	remaining: 1m 21s
133:	test: 0.9360996	best: 0.9360996 (133)	total: 29.6s	remaining: 1m 20s
134:	test: 0.9362198	best: 0.9362198 (134)	total: 29.8s	remaining: 1m 20s
135:	test: 0.9363484	best: 0.9363484 (135)	total: 30s	remaining: 1m 20s
136:	test: 0.9364691	best: 0.9364691 (136)	total: 30.2s	remaining: 1m 20s
137:	test: 0.9366126	best: 0.9366126 (137)	total: 30.4s	remaining: 1m 19s
138:	test: 0.9367501	best: 0.9367501 (138)	total: 30.6s	remaining: 1m 19s
139:	test: 0.9368590	best: 0.9368590 (139)	total: 30.9s	remaining: 1m 19s
140:	test: 0.9370225	best: 0.9370225 (140)	total: 31.1s	remaining: 1m 19s
141:	test: 0.9371491	best: 0.9371491 (141)	total: 31.3s	remaining: 1m 18s
