0:	test: 0.7501682	best: 0.7501682 (0)	total: 246ms	remaining: 2m 2s
1:	test: 0.7739783	best: 0.7739783 (1)	total: 489ms	remaining: 2m 1s
2:	test: 0.7892905	best: 0.7892905 (2)	total: 717ms	remaining: 1m 58s
3:	test: 0.7972922	best: 0.7972922 (3)	total: 938ms	remaining: 1m 56s
4:	test: 0.8062886	best: 0.8062886 (4)	total: 1.16s	remaining: 1m 54s
5:	test: 0.8134136	best: 0.8134136 (5)	total: 1.38s	remaining: 1m 53s
6:	test: 0.8211802	best: 0.8211802 (6)	total: 1.6s	remaining: 1m 52s
7:	test: 0.8267270	best: 0.8267270 (7)	total: 1.82s	remaining: 1m 51s
8:	test: 0.8327946	best: 0.8327946 (8)	total: 2.06s	remaining: 1m 52s
9:	test: 0.8376393	best: 0.8376393 (9)	total: 2.33s	remaining: 1m 54s
10:	test: 0.8421754	best: 0.8421754 (10)	total: 2.56s	remaining: 1m 53s
11:	test: 0.8459133	best: 0.8459133 (11)	total: 2.78s	remaining: 1m 53s
12:	test: 0.8501138	best: 0.8501138 (12)	total: 3.01s	remaining: 1m 52s
13:	test: 0.8538073	best: 0.8538073 (13)	total: 3.23s	remaining: 1m 52s
14:	test: 0.8575438	best: 0.8575438 (14)	total: 3.45s	remaining: 1m 51s
15:	test: 0.8606822	best: 0.8606822 (15)	total: 3.68s	remaining: 1m 51s
16:	test: 0.8633965	best: 0.8633965 (16)	total: 3.9s	remaining: 1m 50s
17:	test: 0.8662234	best: 0.8662234 (17)	total: 4.13s	remaining: 1m 50s
18:	test: 0.8689331	best: 0.8689331 (18)	total: 4.35s	remaining: 1m 50s
19:	test: 0.8713473	best: 0.8713473 (19)	total: 4.57s	remaining: 1m 49s
20:	test: 0.8736814	best: 0.8736814 (20)	total: 4.79s	remaining: 1m 49s
21:	test: 0.8758394	best: 0.8758394 (21)	total: 5.01s	remaining: 1m 48s
22:	test: 0.8775683	best: 0.8775683 (22)	total: 5.23s	remaining: 1m 48s
