72:	test: 0.8284456	best: 0.8284456 (72)	total: 11.2s	remaining: 1m 5s
73:	test: 0.8286157	best: 0.8286157 (73)	total: 11.3s	remaining: 1m 5s
74:	test: 0.8287931	best: 0.8287931 (74)	total: 11.5s	remaining: 1m 5s
75:	test: 0.8289409	best: 0.8289409 (75)	total: 11.6s	remaining: 1m 4s
76:	test: 0.8290924	best: 0.8290924 (76)	total: 11.8s	remaining: 1m 4s
77:	test: 0.8292797	best: 0.8292797 (77)	total: 11.9s	remaining: 1m 4s
78:	test: 0.8295293	best: 0.8295293 (78)	total: 12.1s	remaining: 1m 4s
79:	test: 0.8296808	best: 0.8296808 (79)	total: 12.2s	remaining: 1m 4s
80:	test: 0.8298903	best: 0.8298903 (80)	total: 12.4s	remaining: 1m 4s
81:	test: 0.8300226	best: 0.8300226 (81)	total: 12.5s	remaining: 1m 3s
82:	test: 0.8301702	best: 0.8301702 (82)	total: 12.7s	remaining: 1m 3s
83:	test: 0.8303934	best: 0.8303934 (83)	total: 12.8s	remaining: 1m 3s
84:	test: 0.8305612	best: 0.8305612 (84)	total: 13s	remaining: 1m 3s
85:	test: 0.8306876	best: 0.8306876 (85)	total: 13.1s	remaining: 1m 3s
86:	test: 0.8307956	best: 0.8307956 (86)	total: 13.3s	remaining: 1m 2s
87:	test: 0.8309214	best: 0.8309214 (87)	total: 13.4s	remaining: 1m 2s
88:	test: 0.8310646	best: 0.8310646 (88)	total: 13.6s	remaining: 1m 2s
89:	test: 0.8312714	best: 0.8312714 (89)	total: 13.7s	remaining: 1m 2s
90:	test: 0.8314200	best: 0.8314200 (90)	total: 13.9s	remaining: 1m 2s
91:	test: 0.8315988	best: 0.8315988 (91)	total: 14s	remaining: 1m 2s
92:	test: 0.8316942	best: 0.8316942 (92)	total: 14.2s	remaining: 1m 2s
93:	test: 0.8318126	best: 0.8318126 (93)	total: 14.4s	remaining: 1m 2s
94:	test: 0.8319291	best: 0.8319291 (94)	total: 14.5s	remaining: 1m 1s
95:	test: 0.8320619	best: 0.8320619 (95)	total: 14.7s	remaining: 1m 1s
96:	test: 0.8322221	best: 0.8322221 (96)	total: 14.8s	remaining: 1m 1s
97:	test: 0.8323212	best: 0.8323212 (97)	total: 15s	remaining: 1m 1s
98:	test: 0.8324326	best: 0.8324326 (98)	total: 15.1s	remaining: 1m 1s
99:	test: 0.8325994	best: 0.8325994 (99)	total: 15.3s	remaining: 1m 1s
100:	test: 0.8327092	best: 0.8327092 (100)	total: 15.5s	remaining: 1m 1s
101:	test: 0.8329000	best: 0.8329000 (101)	total: 15.7s	remaining: 1m 1s
102:	test: 0.8330060	best: 0.8330060 (102)	total: 15.8s	remaining: 1m 1s
103:	test: 0.8331126	best: 0.8331126 (103)	total: 16s	remaining: 1m
104:	test: 0.8332431	best: 0.8332431 (104)	total: 16.1s	remaining: 1m
105:	test: 0.8333840	best: 0.8333840 (105)	total: 16.3s	remaining: 1m
106:	test: 0.8334743	best: 0.8334743 (106)	total: 16.4s	remaining: 1m
107:	test: 0.8335761	best: 0.8335761 (107)	total: 16.6s	remaining: 1m
108:	test: 0.8336723	best: 0.8336723 (108)	total: 16.7s	remaining: 60s
109:	test: 0.8337666	best: 0.8337666 (109)	total: 16.9s	remaining: 59.8s
110:	test: 0.8339117	best: 0.8339117 (110)	total: 17s	remaining: 59.6s
111:	test: 0.8339963	best: 0.8339963 (111)	total: 17.2s	remaining: 59.4s
112:	test: 0.8340811	best: 0.8340811 (112)	total: 17.3s	remaining: 59.2s
113:	test: 0.8341926	best: 0.8341926 (113)	total: 17.4s	remaining: 59s
114:	test: 0.8342781	best: 0.8342781 (114)	total: 17.6s	remaining: 58.8s
115:	test: 0.8343902	best: 0.8343902 (115)	total: 17.7s	remaining: 58.7s
116:	test: 0.8345433	best: 0.8345433 (116)	total: 17.9s	remaining: 58.5s
117:	test: 0.8346838	best: 0.8346838 (117)	total: 18s	remaining: 58.3s
118:	test: 0.8347856	best: 0.8347856 (118)	total: 18.2s	remaining: 58.1s
119:	test: 0.8348641	best: 0.8348641 (119)	total: 18.3s	remaining: 57.9s
120:	test: 0.8349609	best: 0.8349609 (120)	total: 18.4s	remaining: 57.7s
121:	test: 0.8350859	best: 0.8350859 (121)	total: 18.6s	remaining: 57.6s
122:	test: 0.8351813	best: 0.8351813 (122)	total: 18.7s	remaining: 57.4s
123:	test: 0.8352665	best: 0.8352665 (123)	total: 18.9s	remaining: 57.2s
124:	test: 0.8353902	best: 0.8353902 (124)	total: 19s	remaining: 57s
125:	test: 0.8355064	best: 0.8355064 (125)	total: 19.2s	remaining: 56.9s
126:	test: 0.8356231	best: 0.8356231 (126)	total: 19.3s	remaining: 56.7s
127:	test: 0.8357238	best: 0.8357238 (127)	total: 19.5s	remaining: 56.6s
128:	test: 0.8358398	best: 0.8358398 (128)	total: 19.6s	remaining: 56.4s
129:	test: 0.8359652	best: 0.8359652 (129)	total: 19.8s	remaining: 56.2s
130:	test: 0.8360562	best: 0.8360562 (130)	total: 19.9s	remaining: 56.1s
131:	test: 0.8361226	best: 0.8361226 (131)	total: 20s	remaining: 55.9s
132:	test: 0.8361831	best: 0.8361831 (132)	total: 20.2s	remaining: 55.6s
133:	test: 0.8362800	best: 0.8362800 (133)	total: 20.3s	remaining: 55.4s
134:	test: 0.8363489	best: 0.8363489 (134)	total: 20.4s	remaining: 55.3s
135:	test: 0.8364577	best: 0.8364577 (135)	total: 20.6s	remaining: 55.1s
136:	test: 0.8365396	best: 0.8365396 (136)	total: 20.7s	remaining: 54.9s
137:	test: 0.8366163	best: 0.8366163 (137)	total: 20.9s	remaining: 54.7s
138:	test: 0.8367061	best: 0.8367061 (138)	total: 21s	remaining: 54.5s
139:	test: 0.8367549	best: 0.8367549 (139)	total: 21.1s	remaining: 54.4s
140:	test: 0.8368024	best: 0.8368024 (140)	total: 21.3s	remaining: 54.1s
141:	test: 0.8368668	best: 0.8368668 (141)	total: 21.4s	remaining: 54s
142:	test: 0.8369226	best: 0.8369226 (142)	total: 21.5s	remaining: 53.8s
143:	test: 0.8370146	best: 0.8370146 (143)	total: 21.7s	remaining: 53.6s
144:	test: 0.8370720	best: 0.8370720 (144)	total: 21.8s	remaining: 53.4s
145:	test: 0.8371056	best: 0.8371056 (145)	total: 21.9s	remaining: 53.2s
146:	test: 0.8371698	best: 0.8371698 (146)	total: 22.1s	remaining: 53s
147:	test: 0.8372144	best: 0.8372144 (147)	total: 22.2s	remaining: 52.8s
148:	test: 0.8372985	best: 0.8372985 (148)	total: 22.4s	remaining: 52.7s
149:	test: 0.8373473	best: 0.8373473 (149)	total: 22.5s	remaining: 52.5s
150:	test: 0.8374136	best: 0.8374136 (150)	total: 22.6s	remaining: 52.3s
151:	test: 0.8374660	best: 0.8374660 (151)	total: 22.7s	remaining: 52.1s
152:	test: 0.8375168	best: 0.8375168 (152)	total: 22.9s	remaining: 51.9s
153:	test: 0.8376159	best: 0.8376159 (153)	total: 23s	remaining: 51.7s
154:	test: 0.8376734	best: 0.8376734 (154)	total: 23.1s	remaining: 51.5s
155:	test: 0.8377190	best: 0.8377190 (155)	total: 23.2s	remaining: 51.3s
156:	test: 0.8377386	best: 0.8377386 (156)	total: 23.3s	remaining: 51s
157:	test: 0.8377973	best: 0.8377973 (157)	total: 23.5s	remaining: 50.8s
158:	test: 0.8378551	best: 0.8378551 (158)	total: 23.6s	remaining: 50.6s
159:	test: 0.8378959	best: 0.8378959 (159)	total: 23.7s	remaining: 50.4s
160:	test: 0.8379340	best: 0.8379340 (160)	total: 23.8s	remaining: 50.2s
161:	test: 0.8379727	best: 0.8379727 (161)	total: 24s	remaining: 50s
162:	test: 0.8380412	best: 0.8380412 (162)	total: 24.1s	remaining: 49.8s
163:	test: 0.8381031	best: 0.8381031 (163)	total: 24.2s	remaining: 49.6s
164:	test: 0.8381508	best: 0.8381508 (164)	total: 24.4s	remaining: 49.5s
165:	test: 0.8381730	best: 0.8381730 (165)	total: 24.5s	remaining: 49.2s
166:	test: 0.8382162	best: 0.8382162 (166)	total: 24.6s	remaining: 49s
167:	test: 0.8382893	best: 0.8382893 (167)	total: 24.7s	remaining: 48.9s
168:	test: 0.8383406	best: 0.8383406 (168)	total: 24.8s	remaining: 48.7s
169:	test: 0.8383718	best: 0.8383718 (169)	total: 24.9s	remaining: 48.4s
170:	test: 0.8383974	best: 0.8383974 (170)	total: 25.1s	remaining: 48.2s
171:	test: 0.8384491	best: 0.8384491 (171)	total: 25.2s	remaining: 48s
172:	test: 0.8384781	best: 0.8384781 (172)	total: 25.3s	remaining: 47.8s
173:	test: 0.8385479	best: 0.8385479 (173)	total: 25.4s	remaining: 47.7s
