73:	test: 0.7933519	best: 0.7933519 (73)	total: 39.5s	remaining: 3m 47s
74:	test: 0.7934386	best: 0.7934386 (74)	total: 40s	remaining: 3m 46s
75:	test: 0.7935464	best: 0.7935464 (75)	total: 40.6s	remaining: 3m 46s
76:	test: 0.7936690	best: 0.7936690 (76)	total: 41.1s	remaining: 3m 45s
77:	test: 0.7937797	best: 0.7937797 (77)	total: 41.6s	remaining: 3m 45s
78:	test: 0.7938603	best: 0.7938603 (78)	total: 42.1s	remaining: 3m 44s
79:	test: 0.7939495	best: 0.7939495 (79)	total: 42.6s	remaining: 3m 43s
80:	test: 0.7940293	best: 0.7940293 (80)	total: 43.1s	remaining: 3m 43s
81:	test: 0.7941563	best: 0.7941563 (81)	total: 43.6s	remaining: 3m 42s
82:	test: 0.7942434	best: 0.7942434 (82)	total: 44.1s	remaining: 3m 41s
83:	test: 0.7943346	best: 0.7943346 (83)	total: 44.7s	remaining: 3m 41s
84:	test: 0.7944136	best: 0.7944136 (84)	total: 45.2s	remaining: 3m 40s
85:	test: 0.7944860	best: 0.7944860 (85)	total: 45.7s	remaining: 3m 40s
86:	test: 0.7945336	best: 0.7945336 (86)	total: 46.2s	remaining: 3m 39s
87:	test: 0.7946037	best: 0.7946037 (87)	total: 46.7s	remaining: 3m 38s
88:	test: 0.7946891	best: 0.7946891 (88)	total: 47.2s	remaining: 3m 38s
89:	test: 0.7948121	best: 0.7948121 (89)	total: 47.7s	remaining: 3m 37s
90:	test: 0.7948751	best: 0.7948751 (90)	total: 48.3s	remaining: 3m 36s
91:	test: 0.7949460	best: 0.7949460 (91)	total: 48.8s	remaining: 3m 36s
92:	test: 0.7950109	best: 0.7950109 (92)	total: 49.3s	remaining: 3m 35s
93:	test: 0.7951123	best: 0.7951123 (93)	total: 49.8s	remaining: 3m 35s
94:	test: 0.7951835	best: 0.7951835 (94)	total: 50.3s	remaining: 3m 34s
95:	test: 0.7952871	best: 0.7952871 (95)	total: 50.8s	remaining: 3m 33s
96:	test: 0.7953475	best: 0.7953475 (96)	total: 51.3s	remaining: 3m 33s
97:	test: 0.7954167	best: 0.7954167 (97)	total: 51.8s	remaining: 3m 32s
98:	test: 0.7955283	best: 0.7955283 (98)	total: 52.3s	remaining: 3m 31s
99:	test: 0.7955912	best: 0.7955912 (99)	total: 52.8s	remaining: 3m 31s
100:	test: 0.7956632	best: 0.7956632 (100)	total: 53.3s	remaining: 3m 30s
101:	test: 0.7957605	best: 0.7957605 (101)	total: 53.8s	remaining: 3m 30s
102:	test: 0.7958293	best: 0.7958293 (102)	total: 54.3s	remaining: 3m 29s
103:	test: 0.7958860	best: 0.7958860 (103)	total: 54.8s	remaining: 3m 28s
