73:	test: 0.9224291	best: 0.9224291 (73)	total: 16.6s	remaining: 1m 35s
74:	test: 0.9228643	best: 0.9228643 (74)	total: 16.8s	remaining: 1m 35s
75:	test: 0.9233000	best: 0.9233000 (75)	total: 17s	remaining: 1m 34s
76:	test: 0.9236833	best: 0.9236833 (76)	total: 17.2s	remaining: 1m 34s
77:	test: 0.9240754	best: 0.9240754 (77)	total: 17.4s	remaining: 1m 34s
78:	test: 0.9244030	best: 0.9244030 (78)	total: 17.6s	remaining: 1m 34s
79:	test: 0.9247733	best: 0.9247733 (79)	total: 17.9s	remaining: 1m 34s
80:	test: 0.9251286	best: 0.9251286 (80)	total: 18.1s	remaining: 1m 33s
81:	test: 0.9254677	best: 0.9254677 (81)	total: 18.3s	remaining: 1m 33s
82:	test: 0.9257670	best: 0.9257670 (82)	total: 18.6s	remaining: 1m 33s
83:	test: 0.9260417	best: 0.9260417 (83)	total: 18.8s	remaining: 1m 33s
84:	test: 0.9263235	best: 0.9263235 (84)	total: 19s	remaining: 1m 32s
85:	test: 0.9266006	best: 0.9266006 (85)	total: 19.2s	remaining: 1m 32s
86:	test: 0.9268690	best: 0.9268690 (86)	total: 19.5s	remaining: 1m 32s
87:	test: 0.9271684	best: 0.9271684 (87)	total: 19.7s	remaining: 1m 32s
88:	test: 0.9274904	best: 0.9274904 (88)	total: 19.9s	remaining: 1m 31s
89:	test: 0.9278012	best: 0.9278012 (89)	total: 20.1s	remaining: 1m 31s
90:	test: 0.9280726	best: 0.9280726 (90)	total: 20.3s	remaining: 1m 31s
91:	test: 0.9282995	best: 0.9282995 (91)	total: 20.6s	remaining: 1m 31s
92:	test: 0.9286180	best: 0.9286180 (92)	total: 20.8s	remaining: 1m 31s
93:	test: 0.9288905	best: 0.9288905 (93)	total: 21s	remaining: 1m 30s
94:	test: 0.9291357	best: 0.9291357 (94)	total: 21.2s	remaining: 1m 30s
95:	test: 0.9293449	best: 0.9293449 (95)	total: 21.5s	remaining: 1m 30s
96:	test: 0.9295889	best: 0.9295889 (96)	total: 21.7s	remaining: 1m 30s
97:	test: 0.9298249	best: 0.9298249 (97)	total: 21.9s	remaining: 1m 29s
98:	test: 0.9301356	best: 0.9301356 (98)	total: 22.1s	remaining: 1m 29s
99:	test: 0.9303494	best: 0.9303494 (99)	total: 22.3s	remaining: 1m 29s
100:	test: 0.9305630	best: 0.9305630 (100)	total: 22.5s	remaining: 1m 29s
101:	test: 0.9307951	best: 0.9307951 (101)	total: 22.7s	remaining: 1m 28s
102:	test: 0.9310924	best: 0.9310924 (102)	total: 23s	remaining: 1m 28s
103:	test: 0.9313104	best: 0.9313104 (103)	total: 23.2s	remaining: 1m 28s
104:	test: 0.9315106	best: 0.9315106 (104)	total: 23.4s	remaining: 1m 27s
105:	test: 0.9317374	best: 0.9317374 (105)	total: 23.6s	remaining: 1m 27s
106:	test: 0.9319305	best: 0.9319305 (106)	total: 23.8s	remaining: 1m 27s
107:	test: 0.9321257	best: 0.9321257 (107)	total: 24s	remaining: 1m 27s
108:	test: 0.9322621	best: 0.9322621 (108)	total: 24.2s	remaining: 1m 26s
109:	test: 0.9324104	best: 0.9324104 (109)	total: 24.4s	remaining: 1m 26s
110:	test: 0.9326056	best: 0.9326056 (110)	total: 24.6s	remaining: 1m 26s
111:	test: 0.9327918	best: 0.9327918 (111)	total: 24.9s	remaining: 1m 26s
112:	test: 0.9329712	best: 0.9329712 (112)	total: 25.1s	remaining: 1m 25s
113:	test: 0.9331748	best: 0.9331748 (113)	total: 25.3s	remaining: 1m 25s
114:	test: 0.9333417	best: 0.9333417 (114)	total: 25.5s	remaining: 1m 25s
115:	test: 0.9335068	best: 0.9335068 (115)	total: 25.7s	remaining: 1m 25s
116:	test: 0.9336538	best: 0.9336538 (116)	total: 25.9s	remaining: 1m 24s
