142:	total: 2m 36s	remaining: 6m 30s
143:	total: 2m 37s	remaining: 6m 29s
144:	total: 2m 38s	remaining: 6m 28s
145:	total: 2m 39s	remaining: 6m 27s
146:	total: 2m 41s	remaining: 6m 26s
147:	total: 2m 42s	remaining: 6m 26s
148:	total: 2m 43s	remaining: 6m 25s
149:	total: 2m 44s	remaining: 6m 24s
150:	total: 2m 45s	remaining: 6m 23s
151:	total: 2m 47s	remaining: 6m 22s
152:	total: 2m 48s	remaining: 6m 21s
153:	total: 2m 49s	remaining: 6m 20s
154:	total: 2m 50s	remaining: 6m 20s
155:	total: 2m 51s	remaining: 6m 18s
156:	total: 2m 52s	remaining: 6m 17s
157:	total: 2m 54s	remaining: 6m 17s
158:	total: 2m 55s	remaining: 6m 15s
159:	total: 2m 56s	remaining: 6m 14s
160:	total: 2m 57s	remaining: 6m 13s
161:	total: 2m 58s	remaining: 6m 12s
162:	total: 2m 59s	remaining: 6m 11s
163:	total: 3m	remaining: 6m 10s
164:	total: 3m 1s	remaining: 6m 9s
165:	total: 3m 2s	remaining: 6m 7s
166:	total: 3m 4s	remaining: 6m 7s
167:	total: 3m 5s	remaining: 6m 6s
168:	total: 3m 6s	remaining: 6m 4s
169:	total: 3m 7s	remaining: 6m 3s
170:	total: 3m 8s	remaining: 6m 2s
171:	total: 3m 9s	remaining: 6m 1s
172:	total: 3m 10s	remaining: 5m 59s
173:	total: 3m 11s	remaining: 5m 59s
174:	total: 3m 12s	remaining: 5m 57s
175:	total: 3m 13s	remaining: 5m 56s
176:	total: 3m 15s	remaining: 5m 55s
177:	total: 3m 16s	remaining: 5m 54s
178:	total: 3m 17s	remaining: 5m 54s
179:	total: 3m 18s	remaining: 5m 53s
180:	total: 3m 19s	remaining: 5m 51s
181:	total: 3m 20s	remaining: 5m 50s
182:	total: 3m 21s	remaining: 5m 49s
183:	total: 3m 22s	remaining: 5m 48s
184:	total: 3m 23s	remaining: 5m 47s
185:	total: 3m 25s	remaining: 5m 46s
186:	total: 3m 26s	remaining: 5m 45s
187:	total: 3m 27s	remaining: 5m 44s
188:	total: 3m 28s	remaining: 5m 43s
189:	total: 3m 29s	remaining: 5m 41s
190:	total: 3m 30s	remaining: 5m 40s
191:	total: 3m 31s	remaining: 5m 39s
192:	total: 3m 32s	remaining: 5m 38s
193:	total: 3m 33s	remaining: 5m 37s
194:	total: 3m 34s	remaining: 5m 35s
195:	total: 3m 35s	remaining: 5m 34s
196:	total: 3m 37s	remaining: 5m 33s
197:	total: 3m 38s	remaining: 5m 33s
198:	total: 3m 39s	remaining: 5m 32s
199:	total: 3m 40s	remaining: 5m 30s
200:	total: 3m 41s	remaining: 5m 29s
201:	total: 3m 43s	remaining: 5m 29s
202:	total: 3m 44s	remaining: 5m 28s
203:	total: 3m 45s	remaining: 5m 27s
204:	total: 3m 46s	remaining: 5m 26s
205:	total: 3m 47s	remaining: 5m 24s
206:	total: 3m 48s	remaining: 5m 23s
207:	total: 3m 49s	remaining: 5m 22s
208:	total: 3m 51s	remaining: 5m 21s
209:	total: 3m 52s	remaining: 5m 20s
210:	total: 3m 53s	remaining: 5m 19s
211:	total: 3m 54s	remaining: 5m 18s
212:	total: 3m 55s	remaining: 5m 17s
213:	total: 3m 56s	remaining: 5m 16s
214:	total: 3m 57s	remaining: 5m 14s
215:	total: 3m 58s	remaining: 5m 13s
216:	total: 3m 59s	remaining: 5m 12s
217:	total: 4m	remaining: 5m 11s
218:	total: 4m 1s	remaining: 5m 10s
219:	total: 4m 3s	remaining: 5m 9s
220:	total: 4m 4s	remaining: 5m 8s
221:	total: 4m 5s	remaining: 5m 7s
222:	total: 4m 6s	remaining: 5m 6s
223:	total: 4m 7s	remaining: 5m 5s
224:	total: 4m 9s	remaining: 5m 4s
225:	total: 4m 10s	remaining: 5m 4s
226:	total: 4m 11s	remaining: 5m 3s
227:	total: 4m 12s	remaining: 5m 1s
228:	total: 4m 13s	remaining: 5m
229:	total: 4m 14s	remaining: 4m 59s
230:	total: 4m 16s	remaining: 4m 58s
231:	total: 4m 17s	remaining: 4m 57s
232:	total: 4m 18s	remaining: 4m 56s
233:	total: 4m 19s	remaining: 4m 54s
234:	total: 4m 20s	remaining: 4m 53s
235:	total: 4m 21s	remaining: 4m 52s
236:	total: 4m 22s	remaining: 4m 51s
237:	total: 4m 23s	remaining: 4m 49s
238:	total: 4m 24s	remaining: 4m 48s
239:	total: 4m 25s	remaining: 4m 47s
240:	total: 4m 26s	remaining: 4m 46s
241:	total: 4m 27s	remaining: 4m 45s
242:	total: 4m 28s	remaining: 4m 44s
243:	total: 4m 29s	remaining: 4m 43s
244:	total: 4m 30s	remaining: 4m 41s
245:	total: 4m 31s	remaining: 4m 40s
246:	total: 4m 32s	remaining: 4m 39s
247:	total: 4m 34s	remaining: 4m 38s
248:	total: 4m 35s	remaining: 4m 37s
249:	total: 4m 36s	remaining: 4m 36s
250:	total: 4m 37s	remaining: 4m 35s
251:	total: 4m 39s	remaining: 4m 35s
252:	total: 4m 40s	remaining: 4m 34s
253:	total: 4m 41s	remaining: 4m 32s
254:	total: 4m 43s	remaining: 4m 32s
255:	total: 4m 44s	remaining: 4m 31s
256:	total: 4m 45s	remaining: 4m 29s
257:	total: 4m 46s	remaining: 4m 28s
258:	total: 4m 47s	remaining: 4m 27s
259:	total: 4m 48s	remaining: 4m 26s
260:	total: 4m 49s	remaining: 4m 24s
261:	total: 4m 50s	remaining: 4m 23s
262:	total: 4m 51s	remaining: 4m 22s
263:	total: 4m 52s	remaining: 4m 21s
264:	total: 4m 53s	remaining: 4m 20s
265:	total: 4m 54s	remaining: 4m 19s
266:	total: 4m 56s	remaining: 4m 18s
267:	total: 4m 57s	remaining: 4m 17s
268:	total: 4m 58s	remaining: 4m 16s
269:	total: 4m 59s	remaining: 4m 15s
270:	total: 5m 1s	remaining: 4m 14s
271:	total: 5m 1s	remaining: 4m 13s
272:	total: 5m 2s	remaining: 4m 11s
273:	total: 5m 3s	remaining: 4m 10s
274:	total: 5m 5s	remaining: 4m 10s
275:	total: 5m 6s	remaining: 4m 8s
276:	total: 5m 7s	remaining: 4m 7s
277:	total: 5m 8s	remaining: 4m 6s
278:	total: 5m 9s	remaining: 4m 5s
279:	total: 5m 10s	remaining: 4m 3s
280:	total: 5m 11s	remaining: 4m 2s
281:	total: 5m 13s	remaining: 4m 2s
282:	total: 5m 14s	remaining: 4m 1s
283:	total: 5m 15s	remaining: 4m
284:	total: 5m 17s	remaining: 3m 59s
285:	total: 5m 18s	remaining: 3m 58s
286:	total: 5m 19s	remaining: 3m 57s
287:	total: 5m 20s	remaining: 3m 55s
288:	total: 5m 21s	remaining: 3m 54s
289:	total: 5m 22s	remaining: 3m 53s
290:	total: 5m 23s	remaining: 3m 52s
291:	total: 5m 25s	remaining: 3m 51s
292:	total: 5m 26s	remaining: 3m 50s
293:	total: 5m 27s	remaining: 3m 49s
294:	total: 5m 28s	remaining: 3m 47s
295:	total: 5m 29s	remaining: 3m 46s
296:	total: 5m 30s	remaining: 3m 46s
297:	total: 5m 32s	remaining: 3m 45s
298:	total: 5m 33s	remaining: 3m 44s
299:	total: 5m 34s	remaining: 3m 43s
300:	total: 5m 35s	remaining: 3m 42s
301:	total: 5m 36s	remaining: 3m 40s
302:	total: 5m 37s	remaining: 3m 39s
303:	total: 5m 38s	remaining: 3m 38s
304:	total: 5m 39s	remaining: 3m 37s
305:	total: 5m 41s	remaining: 3m 36s
306:	total: 5m 42s	remaining: 3m 35s
307:	total: 5m 43s	remaining: 3m 34s
308:	total: 5m 44s	remaining: 3m 32s
309:	total: 5m 45s	remaining: 3m 31s
310:	total: 5m 46s	remaining: 3m 30s
311:	total: 5m 48s	remaining: 3m 29s
312:	total: 5m 49s	remaining: 3m 28s
313:	total: 5m 50s	remaining: 3m 27s
314:	total: 5m 51s	remaining: 3m 26s
315:	total: 5m 52s	remaining: 3m 25s
316:	total: 5m 54s	remaining: 3m 24s
317:	total: 5m 54s	remaining: 3m 23s
318:	total: 5m 55s	remaining: 3m 21s
319:	total: 5m 56s	remaining: 3m 20s
320:	total: 5m 57s	remaining: 3m 19s
321:	total: 5m 59s	remaining: 3m 18s
322:	total: 6m	remaining: 3m 17s
323:	total: 6m 1s	remaining: 3m 16s
324:	total: 6m 2s	remaining: 3m 15s
325:	total: 6m 3s	remaining: 3m 14s
326:	total: 6m 4s	remaining: 3m 12s
327:	total: 6m 6s	remaining: 3m 11s
328:	total: 6m 7s	remaining: 3m 10s
329:	total: 6m 7s	remaining: 3m 9s
330:	total: 6m 9s	remaining: 3m 8s
331:	total: 6m 10s	remaining: 3m 7s
332:	total: 6m 11s	remaining: 3m 6s
333:	total: 6m 12s	remaining: 3m 5s
334:	total: 6m 13s	remaining: 3m 4s
335:	total: 6m 14s	remaining: 3m 2s
336:	total: 6m 15s	remaining: 3m 1s
337:	total: 6m 16s	remaining: 3m
338:	total: 6m 19s	remaining: 3m
339:	total: 6m 20s	remaining: 2m 58s
340:	total: 6m 20s	remaining: 2m 57s
341:	total: 6m 22s	remaining: 2m 56s
342:	total: 6m 22s	remaining: 2m 55s
343:	total: 6m 24s	remaining: 2m 54s
344:	total: 6m 26s	remaining: 2m 53s
345:	total: 6m 27s	remaining: 2m 52s
346:	total: 6m 28s	remaining: 2m 51s
347:	total: 6m 29s	remaining: 2m 50s
348:	total: 6m 30s	remaining: 2m 49s
349:	total: 6m 32s	remaining: 2m 48s
350:	total: 6m 34s	remaining: 2m 47s
351:	total: 6m 36s	remaining: 2m 46s
352:	total: 6m 38s	remaining: 2m 45s
353:	total: 6m 40s	remaining: 2m 45s
354:	total: 6m 41s	remaining: 2m 43s
355:	total: 6m 42s	remaining: 2m 42s
356:	total: 6m 43s	remaining: 2m 41s
357:	total: 6m 45s	remaining: 2m 40s
358:	total: 6m 46s	remaining: 2m 39s
359:	total: 6m 48s	remaining: 2m 38s
360:	total: 6m 50s	remaining: 2m 38s
361:	total: 6m 51s	remaining: 2m 36s
362:	total: 6m 52s	remaining: 2m 35s
363:	total: 6m 54s	remaining: 2m 34s
364:	total: 6m 55s	remaining: 2m 33s
365:	total: 6m 56s	remaining: 2m 32s
366:	total: 6m 57s	remaining: 2m 31s
367:	total: 6m 58s	remaining: 2m 30s
368:	total: 7m	remaining: 2m 29s
369:	total: 7m 2s	remaining: 2m 28s
370:	total: 7m 4s	remaining: 2m 27s
371:	total: 7m 5s	remaining: 2m 26s
372:	total: 7m 7s	remaining: 2m 25s
373:	total: 7m 8s	remaining: 2m 24s
374:	total: 7m 9s	remaining: 2m 23s
375:	total: 7m 11s	remaining: 2m 22s
376:	total: 7m 11s	remaining: 2m 20s
377:	total: 7m 12s	remaining: 2m 19s
378:	total: 7m 14s	remaining: 2m 18s
379:	total: 7m 15s	remaining: 2m 17s
380:	total: 7m 16s	remaining: 2m 16s
381:	total: 7m 17s	remaining: 2m 15s
382:	total: 7m 19s	remaining: 2m 14s
383:	total: 7m 20s	remaining: 2m 12s
384:	total: 7m 21s	remaining: 2m 11s
385:	total: 7m 22s	remaining: 2m 10s
386:	total: 7m 24s	remaining: 2m 9s
387:	total: 7m 25s	remaining: 2m 8s
388:	total: 7m 26s	remaining: 2m 7s
389:	total: 7m 27s	remaining: 2m 6s
390:	total: 7m 27s	remaining: 2m 4s
391:	total: 7m 28s	remaining: 2m 3s
392:	total: 7m 30s	remaining: 2m 2s
393:	total: 7m 31s	remaining: 2m 1s
394:	total: 7m 32s	remaining: 2m
395:	total: 7m 34s	remaining: 1m 59s
396:	total: 7m 35s	remaining: 1m 58s
397:	total: 7m 36s	remaining: 1m 57s
398:	total: 7m 37s	remaining: 1m 55s
399:	total: 7m 38s	remaining: 1m 54s
400:	total: 7m 39s	remaining: 1m 53s
401:	total: 7m 41s	remaining: 1m 52s
402:	total: 7m 41s	remaining: 1m 51s
403:	total: 7m 43s	remaining: 1m 50s
404:	total: 7m 44s	remaining: 1m 48s
405:	total: 7m 45s	remaining: 1m 47s
406:	total: 7m 46s	remaining: 1m 46s
407:	total: 7m 47s	remaining: 1m 45s
408:	total: 7m 49s	remaining: 1m 44s
409:	total: 7m 50s	remaining: 1m 43s
410:	total: 7m 51s	remaining: 1m 42s
411:	total: 7m 52s	remaining: 1m 40s
412:	total: 7m 53s	remaining: 1m 39s
413:	total: 7m 55s	remaining: 1m 38s
414:	total: 7m 56s	remaining: 1m 37s
415:	total: 7m 57s	remaining: 1m 36s
