0:	learn: 0.4827366	total: 4.54s	remaining: 37m 43s
1:	learn: 0.3404810	total: 8.28s	remaining: 34m 21s
2:	learn: 0.2468419	total: 11.6s	remaining: 31m 59s
3:	learn: 0.1769103	total: 15.6s	remaining: 32m 19s
4:	learn: 0.1339595	total: 19.7s	remaining: 32m 32s
5:	learn: 0.1052367	total: 24.7s	remaining: 33m 53s
6:	learn: 0.0844230	total: 28.8s	remaining: 33m 48s
7:	learn: 0.0704161	total: 32.7s	remaining: 33m 32s
8:	learn: 0.0607091	total: 36.6s	remaining: 33m 15s
9:	learn: 0.0555589	total: 40.2s	remaining: 32m 49s
10:	learn: 0.0528251	total: 43.9s	remaining: 32m 32s
11:	learn: 0.0483381	total: 48.1s	remaining: 32m 37s
12:	learn: 0.0472195	total: 51.8s	remaining: 32m 19s
13:	learn: 0.0466992	total: 56.3s	remaining: 32m 33s
14:	learn: 0.0449461	total: 1m	remaining: 32m 41s
15:	learn: 0.0423480	total: 1m 4s	remaining: 32m 25s
16:	learn: 0.0398351	total: 1m 8s	remaining: 32m 37s
17:	learn: 0.0383118	total: 1m 13s	remaining: 32m 35s
18:	learn: 0.0366451	total: 1m 17s	remaining: 32m 37s
19:	learn: 0.0356258	total: 1m 22s	remaining: 32m 56s
20:	learn: 0.0342927	total: 1m 26s	remaining: 33m 3s
21:	learn: 0.0334348	total: 1m 31s	remaining: 33m 14s
22:	learn: 0.0328079	total: 1m 36s	remaining: 33m 17s
23:	learn: 0.0322352	total: 1m 41s	remaining: 33m 28s
24:	learn: 0.0319534	total: 1m 45s	remaining: 33m 22s
25:	learn: 0.0314827	total: 1m 49s	remaining: 33m 21s
26:	learn: 0.0309828	total: 1m 54s	remaining: 33m 19s
27:	learn: 0.0306524	total: 1m 58s	remaining: 33m 14s
28:	learn: 0.0302845	total: 2m 2s	remaining: 33m 8s
29:	learn: 0.0299491	total: 2m 6s	remaining: 33m 7s
30:	learn: 0.0296138	total: 2m 11s	remaining: 33m 6s
31:	learn: 0.0294046	total: 2m 16s	remaining: 33m 9s
32:	learn: 0.0292124	total: 2m 19s	remaining: 32m 59s
33:	learn: 0.0289665	total: 2m 24s	remaining: 33m 3s
34:	learn: 0.0288043	total: 2m 29s	remaining: 33m
35:	learn: 0.0286904	total: 2m 33s	remaining: 32m 52s
36:	learn: 0.0284891	total: 2m 37s	remaining: 32m 51s
37:	learn: 0.0283803	total: 2m 41s	remaining: 32m 40s
38:	learn: 0.0281700	total: 2m 46s	remaining: 32m 44s
39:	learn: 0.0280628	total: 2m 51s	remaining: 32m 49s
40:	learn: 0.0279626	total: 2m 55s	remaining: 32m 42s
41:	learn: 0.0278980	total: 2m 59s	remaining: 32m 41s
42:	learn: 0.0277827	total: 3m 4s	remaining: 32m 40s
43:	learn: 0.0276695	total: 3m 8s	remaining: 32m 32s
44:	learn: 0.0275220	total: 3m 14s	remaining: 32m 46s
45:	learn: 0.0274187	total: 3m 18s	remaining: 32m 42s
46:	learn: 0.0273392	total: 3m 23s	remaining: 32m 40s
47:	learn: 0.0272715	total: 3m 26s	remaining: 32m 27s
48:	learn: 0.0271911	total: 3m 33s	remaining: 32m 43s
49:	learn: 0.0271317	total: 3m 37s	remaining: 32m 36s
50:	learn: 0.0270892	total: 3m 43s	remaining: 32m 48s
51:	learn: 0.0270252	total: 3m 48s	remaining: 32m 44s
52:	learn: 0.0269660	total: 3m 53s	remaining: 32m 49s
53:	learn: 0.0269055	total: 3m 57s	remaining: 32m 44s
54:	learn: 0.0268561	total: 4m 2s	remaining: 32m 40s
55:	learn: 0.0267854	total: 4m 7s	remaining: 32m 39s
56:	learn: 0.0267507	total: 4m 10s	remaining: 32m 24s
57:	learn: 0.0266980	total: 4m 16s	remaining: 32m 36s
58:	learn: 0.0266557	total: 4m 22s	remaining: 32m 41s
59:	learn: 0.0266200	total: 4m 27s	remaining: 32m 39s
60:	learn: 0.0265749	total: 4m 33s	remaining: 32m 45s
61:	learn: 0.0265111	total: 4m 41s	remaining: 33m 7s
62:	learn: 0.0264661	total: 4m 45s	remaining: 33m 2s
63:	learn: 0.0264325	total: 4m 49s	remaining: 32m 51s
64:	learn: 0.0263891	total: 4m 58s	remaining: 33m 16s
65:	learn: 0.0263516	total: 5m 2s	remaining: 33m 9s
66:	learn: 0.0263196	total: 5m 7s	remaining: 33m 8s
67:	learn: 0.0262875	total: 5m 11s	remaining: 33m
68:	learn: 0.0262636	total: 5m 14s	remaining: 32m 47s
69:	learn: 0.0262361	total: 5m 18s	remaining: 32m 34s
70:	learn: 0.0262129	total: 5m 20s	remaining: 32m 16s
71:	learn: 0.0261864	total: 5m 22s	remaining: 31m 59s
72:	learn: 0.0261452	total: 5m 28s	remaining: 32m
73:	learn: 0.0261116	total: 5m 34s	remaining: 32m 2s
74:	learn: 0.0260831	total: 5m 36s	remaining: 31m 46s
75:	learn: 0.0260645	total: 5m 38s	remaining: 31m 29s
76:	learn: 0.0260462	total: 5m 41s	remaining: 31m 15s
77:	learn: 0.0260158	total: 5m 44s	remaining: 31m 4s
78:	learn: 0.0259777	total: 5m 49s	remaining: 31m 1s
79:	learn: 0.0259435	total: 5m 52s	remaining: 30m 49s
80:	learn: 0.0259206	total: 5m 54s	remaining: 30m 36s
81:	learn: 0.0258981	total: 6m 2s	remaining: 30m 46s
82:	learn: 0.0258714	total: 6m 5s	remaining: 30m 35s
83:	learn: 0.0258338	total: 6m 11s	remaining: 30m 41s
84:	learn: 0.0257858	total: 6m 19s	remaining: 30m 53s
85:	learn: 0.0257401	total: 6m 24s	remaining: 30m 51s
86:	learn: 0.0257167	total: 6m 28s	remaining: 30m 42s
87:	learn: 0.0256964	total: 6m 30s	remaining: 30m 30s
88:	learn: 0.0256721	total: 6m 36s	remaining: 30m 28s
89:	learn: 0.0256530	total: 6m 38s	remaining: 30m 14s
90:	learn: 0.0256233	total: 6m 44s	remaining: 30m 19s
91:	learn: 0.0256074	total: 6m 47s	remaining: 30m 6s
92:	learn: 0.0255778	total: 6m 52s	remaining: 30m 6s
93:	learn: 0.0255596	total: 6m 54s	remaining: 29m 51s
94:	learn: 0.0255349	total: 6m 58s	remaining: 29m 42s
95:	learn: 0.0255154	total: 7m 4s	remaining: 29m 44s
96:	learn: 0.0254914	total: 7m 9s	remaining: 29m 44s
97:	learn: 0.0254798	total: 7m 11s	remaining: 29m 29s
98:	learn: 0.0254630	total: 7m 17s	remaining: 29m 30s
99:	learn: 0.0254528	total: 7m 19s	remaining: 29m 19s
100:	learn: 0.0254238	total: 7m 23s	remaining: 29m 12s
101:	learn: 0.0254089	total: 7m 26s	remaining: 29m
102:	learn: 0.0253927	total: 7m 31s	remaining: 29m 1s
103:	learn: 0.0253788	total: 7m 36s	remaining: 28m 57s
104:	learn: 0.0253680	total: 7m 38s	remaining: 28m 43s
105:	learn: 0.0253472	total: 7m 41s	remaining: 28m 36s
106:	learn: 0.0253268	total: 7m 46s	remaining: 28m 32s
107:	learn: 0.0253102	total: 7m 50s	remaining: 28m 28s
108:	learn: 0.0252989	total: 7m 52s	remaining: 28m 16s
109:	learn: 0.0252858	total: 7m 56s	remaining: 28m 11s
110:	learn: 0.0252632	total: 7m 59s	remaining: 27m 58s
111:	learn: 0.0252496	total: 8m 2s	remaining: 27m 52s
112:	learn: 0.0252257	total: 8m 5s	remaining: 27m 41s
113:	learn: 0.0252018	total: 8m 7s	remaining: 27m 32s
114:	learn: 0.0251784	total: 8m 13s	remaining: 27m 33s
115:	learn: 0.0251523	total: 8m 15s	remaining: 27m 21s
116:	learn: 0.0251346	total: 8m 17s	remaining: 27m 9s
117:	learn: 0.0251199	total: 8m 20s	remaining: 27m
118:	learn: 0.0250892	total: 8m 24s	remaining: 26m 53s
119:	learn: 0.0250589	total: 8m 26s	remaining: 26m 44s
120:	learn: 0.0250422	total: 8m 29s	remaining: 26m 35s
121:	learn: 0.0250243	total: 8m 31s	remaining: 26m 26s
122:	learn: 0.0250098	total: 8m 35s	remaining: 26m 20s
123:	learn: 0.0249877	total: 8m 42s	remaining: 26m 24s
124:	learn: 0.0249770	total: 8m 47s	remaining: 26m 21s
125:	learn: 0.0249519	total: 8m 56s	remaining: 26m 33s
126:	learn: 0.0249354	total: 9m	remaining: 26m 27s
127:	learn: 0.0249198	total: 9m 4s	remaining: 26m 22s
128:	learn: 0.0249033	total: 9m 6s	remaining: 26m 10s
129:	learn: 0.0248873	total: 9m 8s	remaining: 26m
130:	learn: 0.0248649	total: 9m 10s	remaining: 25m 50s
131:	learn: 0.0248483	total: 9m 14s	remaining: 25m 44s
132:	learn: 0.0248318	total: 9m 19s	remaining: 25m 43s
133:	learn: 0.0248165	total: 9m 24s	remaining: 25m 40s
134:	learn: 0.0248044	total: 9m 29s	remaining: 25m 40s
135:	learn: 0.0247720	total: 9m 32s	remaining: 25m 31s
136:	learn: 0.0247539	total: 9m 35s	remaining: 25m 25s
137:	learn: 0.0247457	total: 9m 36s	remaining: 25m 13s
138:	learn: 0.0247282	total: 9m 39s	remaining: 25m 4s
139:	learn: 0.0247140	total: 9m 46s	remaining: 25m 7s
140:	learn: 0.0247011	total: 9m 51s	remaining: 25m 5s
141:	learn: 0.0246872	total: 9m 54s	remaining: 24m 58s
142:	learn: 0.0246665	total: 10m	remaining: 24m 58s
143:	learn: 0.0246519	total: 10m 5s	remaining: 24m 56s
144:	learn: 0.0246448	total: 10m 10s	remaining: 24m 53s
145:	learn: 0.0246240	total: 10m 15s	remaining: 24m 52s
146:	learn: 0.0246119	total: 10m 20s	remaining: 24m 49s
147:	learn: 0.0246014	total: 10m 21s	remaining: 24m 37s
148:	learn: 0.0245892	total: 10m 23s	remaining: 24m 29s
149:	learn: 0.0245769	total: 10m 27s	remaining: 24m 24s
150:	learn: 0.0245602	total: 10m 29s	remaining: 24m 14s
151:	learn: 0.0245420	total: 10m 31s	remaining: 24m 6s
152:	learn: 0.0245200	total: 10m 33s	remaining: 23m 56s
153:	learn: 0.0245104	total: 10m 39s	remaining: 23m 57s
154:	learn: 0.0244978	total: 10m 44s	remaining: 23m 55s
