97:	learn: 0.0257493	total: 7m 20s	remaining: 30m 5s
98:	learn: 0.0257321	total: 7m 21s	remaining: 29m 48s
99:	learn: 0.0257174	total: 7m 23s	remaining: 29m 34s
100:	learn: 0.0256998	total: 7m 26s	remaining: 29m 25s
101:	learn: 0.0256727	total: 7m 33s	remaining: 29m 29s
102:	learn: 0.0256524	total: 7m 38s	remaining: 29m 26s
103:	learn: 0.0256327	total: 7m 43s	remaining: 29m 23s
104:	learn: 0.0255930	total: 7m 47s	remaining: 29m 18s
105:	learn: 0.0255717	total: 7m 51s	remaining: 29m 11s
106:	learn: 0.0255423	total: 7m 55s	remaining: 29m 6s
107:	learn: 0.0255207	total: 7m 58s	remaining: 28m 56s
108:	learn: 0.0255071	total: 8m 1s	remaining: 28m 47s
109:	learn: 0.0254781	total: 8m 8s	remaining: 28m 50s
110:	learn: 0.0254637	total: 8m 12s	remaining: 28m 45s
111:	learn: 0.0254443	total: 8m 15s	remaining: 28m 36s
112:	learn: 0.0254087	total: 8m 23s	remaining: 28m 43s
113:	learn: 0.0253850	total: 8m 30s	remaining: 28m 49s
114:	learn: 0.0253690	total: 8m 34s	remaining: 28m 41s
115:	learn: 0.0253542	total: 8m 37s	remaining: 28m 33s
116:	learn: 0.0253431	total: 8m 38s	remaining: 28m 18s
117:	learn: 0.0253249	total: 8m 44s	remaining: 28m 16s
118:	learn: 0.0253124	total: 8m 47s	remaining: 28m 8s
119:	learn: 0.0252985	total: 8m 52s	remaining: 28m 7s
120:	learn: 0.0252857	total: 8m 57s	remaining: 28m 3s
121:	learn: 0.0252715	total: 9m 2s	remaining: 28m 2s
122:	learn: 0.0252612	total: 9m 6s	remaining: 27m 54s
123:	learn: 0.0252403	total: 9m 12s	remaining: 27m 54s
124:	learn: 0.0252268	total: 9m 16s	remaining: 27m 50s
125:	learn: 0.0251959	total: 9m 19s	remaining: 27m 41s
126:	learn: 0.0251876	total: 9m 21s	remaining: 27m 28s
127:	learn: 0.0251652	total: 9m 25s	remaining: 27m 23s
128:	learn: 0.0251527	total: 9m 27s	remaining: 27m 11s
129:	learn: 0.0251367	total: 9m 29s	remaining: 27m
130:	learn: 0.0251171	total: 9m 30s	remaining: 26m 47s
131:	learn: 0.0251018	total: 9m 32s	remaining: 26m 34s
132:	learn: 0.0250821	total: 9m 35s	remaining: 26m 27s
133:	learn: 0.0250737	total: 9m 37s	remaining: 26m 18s
