71:	test: 0.9116267	best: 0.9116267 (71)	total: 4m 49s	remaining: 28m 42s
72:	test: 0.9120560	best: 0.9120560 (72)	total: 4m 53s	remaining: 28m 37s
73:	test: 0.9124865	best: 0.9124865 (73)	total: 4m 57s	remaining: 28m 31s
74:	test: 0.9128499	best: 0.9128499 (74)	total: 5m 1s	remaining: 28m 27s
75:	test: 0.9132777	best: 0.9132777 (75)	total: 5m 5s	remaining: 28m 22s
76:	test: 0.9136796	best: 0.9136796 (76)	total: 5m 8s	remaining: 28m 16s
77:	test: 0.9140255	best: 0.9140255 (77)	total: 5m 12s	remaining: 28m 11s
78:	test: 0.9144102	best: 0.9144102 (78)	total: 5m 16s	remaining: 28m 7s
79:	test: 0.9148008	best: 0.9148008 (79)	total: 5m 20s	remaining: 28m 2s
80:	test: 0.9151721	best: 0.9151721 (80)	total: 5m 24s	remaining: 27m 56s
81:	test: 0.9154887	best: 0.9154887 (81)	total: 5m 27s	remaining: 27m 50s
82:	test: 0.9158543	best: 0.9158543 (82)	total: 5m 32s	remaining: 27m 49s
83:	test: 0.9162307	best: 0.9162307 (83)	total: 5m 36s	remaining: 27m 44s
84:	test: 0.9165096	best: 0.9165096 (84)	total: 5m 39s	remaining: 27m 38s
85:	test: 0.9168372	best: 0.9168372 (85)	total: 5m 43s	remaining: 27m 32s
86:	test: 0.9171322	best: 0.9171322 (86)	total: 5m 46s	remaining: 27m 27s
87:	test: 0.9175069	best: 0.9175069 (87)	total: 5m 50s	remaining: 27m 21s
88:	test: 0.9177816	best: 0.9177816 (88)	total: 5m 54s	remaining: 27m 16s
89:	test: 0.9180269	best: 0.9180269 (89)	total: 5m 58s	remaining: 27m 10s
90:	test: 0.9182797	best: 0.9182797 (90)	total: 6m 2s	remaining: 27m 7s
91:	test: 0.9185676	best: 0.9185676 (91)	total: 6m 5s	remaining: 27m 1s
92:	test: 0.9187713	best: 0.9187713 (92)	total: 6m 9s	remaining: 26m 56s
93:	test: 0.9190378	best: 0.9190378 (93)	total: 6m 12s	remaining: 26m 50s
94:	test: 0.9193016	best: 0.9193016 (94)	total: 6m 16s	remaining: 26m 46s
95:	test: 0.9195977	best: 0.9195977 (95)	total: 6m 20s	remaining: 26m 40s
96:	test: 0.9199131	best: 0.9199131 (96)	total: 6m 23s	remaining: 26m 34s
97:	test: 0.9201977	best: 0.9201977 (97)	total: 6m 27s	remaining: 26m 29s
98:	test: 0.9204935	best: 0.9204935 (98)	total: 6m 31s	remaining: 26m 24s
99:	test: 0.9207329	best: 0.9207329 (99)	total: 6m 34s	remaining: 26m 19s
100:	test: 0.9210017	best: 0.9210017 (100)	total: 6m 38s	remaining: 26m 14s
101:	test: 0.9211921	best: 0.9211921 (101)	total: 6m 42s	remaining: 26m 9s
102:	test: 0.9214647	best: 0.9214647 (102)	total: 6m 46s	remaining: 26m 4s
103:	test: 0.9216459	best: 0.9216459 (103)	total: 6m 49s	remaining: 26m
104:	test: 0.9218594	best: 0.9218594 (104)	total: 6m 53s	remaining: 25m 55s
105:	test: 0.9221126	best: 0.9221126 (105)	total: 6m 57s	remaining: 25m 52s
106:	test: 0.9223662	best: 0.9223662 (106)	total: 7m 1s	remaining: 25m 47s
107:	test: 0.9226721	best: 0.9226721 (107)	total: 7m 5s	remaining: 25m 42s
108:	test: 0.9228582	best: 0.9228582 (108)	total: 7m 8s	remaining: 25m 38s
109:	test: 0.9230799	best: 0.9230799 (109)	total: 7m 12s	remaining: 25m 34s
110:	test: 0.9232912	best: 0.9232912 (110)	total: 7m 16s	remaining: 25m 28s
111:	test: 0.9234922	best: 0.9234922 (111)	total: 7m 19s	remaining: 25m 23s
112:	test: 0.9237107	best: 0.9237107 (112)	total: 7m 23s	remaining: 25m 18s
113:	test: 0.9239156	best: 0.9239156 (113)	total: 7m 27s	remaining: 25m 13s
114:	test: 0.9241171	best: 0.9241171 (114)	total: 7m 30s	remaining: 25m 7s
115:	test: 0.9243387	best: 0.9243387 (115)	total: 7m 34s	remaining: 25m 3s
116:	test: 0.9245344	best: 0.9245344 (116)	total: 7m 37s	remaining: 24m 58s
117:	test: 0.9247165	best: 0.9247165 (117)	total: 7m 41s	remaining: 24m 52s
118:	test: 0.9248791	best: 0.9248791 (118)	total: 7m 44s	remaining: 24m 48s
119:	test: 0.9250480	best: 0.9250480 (119)	total: 7m 48s	remaining: 24m 43s
120:	test: 0.9252444	best: 0.9252444 (120)	total: 7m 51s	remaining: 24m 37s
121:	test: 0.9254008	best: 0.9254008 (121)	total: 7m 55s	remaining: 24m 32s
122:	test: 0.9255480	best: 0.9255480 (122)	total: 7m 58s	remaining: 24m 27s
123:	test: 0.9256933	best: 0.9256933 (123)	total: 8m 2s	remaining: 24m 22s
124:	test: 0.9259159	best: 0.9259159 (124)	total: 8m 5s	remaining: 24m 16s
125:	test: 0.9260942	best: 0.9260942 (125)	total: 8m 9s	remaining: 24m 12s
126:	test: 0.9262806	best: 0.9262806 (126)	total: 8m 13s	remaining: 24m 8s
127:	test: 0.9264201	best: 0.9264201 (127)	total: 8m 16s	remaining: 24m 3s
128:	test: 0.9265412	best: 0.9265412 (128)	total: 8m 20s	remaining: 23m 58s
129:	test: 0.9267545	best: 0.9267545 (129)	total: 8m 23s	remaining: 23m 53s
130:	test: 0.9268966	best: 0.9268966 (130)	total: 8m 27s	remaining: 23m 48s
131:	test: 0.9270631	best: 0.9270631 (131)	total: 8m 30s	remaining: 23m 44s
132:	test: 0.9271884	best: 0.9271884 (132)	total: 8m 34s	remaining: 23m 40s
133:	test: 0.9272708	best: 0.9272708 (133)	total: 8m 37s	remaining: 23m 34s
134:	test: 0.9274289	best: 0.9274289 (134)	total: 8m 41s	remaining: 23m 29s
135:	test: 0.9275782	best: 0.9275782 (135)	total: 8m 44s	remaining: 23m 24s
136:	test: 0.9277544	best: 0.9277544 (136)	total: 8m 48s	remaining: 23m 20s
137:	test: 0.9279066	best: 0.9279066 (137)	total: 8m 51s	remaining: 23m 15s
138:	test: 0.9280633	best: 0.9280633 (138)	total: 8m 55s	remaining: 23m 10s
139:	test: 0.9281664	best: 0.9281664 (139)	total: 8m 58s	remaining: 23m 5s
140:	test: 0.9282828	best: 0.9282828 (140)	total: 9m 2s	remaining: 23m
141:	test: 0.9284036	best: 0.9284036 (141)	total: 9m 5s	remaining: 22m 55s
142:	test: 0.9285288	best: 0.9285288 (142)	total: 9m 8s	remaining: 22m 50s
143:	test: 0.9286678	best: 0.9286678 (143)	total: 9m 12s	remaining: 22m 45s
144:	test: 0.9287816	best: 0.9287816 (144)	total: 9m 15s	remaining: 22m 40s
145:	test: 0.9288924	best: 0.9288924 (145)	total: 9m 19s	remaining: 22m 36s
146:	test: 0.9290668	best: 0.9290668 (146)	total: 9m 23s	remaining: 22m 32s
147:	test: 0.9291282	best: 0.9291282 (147)	total: 9m 26s	remaining: 22m 27s
148:	test: 0.9292375	best: 0.9292375 (148)	total: 9m 30s	remaining: 22m 23s
149:	test: 0.9293168	best: 0.9293168 (149)	total: 9m 33s	remaining: 22m 18s
150:	test: 0.9294214	best: 0.9294214 (150)	total: 9m 37s	remaining: 22m 14s
151:	test: 0.9295788	best: 0.9295788 (151)	total: 9m 40s	remaining: 22m 9s
152:	test: 0.9297192	best: 0.9297192 (152)	total: 9m 44s	remaining: 22m 5s
153:	test: 0.9298618	best: 0.9298618 (153)	total: 9m 47s	remaining: 22m
154:	test: 0.9300167	best: 0.9300167 (154)	total: 9m 51s	remaining: 21m 56s
155:	test: 0.9301454	best: 0.9301454 (155)	total: 9m 54s	remaining: 21m 51s
156:	test: 0.9302437	best: 0.9302437 (156)	total: 9m 58s	remaining: 21m 47s
157:	test: 0.9303425	best: 0.9303425 (157)	total: 10m 2s	remaining: 21m 43s
158:	test: 0.9304584	best: 0.9304584 (158)	total: 10m 5s	remaining: 21m 38s
159:	test: 0.9305948	best: 0.9305948 (159)	total: 10m 8s	remaining: 21m 33s
160:	test: 0.9306966	best: 0.9306966 (160)	total: 10m 12s	remaining: 21m 29s
161:	test: 0.9308109	best: 0.9308109 (161)	total: 10m 15s	remaining: 21m 24s
162:	test: 0.9309504	best: 0.9309504 (162)	total: 10m 19s	remaining: 21m 20s
163:	test: 0.9310554	best: 0.9310554 (163)	total: 10m 22s	remaining: 21m 15s
164:	test: 0.9311850	best: 0.9311850 (164)	total: 10m 26s	remaining: 21m 11s
165:	test: 0.9312750	best: 0.9312750 (165)	total: 10m 29s	remaining: 21m 7s
166:	test: 0.9313871	best: 0.9313871 (166)	total: 10m 33s	remaining: 21m 2s
167:	test: 0.9315261	best: 0.9315261 (167)	total: 10m 37s	remaining: 20m 59s
168:	test: 0.9316115	best: 0.9316115 (168)	total: 10m 40s	remaining: 20m 55s
169:	test: 0.9317345	best: 0.9317345 (169)	total: 10m 44s	remaining: 20m 50s
170:	test: 0.9318384	best: 0.9318384 (170)	total: 10m 47s	remaining: 20m 46s
171:	test: 0.9318912	best: 0.9318912 (171)	total: 10m 51s	remaining: 20m 41s
172:	test: 0.9320009	best: 0.9320009 (172)	total: 10m 54s	remaining: 20m 37s
173:	test: 0.9321025	best: 0.9321025 (173)	total: 10m 58s	remaining: 20m 32s
174:	test: 0.9322476	best: 0.9322476 (174)	total: 11m 1s	remaining: 20m 28s
175:	test: 0.9323114	best: 0.9323114 (175)	total: 11m 4s	remaining: 20m 23s
176:	test: 0.9324028	best: 0.9324028 (176)	total: 11m 8s	remaining: 20m 19s
177:	test: 0.9324705	best: 0.9324705 (177)	total: 11m 11s	remaining: 20m 14s
178:	test: 0.9325384	best: 0.9325384 (178)	total: 11m 14s	remaining: 20m 10s
179:	test: 0.9326315	best: 0.9326315 (179)	total: 11m 18s	remaining: 20m 5s
180:	test: 0.9327686	best: 0.9327686 (180)	total: 11m 21s	remaining: 20m 1s
181:	test: 0.9328202	best: 0.9328202 (181)	total: 11m 25s	remaining: 19m 57s
182:	test: 0.9328993	best: 0.9328993 (182)	total: 11m 28s	remaining: 19m 53s
183:	test: 0.9329579	best: 0.9329579 (183)	total: 11m 32s	remaining: 19m 49s
184:	test: 0.9330085	best: 0.9330085 (184)	total: 11m 35s	remaining: 19m 44s
185:	test: 0.9331230	best: 0.9331230 (185)	total: 11m 39s	remaining: 19m 40s
186:	test: 0.9332348	best: 0.9332348 (186)	total: 11m 42s	remaining: 19m 35s
187:	test: 0.9333339	best: 0.9333339 (187)	total: 11m 46s	remaining: 19m 32s
188:	test: 0.9334101	best: 0.9334101 (188)	total: 11m 49s	remaining: 19m 27s
189:	test: 0.9335068	best: 0.9335068 (189)	total: 11m 52s	remaining: 19m 22s
190:	test: 0.9335564	best: 0.9335564 (190)	total: 11m 55s	remaining: 19m 18s
191:	test: 0.9336403	best: 0.9336403 (191)	total: 11m 59s	remaining: 19m 13s
192:	test: 0.9337194	best: 0.9337194 (192)	total: 12m 2s	remaining: 19m 9s
193:	test: 0.9338065	best: 0.9338065 (193)	total: 12m 5s	remaining: 19m 5s
194:	test: 0.9339001	best: 0.9339001 (194)	total: 12m 9s	remaining: 19m 1s
195:	test: 0.9340021	best: 0.9340021 (195)	total: 12m 13s	remaining: 18m 57s
196:	test: 0.9340678	best: 0.9340678 (196)	total: 12m 16s	remaining: 18m 53s
197:	test: 0.9341098	best: 0.9341098 (197)	total: 12m 20s	remaining: 18m 49s
198:	test: 0.9342021	best: 0.9342021 (198)	total: 12m 23s	remaining: 18m 44s
199:	test: 0.9342817	best: 0.9342817 (199)	total: 12m 27s	remaining: 18m 41s
200:	test: 0.9343447	best: 0.9343447 (200)	total: 12m 30s	remaining: 18m 36s
201:	test: 0.9344096	best: 0.9344096 (201)	total: 12m 34s	remaining: 18m 32s
202:	test: 0.9344694	best: 0.9344694 (202)	total: 12m 37s	remaining: 18m 28s
203:	test: 0.9345525	best: 0.9345525 (203)	total: 12m 41s	remaining: 18m 24s
204:	test: 0.9346060	best: 0.9346060 (204)	total: 12m 44s	remaining: 18m 20s
205:	test: 0.9346616	best: 0.9346616 (205)	total: 12m 48s	remaining: 18m 16s
206:	test: 0.9346971	best: 0.9346971 (206)	total: 12m 51s	remaining: 18m 12s
207:	test: 0.9347875	best: 0.9347875 (207)	total: 12m 54s	remaining: 18m 7s
208:	test: 0.9348536	best: 0.9348536 (208)	total: 12m 58s	remaining: 18m 3s
209:	test: 0.9349560	best: 0.9349560 (209)	total: 13m 1s	remaining: 17m 59s
210:	test: 0.9350153	best: 0.9350153 (210)	total: 13m 5s	remaining: 17m 55s
211:	test: 0.9350810	best: 0.9350810 (211)	total: 13m 8s	remaining: 17m 51s
212:	test: 0.9351638	best: 0.9351638 (212)	total: 13m 11s	remaining: 17m 47s
