0:	test: 0.7336430	best: 0.7336430 (0)	total: 4.22s	remaining: 35m 4s
1:	test: 0.7567905	best: 0.7567905 (1)	total: 8.3s	remaining: 34m 26s
2:	test: 0.7726748	best: 0.7726748 (2)	total: 12.7s	remaining: 35m 1s
3:	test: 0.7818497	best: 0.7818497 (3)	total: 16.8s	remaining: 34m 41s
4:	test: 0.7898334	best: 0.7898334 (4)	total: 20.8s	remaining: 34m 20s
5:	test: 0.7974453	best: 0.7974453 (5)	total: 24.9s	remaining: 34m 6s
6:	test: 0.8066510	best: 0.8066510 (6)	total: 29.2s	remaining: 34m 17s
7:	test: 0.8140905	best: 0.8140905 (7)	total: 33.6s	remaining: 34m 26s
8:	test: 0.8190682	best: 0.8190682 (8)	total: 37.7s	remaining: 34m 17s
9:	test: 0.8251107	best: 0.8251107 (9)	total: 41.7s	remaining: 34m 4s
10:	test: 0.8290688	best: 0.8290688 (10)	total: 45.9s	remaining: 33m 59s
11:	test: 0.8333043	best: 0.8333043 (11)	total: 50.1s	remaining: 33m 57s
12:	test: 0.8377308	best: 0.8377308 (12)	total: 54.2s	remaining: 33m 50s
13:	test: 0.8415748	best: 0.8415748 (13)	total: 58.4s	remaining: 33m 47s
14:	test: 0.8445914	best: 0.8445914 (14)	total: 1m 2s	remaining: 33m 48s
15:	test: 0.8476361	best: 0.8476361 (15)	total: 1m 6s	remaining: 33m 42s
16:	test: 0.8506200	best: 0.8506200 (16)	total: 1m 10s	remaining: 33m 34s
17:	test: 0.8538485	best: 0.8538485 (17)	total: 1m 15s	remaining: 33m 31s
18:	test: 0.8562824	best: 0.8562824 (18)	total: 1m 19s	remaining: 33m 29s
19:	test: 0.8587036	best: 0.8587036 (19)	total: 1m 23s	remaining: 33m 22s
20:	test: 0.8610202	best: 0.8610202 (20)	total: 1m 27s	remaining: 33m 18s
21:	test: 0.8632050	best: 0.8632050 (21)	total: 1m 31s	remaining: 33m 11s
22:	test: 0.8654906	best: 0.8654906 (22)	total: 1m 35s	remaining: 33m 8s
23:	test: 0.8674449	best: 0.8674449 (23)	total: 1m 39s	remaining: 33m 2s
24:	test: 0.8693839	best: 0.8693839 (24)	total: 1m 44s	remaining: 32m 57s
25:	test: 0.8711047	best: 0.8711047 (25)	total: 1m 48s	remaining: 32m 51s
26:	test: 0.8730094	best: 0.8730094 (26)	total: 1m 52s	remaining: 32m 44s
27:	test: 0.8744987	best: 0.8744987 (27)	total: 1m 56s	remaining: 32m 39s
28:	test: 0.8761447	best: 0.8761447 (28)	total: 2m	remaining: 32m 32s
29:	test: 0.8777068	best: 0.8777068 (29)	total: 2m 4s	remaining: 32m 26s
30:	test: 0.8792182	best: 0.8792182 (30)	total: 2m 8s	remaining: 32m 20s
31:	test: 0.8805088	best: 0.8805088 (31)	total: 2m 12s	remaining: 32m 13s
32:	test: 0.8817473	best: 0.8817473 (32)	total: 2m 16s	remaining: 32m 9s
33:	test: 0.8831916	best: 0.8831916 (33)	total: 2m 20s	remaining: 32m 3s
34:	test: 0.8843734	best: 0.8843734 (34)	total: 2m 24s	remaining: 32m 1s
35:	test: 0.8855801	best: 0.8855801 (35)	total: 2m 28s	remaining: 31m 57s
36:	test: 0.8868408	best: 0.8868408 (36)	total: 2m 32s	remaining: 31m 52s
37:	test: 0.8879760	best: 0.8879760 (37)	total: 2m 36s	remaining: 31m 45s
38:	test: 0.8889655	best: 0.8889655 (38)	total: 2m 40s	remaining: 31m 39s
39:	test: 0.8900434	best: 0.8900434 (39)	total: 2m 44s	remaining: 31m 34s
40:	test: 0.8910204	best: 0.8910204 (40)	total: 2m 48s	remaining: 31m 30s
41:	test: 0.8920212	best: 0.8920212 (41)	total: 2m 52s	remaining: 31m 22s
42:	test: 0.8930502	best: 0.8930502 (42)	total: 2m 56s	remaining: 31m 17s
43:	test: 0.8939852	best: 0.8939852 (43)	total: 3m	remaining: 31m 9s
44:	test: 0.8949776	best: 0.8949776 (44)	total: 3m 4s	remaining: 31m 6s
45:	test: 0.8958929	best: 0.8958929 (45)	total: 3m 8s	remaining: 31m
46:	test: 0.8967277	best: 0.8967277 (46)	total: 3m 12s	remaining: 30m 55s
47:	test: 0.8976588	best: 0.8976588 (47)	total: 3m 16s	remaining: 30m 51s
48:	test: 0.8983169	best: 0.8983169 (48)	total: 3m 20s	remaining: 30m 45s
49:	test: 0.8991704	best: 0.8991704 (49)	total: 3m 24s	remaining: 30m 42s
50:	test: 0.8999832	best: 0.8999832 (50)	total: 3m 28s	remaining: 30m 37s
51:	test: 0.9006857	best: 0.9006857 (51)	total: 3m 32s	remaining: 30m 34s
52:	test: 0.9014418	best: 0.9014418 (52)	total: 3m 36s	remaining: 30m 27s
53:	test: 0.9020419	best: 0.9020419 (53)	total: 3m 40s	remaining: 30m 22s
54:	test: 0.9027288	best: 0.9027288 (54)	total: 3m 44s	remaining: 30m 16s
55:	test: 0.9033231	best: 0.9033231 (55)	total: 3m 48s	remaining: 30m 9s
56:	test: 0.9040446	best: 0.9040446 (56)	total: 3m 52s	remaining: 30m 7s
57:	test: 0.9045946	best: 0.9045946 (57)	total: 3m 56s	remaining: 30m 1s
58:	test: 0.9051074	best: 0.9051074 (58)	total: 4m	remaining: 29m 55s
59:	test: 0.9057345	best: 0.9057345 (59)	total: 4m 4s	remaining: 29m 50s
60:	test: 0.9063081	best: 0.9063081 (60)	total: 4m 8s	remaining: 29m 45s
61:	test: 0.9069205	best: 0.9069205 (61)	total: 4m 11s	remaining: 29m 40s
62:	test: 0.9074756	best: 0.9074756 (62)	total: 4m 15s	remaining: 29m 34s
63:	test: 0.9080207	best: 0.9080207 (63)	total: 4m 19s	remaining: 29m 28s
64:	test: 0.9085603	best: 0.9085603 (64)	total: 4m 23s	remaining: 29m 23s
65:	test: 0.9090140	best: 0.9090140 (65)	total: 4m 27s	remaining: 29m 19s
66:	test: 0.9094955	best: 0.9094955 (66)	total: 4m 31s	remaining: 29m 15s
67:	test: 0.9099042	best: 0.9099042 (67)	total: 4m 35s	remaining: 29m 10s
68:	test: 0.9104245	best: 0.9104245 (68)	total: 4m 39s	remaining: 29m 5s
69:	test: 0.9108793	best: 0.9108793 (69)	total: 4m 43s	remaining: 29m
70:	test: 0.9113381	best: 0.9113381 (70)	total: 4m 47s	remaining: 28m 54s
71:	test: 0.9116860	best: 0.9116860 (71)	total: 4m 50s	remaining: 28m 49s
72:	test: 0.9121316	best: 0.9121316 (72)	total: 4m 54s	remaining: 28m 44s
73:	test: 0.9125043	best: 0.9125043 (73)	total: 4m 58s	remaining: 28m 38s
74:	test: 0.9129397	best: 0.9129397 (74)	total: 5m 2s	remaining: 28m 32s
75:	test: 0.9133623	best: 0.9133623 (75)	total: 5m 5s	remaining: 28m 25s
76:	test: 0.9137465	best: 0.9137465 (76)	total: 5m 9s	remaining: 28m 20s
77:	test: 0.9141748	best: 0.9141748 (77)	total: 5m 13s	remaining: 28m 18s
78:	test: 0.9145741	best: 0.9145741 (78)	total: 5m 17s	remaining: 28m 13s
79:	test: 0.9149750	best: 0.9149750 (79)	total: 5m 21s	remaining: 28m 7s
80:	test: 0.9153739	best: 0.9153739 (80)	total: 5m 25s	remaining: 28m 1s
81:	test: 0.9156735	best: 0.9156735 (81)	total: 5m 28s	remaining: 27m 55s
82:	test: 0.9160769	best: 0.9160769 (82)	total: 5m 32s	remaining: 27m 51s
83:	test: 0.9164406	best: 0.9164406 (83)	total: 5m 36s	remaining: 27m 46s
84:	test: 0.9167135	best: 0.9167135 (84)	total: 5m 40s	remaining: 27m 40s
85:	test: 0.9170728	best: 0.9170728 (85)	total: 5m 43s	remaining: 27m 34s
86:	test: 0.9173667	best: 0.9173667 (86)	total: 5m 47s	remaining: 27m 28s
87:	test: 0.9177347	best: 0.9177347 (87)	total: 5m 51s	remaining: 27m 23s
88:	test: 0.9180696	best: 0.9180696 (88)	total: 5m 55s	remaining: 27m 20s
89:	test: 0.9183675	best: 0.9183675 (89)	total: 5m 59s	remaining: 27m 16s
90:	test: 0.9185965	best: 0.9185965 (90)	total: 6m 3s	remaining: 27m 11s
91:	test: 0.9188721	best: 0.9188721 (91)	total: 6m 7s	remaining: 27m 7s
92:	test: 0.9190949	best: 0.9190949 (92)	total: 6m 11s	remaining: 27m 4s
93:	test: 0.9193256	best: 0.9193256 (93)	total: 6m 14s	remaining: 26m 58s
94:	test: 0.9195693	best: 0.9195693 (94)	total: 6m 18s	remaining: 26m 52s
95:	test: 0.9198689	best: 0.9198689 (95)	total: 6m 21s	remaining: 26m 47s
96:	test: 0.9201380	best: 0.9201380 (96)	total: 6m 25s	remaining: 26m 42s
97:	test: 0.9204060	best: 0.9204060 (97)	total: 6m 29s	remaining: 26m 39s
98:	test: 0.9206605	best: 0.9206605 (98)	total: 6m 33s	remaining: 26m 35s
99:	test: 0.9209733	best: 0.9209733 (99)	total: 6m 37s	remaining: 26m 30s
100:	test: 0.9212768	best: 0.9212768 (100)	total: 6m 41s	remaining: 26m 26s
101:	test: 0.9215386	best: 0.9215386 (101)	total: 6m 45s	remaining: 26m 21s
102:	test: 0.9217239	best: 0.9217239 (102)	total: 6m 48s	remaining: 26m 15s
103:	test: 0.9219526	best: 0.9219526 (103)	total: 6m 52s	remaining: 26m 10s
104:	test: 0.9222153	best: 0.9222153 (104)	total: 6m 56s	remaining: 26m 5s
105:	test: 0.9224323	best: 0.9224323 (105)	total: 6m 59s	remaining: 26m
106:	test: 0.9226353	best: 0.9226353 (106)	total: 7m 3s	remaining: 25m 55s
107:	test: 0.9228817	best: 0.9228817 (107)	total: 7m 7s	remaining: 25m 50s
108:	test: 0.9230983	best: 0.9230983 (108)	total: 7m 10s	remaining: 25m 45s
109:	test: 0.9233274	best: 0.9233274 (109)	total: 7m 14s	remaining: 25m 41s
110:	test: 0.9235145	best: 0.9235145 (110)	total: 7m 18s	remaining: 25m 36s
111:	test: 0.9237788	best: 0.9237788 (111)	total: 7m 21s	remaining: 25m 30s
112:	test: 0.9239397	best: 0.9239397 (112)	total: 7m 25s	remaining: 25m 26s
113:	test: 0.9241875	best: 0.9241875 (113)	total: 7m 29s	remaining: 25m 21s
114:	test: 0.9243419	best: 0.9243419 (114)	total: 7m 32s	remaining: 25m 16s
115:	test: 0.9245689	best: 0.9245689 (115)	total: 7m 36s	remaining: 25m 11s
116:	test: 0.9247679	best: 0.9247679 (116)	total: 7m 40s	remaining: 25m 6s
117:	test: 0.9249919	best: 0.9249919 (117)	total: 7m 43s	remaining: 25m 1s
118:	test: 0.9252048	best: 0.9252048 (118)	total: 7m 47s	remaining: 24m 55s
119:	test: 0.9253849	best: 0.9253849 (119)	total: 7m 50s	remaining: 24m 49s
120:	test: 0.9255546	best: 0.9255546 (120)	total: 7m 53s	remaining: 24m 44s
121:	test: 0.9257375	best: 0.9257375 (121)	total: 7m 57s	remaining: 24m 40s
122:	test: 0.9258384	best: 0.9258384 (122)	total: 8m 1s	remaining: 24m 36s
123:	test: 0.9259588	best: 0.9259588 (123)	total: 8m 5s	remaining: 24m 31s
124:	test: 0.9261412	best: 0.9261412 (124)	total: 8m 8s	remaining: 24m 26s
125:	test: 0.9263057	best: 0.9263057 (125)	total: 8m 12s	remaining: 24m 21s
126:	test: 0.9264715	best: 0.9264715 (126)	total: 8m 16s	remaining: 24m 17s
127:	test: 0.9265975	best: 0.9265975 (127)	total: 8m 19s	remaining: 24m 12s
128:	test: 0.9267691	best: 0.9267691 (128)	total: 8m 23s	remaining: 24m 8s
129:	test: 0.9269099	best: 0.9269099 (129)	total: 8m 27s	remaining: 24m 3s
130:	test: 0.9271119	best: 0.9271119 (130)	total: 8m 31s	remaining: 24m
131:	test: 0.9272878	best: 0.9272878 (131)	total: 8m 35s	remaining: 23m 55s
132:	test: 0.9274560	best: 0.9274560 (132)	total: 8m 38s	remaining: 23m 51s
133:	test: 0.9276312	best: 0.9276312 (133)	total: 8m 41s	remaining: 23m 45s
134:	test: 0.9277593	best: 0.9277593 (134)	total: 8m 45s	remaining: 23m 40s
135:	test: 0.9278811	best: 0.9278811 (135)	total: 8m 48s	remaining: 23m 35s
136:	test: 0.9280528	best: 0.9280528 (136)	total: 8m 52s	remaining: 23m 30s
137:	test: 0.9281830	best: 0.9281830 (137)	total: 8m 56s	remaining: 23m 26s
138:	test: 0.9283346	best: 0.9283346 (138)	total: 8m 59s	remaining: 23m 21s
139:	test: 0.9284562	best: 0.9284562 (139)	total: 9m 3s	remaining: 23m 16s
140:	test: 0.9285864	best: 0.9285864 (140)	total: 9m 6s	remaining: 23m 12s
141:	test: 0.9287249	best: 0.9287249 (141)	total: 9m 10s	remaining: 23m 7s
142:	test: 0.9288423	best: 0.9288423 (142)	total: 9m 13s	remaining: 23m 2s
143:	test: 0.9289500	best: 0.9289500 (143)	total: 9m 17s	remaining: 22m 57s
144:	test: 0.9290340	best: 0.9290340 (144)	total: 9m 20s	remaining: 22m 52s
145:	test: 0.9291623	best: 0.9291623 (145)	total: 9m 24s	remaining: 22m 47s
146:	test: 0.9292553	best: 0.9292553 (146)	total: 9m 27s	remaining: 22m 42s
147:	test: 0.9293441	best: 0.9293441 (147)	total: 9m 30s	remaining: 22m 37s
148:	test: 0.9294590	best: 0.9294590 (148)	total: 9m 34s	remaining: 22m 33s
149:	test: 0.9295862	best: 0.9295862 (149)	total: 9m 38s	remaining: 22m 28s
150:	test: 0.9297560	best: 0.9297560 (150)	total: 9m 41s	remaining: 22m 24s
151:	test: 0.9298555	best: 0.9298555 (151)	total: 9m 44s	remaining: 22m 19s
152:	test: 0.9299702	best: 0.9299702 (152)	total: 9m 48s	remaining: 22m 14s
153:	test: 0.9300957	best: 0.9300957 (153)	total: 9m 51s	remaining: 22m 9s
154:	test: 0.9302192	best: 0.9302192 (154)	total: 9m 55s	remaining: 22m 5s
155:	test: 0.9303175	best: 0.9303175 (155)	total: 9m 58s	remaining: 22m
156:	test: 0.9304277	best: 0.9304277 (156)	total: 10m 2s	remaining: 21m 55s
157:	test: 0.9305417	best: 0.9305417 (157)	total: 10m 5s	remaining: 21m 50s
158:	test: 0.9306482	best: 0.9306482 (158)	total: 10m 9s	remaining: 21m 46s
159:	test: 0.9307371	best: 0.9307371 (159)	total: 10m 12s	remaining: 21m 41s
160:	test: 0.9308391	best: 0.9308391 (160)	total: 10m 16s	remaining: 21m 37s
161:	test: 0.9309384	best: 0.9309384 (161)	total: 10m 19s	remaining: 21m 32s
162:	test: 0.9310463	best: 0.9310463 (162)	total: 10m 22s	remaining: 21m 27s
163:	test: 0.9311662	best: 0.9311662 (163)	total: 10m 26s	remaining: 21m 22s
164:	test: 0.9312846	best: 0.9312846 (164)	total: 10m 29s	remaining: 21m 18s
165:	test: 0.9313637	best: 0.9313637 (165)	total: 10m 33s	remaining: 21m 14s
166:	test: 0.9315115	best: 0.9315115 (166)	total: 10m 36s	remaining: 21m 10s
167:	test: 0.9315672	best: 0.9315672 (167)	total: 10m 40s	remaining: 21m 5s
168:	test: 0.9316741	best: 0.9316741 (168)	total: 10m 43s	remaining: 21m
169:	test: 0.9317982	best: 0.9317982 (169)	total: 10m 47s	remaining: 20m 56s
170:	test: 0.9318821	best: 0.9318821 (170)	total: 10m 50s	remaining: 20m 52s
171:	test: 0.9319911	best: 0.9319911 (171)	total: 10m 54s	remaining: 20m 47s
172:	test: 0.9320793	best: 0.9320793 (172)	total: 10m 57s	remaining: 20m 43s
173:	test: 0.9322178	best: 0.9322178 (173)	total: 11m 1s	remaining: 20m 39s
174:	test: 0.9322743	best: 0.9322743 (174)	total: 11m 4s	remaining: 20m 34s
175:	test: 0.9323545	best: 0.9323545 (175)	total: 11m 7s	remaining: 20m 29s
176:	test: 0.9324428	best: 0.9324428 (176)	total: 11m 11s	remaining: 20m 24s
177:	test: 0.9325214	best: 0.9325214 (177)	total: 11m 14s	remaining: 20m 20s
178:	test: 0.9325777	best: 0.9325777 (178)	total: 11m 17s	remaining: 20m 15s
179:	test: 0.9326705	best: 0.9326705 (179)	total: 11m 21s	remaining: 20m 10s
180:	test: 0.9327296	best: 0.9327296 (180)	total: 11m 24s	remaining: 20m 6s
181:	test: 0.9328317	best: 0.9328317 (181)	total: 11m 27s	remaining: 20m 1s
182:	test: 0.9329718	best: 0.9329718 (182)	total: 11m 31s	remaining: 19m 57s
183:	test: 0.9330656	best: 0.9330656 (183)	total: 11m 34s	remaining: 19m 52s
184:	test: 0.9331689	best: 0.9331689 (184)	total: 11m 37s	remaining: 19m 48s
185:	test: 0.9332758	best: 0.9332758 (185)	total: 11m 40s	remaining: 19m 43s
186:	test: 0.9333608	best: 0.9333608 (186)	total: 11m 44s	remaining: 19m 38s
187:	test: 0.9334667	best: 0.9334667 (187)	total: 11m 47s	remaining: 19m 34s
188:	test: 0.9335298	best: 0.9335298 (188)	total: 11m 50s	remaining: 19m 29s
189:	test: 0.9335651	best: 0.9335651 (189)	total: 11m 54s	remaining: 19m 25s
190:	test: 0.9336444	best: 0.9336444 (190)	total: 11m 57s	remaining: 19m 20s
191:	test: 0.9336881	best: 0.9336881 (191)	total: 12m	remaining: 19m 15s
192:	test: 0.9337780	best: 0.9337780 (192)	total: 12m 3s	remaining: 19m 11s
193:	test: 0.9338322	best: 0.9338322 (193)	total: 12m 7s	remaining: 19m 7s
194:	test: 0.9339193	best: 0.9339193 (194)	total: 12m 10s	remaining: 19m 3s
195:	test: 0.9339659	best: 0.9339659 (195)	total: 12m 14s	remaining: 18m 59s
196:	test: 0.9340620	best: 0.9340620 (196)	total: 12m 17s	remaining: 18m 54s
197:	test: 0.9341524	best: 0.9341524 (197)	total: 12m 21s	remaining: 18m 50s
198:	test: 0.9342164	best: 0.9342164 (198)	total: 12m 24s	remaining: 18m 46s
199:	test: 0.9343314	best: 0.9343314 (199)	total: 12m 28s	remaining: 18m 42s
200:	test: 0.9344046	best: 0.9344046 (200)	total: 12m 31s	remaining: 18m 38s
201:	test: 0.9344663	best: 0.9344663 (201)	total: 12m 34s	remaining: 18m 33s
202:	test: 0.9345401	best: 0.9345401 (202)	total: 12m 38s	remaining: 18m 29s
203:	test: 0.9346037	best: 0.9346037 (203)	total: 12m 41s	remaining: 18m 25s
204:	test: 0.9346577	best: 0.9346577 (204)	total: 12m 44s	remaining: 18m 20s
205:	test: 0.9347410	best: 0.9347410 (205)	total: 12m 48s	remaining: 18m 16s
206:	test: 0.9348362	best: 0.9348362 (206)	total: 12m 51s	remaining: 18m 12s
207:	test: 0.9348809	best: 0.9348809 (207)	total: 12m 54s	remaining: 18m 7s
208:	test: 0.9349714	best: 0.9349714 (208)	total: 12m 58s	remaining: 18m 3s
209:	test: 0.9350268	best: 0.9350268 (209)	total: 13m 1s	remaining: 17m 59s
210:	test: 0.9351083	best: 0.9351083 (210)	total: 13m 5s	remaining: 17m 55s
211:	test: 0.9351938	best: 0.9351938 (211)	total: 13m 8s	remaining: 17m 50s
212:	test: 0.9352285	best: 0.9352285 (212)	total: 13m 11s	remaining: 17m 46s
213:	test: 0.9352890	best: 0.9352890 (213)	total: 13m 14s	remaining: 17m 42s
