71:	test: 0.9303935	best: 0.9318086 (38)	total: 7m 1s	remaining: 41m 43s
72:	test: 0.9304322	best: 0.9318086 (38)	total: 7m 5s	remaining: 41m 31s
73:	test: 0.9302952	best: 0.9318086 (38)	total: 7m 11s	remaining: 41m 25s
74:	test: 0.9302380	best: 0.9318086 (38)	total: 7m 16s	remaining: 41m 15s
75:	test: 0.9299807	best: 0.9318086 (38)	total: 7m 24s	remaining: 41m 18s
76:	test: 0.9296148	best: 0.9318086 (38)	total: 7m 32s	remaining: 41m 24s
77:	test: 0.9296378	best: 0.9318086 (38)	total: 7m 38s	remaining: 41m 18s
78:	test: 0.9294450	best: 0.9318086 (38)	total: 7m 44s	remaining: 41m 14s
79:	test: 0.9294450	best: 0.9318086 (38)	total: 7m 51s	remaining: 41m 14s
80:	test: 0.9294444	best: 0.9318086 (38)	total: 7m 58s	remaining: 41m 14s
81:	test: 0.9294445	best: 0.9318086 (38)	total: 8m 4s	remaining: 41m 8s
82:	test: 0.9288498	best: 0.9318086 (38)	total: 8m 10s	remaining: 41m 3s
83:	test: 0.9288384	best: 0.9318086 (38)	total: 8m 15s	remaining: 40m 53s
84:	test: 0.9279514	best: 0.9318086 (38)	total: 8m 23s	remaining: 40m 58s
85:	test: 0.9277378	best: 0.9318086 (38)	total: 8m 32s	remaining: 41m 4s
86:	test: 0.9272383	best: 0.9318086 (38)	total: 8m 40s	remaining: 41m 8s
87:	test: 0.9269908	best: 0.9318086 (38)	total: 8m 44s	remaining: 40m 57s
88:	test: 0.9267225	best: 0.9318086 (38)	total: 8m 52s	remaining: 40m 57s
89:	test: 0.9266201	best: 0.9318086 (38)	total: 8m 57s	remaining: 40m 50s
90:	test: 0.9266538	best: 0.9318086 (38)	total: 9m 7s	remaining: 41m
91:	test: 0.9269585	best: 0.9318086 (38)	total: 9m 15s	remaining: 41m 5s
92:	test: 0.9266799	best: 0.9318086 (38)	total: 9m 21s	remaining: 40m 58s
93:	test: 0.9263947	best: 0.9318086 (38)	total: 9m 28s	remaining: 40m 54s
94:	test: 0.9263546	best: 0.9318086 (38)	total: 9m 37s	remaining: 41m
95:	test: 0.9264598	best: 0.9318086 (38)	total: 9m 42s	remaining: 40m 51s
96:	test: 0.9262839	best: 0.9318086 (38)	total: 9m 47s	remaining: 40m 39s
97:	test: 0.9262825	best: 0.9318086 (38)	total: 9m 50s	remaining: 40m 24s
98:	test: 0.9259475	best: 0.9318086 (38)	total: 10m	remaining: 40m 33s
99:	test: 0.9259612	best: 0.9318086 (38)	total: 10m 8s	remaining: 40m 33s
100:	test: 0.9262037	best: 0.9318086 (38)	total: 10m 15s	remaining: 40m 31s
101:	test: 0.9262728	best: 0.9318086 (38)	total: 10m 22s	remaining: 40m 27s
102:	test: 0.9260482	best: 0.9318086 (38)	total: 10m 28s	remaining: 40m 21s
103:	test: 0.9260495	best: 0.9318086 (38)	total: 10m 33s	remaining: 40m 11s
104:	test: 0.9261231	best: 0.9318086 (38)	total: 10m 43s	remaining: 40m 22s
105:	test: 0.9261178	best: 0.9318086 (38)	total: 10m 50s	remaining: 40m 16s
106:	test: 0.9260386	best: 0.9318086 (38)	total: 11m 1s	remaining: 40m 30s
107:	test: 0.9257199	best: 0.9318086 (38)	total: 11m 9s	remaining: 40m 29s
108:	test: 0.9257717	best: 0.9318086 (38)	total: 11m 20s	remaining: 40m 41s
109:	test: 0.9258038	best: 0.9318086 (38)	total: 11m 28s	remaining: 40m 42s
110:	test: 0.9258564	best: 0.9318086 (38)	total: 11m 37s	remaining: 40m 45s
111:	test: 0.9262467	best: 0.9318086 (38)	total: 11m 45s	remaining: 40m 43s
112:	test: 0.9262504	best: 0.9318086 (38)	total: 11m 49s	remaining: 40m 30s
113:	test: 0.9268903	best: 0.9318086 (38)	total: 11m 53s	remaining: 40m 16s
114:	test: 0.9269414	best: 0.9318086 (38)	total: 11m 59s	remaining: 40m 8s
115:	test: 0.9269672	best: 0.9318086 (38)	total: 12m 4s	remaining: 39m 56s
116:	test: 0.9269806	best: 0.9318086 (38)	total: 12m 8s	remaining: 39m 44s
117:	test: 0.9269615	best: 0.9318086 (38)	total: 12m 12s	remaining: 39m 32s
118:	test: 0.9270342	best: 0.9318086 (38)	total: 12m 20s	remaining: 39m 29s
119:	test: 0.9270331	best: 0.9318086 (38)	total: 12m 25s	remaining: 39m 21s
120:	test: 0.9270256	best: 0.9318086 (38)	total: 12m 30s	remaining: 39m 12s
121:	test: 0.9269075	best: 0.9318086 (38)	total: 12m 39s	remaining: 39m 12s
122:	test: 0.9266984	best: 0.9318086 (38)	total: 12m 47s	remaining: 39m 11s
123:	test: 0.9266952	best: 0.9318086 (38)	total: 12m 52s	remaining: 39m 1s
124:	test: 0.9272220	best: 0.9318086 (38)	total: 13m 3s	remaining: 39m 11s
125:	test: 0.9267299	best: 0.9318086 (38)	total: 13m 10s	remaining: 39m 6s
126:	test: 0.9267245	best: 0.9318086 (38)	total: 13m 22s	remaining: 39m 15s
127:	test: 0.9267252	best: 0.9318086 (38)	total: 13m 24s	remaining: 38m 57s
128:	test: 0.9267262	best: 0.9318086 (38)	total: 13m 29s	remaining: 38m 47s
129:	test: 0.9267370	best: 0.9318086 (38)	total: 13m 34s	remaining: 38m 39s
130:	test: 0.9267521	best: 0.9318086 (38)	total: 13m 44s	remaining: 38m 43s
131:	test: 0.9266494	best: 0.9318086 (38)	total: 13m 51s	remaining: 38m 38s
132:	test: 0.9265932	best: 0.9318086 (38)	total: 13m 54s	remaining: 38m 22s
133:	test: 0.9264056	best: 0.9318086 (38)	total: 13m 56s	remaining: 38m 4s
134:	test: 0.9270346	best: 0.9318086 (38)	total: 14m	remaining: 37m 52s
135:	test: 0.9269295	best: 0.9318086 (38)	total: 14m 4s	remaining: 37m 40s
136:	test: 0.9269192	best: 0.9318086 (38)	total: 14m 8s	remaining: 37m 28s
137:	test: 0.9268292	best: 0.9318086 (38)	total: 14m 11s	remaining: 37m 14s
138:	test: 0.9268264	best: 0.9318086 (38)	total: 14m 21s	remaining: 37m 17s
139:	test: 0.9267818	best: 0.9318086 (38)	total: 14m 23s	remaining: 37m 1s
140:	test: 0.9267768	best: 0.9318086 (38)	total: 14m 29s	remaining: 36m 54s
141:	test: 0.9267807	best: 0.9318086 (38)	total: 14m 34s	remaining: 36m 44s
142:	test: 0.9265850	best: 0.9318086 (38)	total: 14m 43s	remaining: 36m 44s
143:	test: 0.9265373	best: 0.9318086 (38)	total: 14m 51s	remaining: 36m 43s
144:	test: 0.9265341	best: 0.9318086 (38)	total: 14m 56s	remaining: 36m 33s
145:	test: 0.9265148	best: 0.9318086 (38)	total: 15m 2s	remaining: 36m 27s
146:	test: 0.9265522	best: 0.9318086 (38)	total: 15m 12s	remaining: 36m 31s
147:	test: 0.9265372	best: 0.9318086 (38)	total: 15m 22s	remaining: 36m 33s
148:	test: 0.9265319	best: 0.9318086 (38)	total: 15m 32s	remaining: 36m 35s
149:	test: 0.9266129	best: 0.9318086 (38)	total: 15m 42s	remaining: 36m 38s
150:	test: 0.9266190	best: 0.9318086 (38)	total: 15m 52s	remaining: 36m 40s
151:	test: 0.9266429	best: 0.9318086 (38)	total: 16m 2s	remaining: 36m 42s
152:	test: 0.9266411	best: 0.9318086 (38)	total: 16m 6s	remaining: 36m 31s
153:	test: 0.9265389	best: 0.9318086 (38)	total: 16m 14s	remaining: 36m 28s
154:	test: 0.9265354	best: 0.9318086 (38)	total: 16m 22s	remaining: 36m 27s
155:	test: 0.9265258	best: 0.9318086 (38)	total: 16m 25s	remaining: 36m 12s
156:	test: 0.9265227	best: 0.9318086 (38)	total: 16m 27s	remaining: 35m 57s
157:	test: 0.9266708	best: 0.9318086 (38)	total: 16m 33s	remaining: 35m 49s
158:	test: 0.9266734	best: 0.9318086 (38)	total: 16m 35s	remaining: 35m 33s
159:	test: 0.9266972	best: 0.9318086 (38)	total: 16m 41s	remaining: 35m 27s
160:	test: 0.9266973	best: 0.9318086 (38)	total: 16m 44s	remaining: 35m 15s
161:	test: 0.9266982	best: 0.9318086 (38)	total: 16m 49s	remaining: 35m 6s
162:	test: 0.9266638	best: 0.9318086 (38)	total: 16m 53s	remaining: 34m 54s
163:	test: 0.9266639	best: 0.9318086 (38)	total: 17m 3s	remaining: 34m 55s
164:	test: 0.9267081	best: 0.9318086 (38)	total: 17m 11s	remaining: 34m 54s
165:	test: 0.9267642	best: 0.9318086 (38)	total: 17m 16s	remaining: 34m 46s
166:	test: 0.9267136	best: 0.9318086 (38)	total: 17m 19s	remaining: 34m 31s
167:	test: 0.9266987	best: 0.9318086 (38)	total: 17m 21s	remaining: 34m 17s
168:	test: 0.9267366	best: 0.9318086 (38)	total: 17m 24s	remaining: 34m 5s
169:	test: 0.9267366	best: 0.9318086 (38)	total: 17m 27s	remaining: 33m 52s
170:	test: 0.9267174	best: 0.9318086 (38)	total: 17m 30s	remaining: 33m 41s
171:	test: 0.9266974	best: 0.9318086 (38)	total: 17m 32s	remaining: 33m 27s
