59:	learn: 8.4659846	test: 9.0953170	best: 9.0953170 (59)	total: 16.5s	remaining: 2m
60:	learn: 8.4560063	test: 9.0932672	best: 9.0932672 (60)	total: 16.7s	remaining: 2m
61:	learn: 8.4442143	test: 9.0912397	best: 9.0912397 (61)	total: 17s	remaining: 1m 59s
62:	learn: 8.4335787	test: 9.0880195	best: 9.0880195 (62)	total: 17.2s	remaining: 1m 59s
63:	learn: 8.4224159	test: 9.0857043	best: 9.0857043 (63)	total: 17.5s	remaining: 1m 59s
64:	learn: 8.4124708	test: 9.0834716	best: 9.0834716 (64)	total: 17.7s	remaining: 1m 58s
65:	learn: 8.4016532	test: 9.0820854	best: 9.0820854 (65)	total: 18s	remaining: 1m 58s
66:	learn: 8.3903334	test: 9.0793850	best: 9.0793850 (66)	total: 18.2s	remaining: 1m 57s
67:	learn: 8.3797764	test: 9.0760716	best: 9.0760716 (67)	total: 18.5s	remaining: 1m 57s
68:	learn: 8.3690634	test: 9.0740165	best: 9.0740165 (68)	total: 18.8s	remaining: 1m 57s
69:	learn: 8.3582855	test: 9.0708135	best: 9.0708135 (69)	total: 19s	remaining: 1m 56s
70:	learn: 8.3461999	test: 9.0695374	best: 9.0695374 (70)	total: 19.2s	remaining: 1m 56s
71:	learn: 8.3348945	test: 9.0669205	best: 9.0669205 (71)	total: 19.5s	remaining: 1m 56s
72:	learn: 8.3265414	test: 9.0651992	best: 9.0651992 (72)	total: 19.8s	remaining: 1m 55s
73:	learn: 8.3158655	test: 9.0634875	best: 9.0634875 (73)	total: 20s	remaining: 1m 55s
74:	learn: 8.3071951	test: 9.0611501	best: 9.0611501 (74)	total: 20.3s	remaining: 1m 55s
75:	learn: 8.2984736	test: 9.0597645	best: 9.0597645 (75)	total: 20.5s	remaining: 1m 54s
76:	learn: 8.2879173	test: 9.0577522	best: 9.0577522 (76)	total: 20.8s	remaining: 1m 54s
77:	learn: 8.2789829	test: 9.0560449	best: 9.0560449 (77)	total: 21.1s	remaining: 1m 54s
78:	learn: 8.2693541	test: 9.0539155	best: 9.0539155 (78)	total: 21.4s	remaining: 1m 53s
79:	learn: 8.2592893	test: 9.0527421	best: 9.0527421 (79)	total: 21.7s	remaining: 1m 53s
80:	learn: 8.2514184	test: 9.0510650	best: 9.0510650 (80)	total: 21.9s	remaining: 1m 53s
81:	learn: 8.2413620	test: 9.0490493	best: 9.0490493 (81)	total: 22.2s	remaining: 1m 53s
82:	learn: 8.2332376	test: 9.0483377	best: 9.0483377 (82)	total: 22.5s	remaining: 1m 53s
83:	learn: 8.2236226	test: 9.0465618	best: 9.0465618 (83)	total: 22.8s	remaining: 1m 52s
84:	learn: 8.2141181	test: 9.0458794	best: 9.0458794 (84)	total: 23.1s	remaining: 1m 52s
85:	learn: 8.2040935	test: 9.0449543	best: 9.0449543 (85)	total: 23.3s	remaining: 1m 52s
86:	learn: 8.1937828	test: 9.0430576	best: 9.0430576 (86)	total: 23.6s	remaining: 1m 52s
87:	learn: 8.1852380	test: 9.0420223	best: 9.0420223 (87)	total: 23.9s	remaining: 1m 51s
88:	learn: 8.1769367	test: 9.0414389	best: 9.0414389 (88)	total: 24.1s	remaining: 1m 51s
89:	learn: 8.1680536	test: 9.0394785	best: 9.0394785 (89)	total: 24.3s	remaining: 1m 50s
90:	learn: 8.1605203	test: 9.0372341	best: 9.0372341 (90)	total: 24.6s	remaining: 1m 50s
91:	learn: 8.1531273	test: 9.0359082	best: 9.0359082 (91)	total: 24.8s	remaining: 1m 50s
92:	learn: 8.1442476	test: 9.0345166	best: 9.0345166 (92)	total: 25.1s	remaining: 1m 49s
93:	learn: 8.1334627	test: 9.0335815	best: 9.0335815 (93)	total: 25.4s	remaining: 1m 49s
94:	learn: 8.1250412	test: 9.0319149	best: 9.0319149 (94)	total: 25.6s	remaining: 1m 49s
95:	learn: 8.1163973	test: 9.0312353	best: 9.0312353 (95)	total: 25.9s	remaining: 1m 48s
96:	learn: 8.1067216	test: 9.0291631	best: 9.0291631 (96)	total: 26.2s	remaining: 1m 48s
97:	learn: 8.0984179	test: 9.0279243	best: 9.0279243 (97)	total: 26.5s	remaining: 1m 48s
98:	learn: 8.0896110	test: 9.0264710	best: 9.0264710 (98)	total: 26.7s	remaining: 1m 48s
99:	learn: 8.0814910	test: 9.0243256	best: 9.0243256 (99)	total: 27s	remaining: 1m 47s
100:	learn: 8.0735486	test: 9.0240059	best: 9.0240059 (100)	total: 27.2s	remaining: 1m 47s
101:	learn: 8.0661143	test: 9.0225216	best: 9.0225216 (101)	total: 27.5s	remaining: 1m 47s
102:	learn: 8.0577129	test: 9.0218421	best: 9.0218421 (102)	total: 27.8s	remaining: 1m 47s
103:	learn: 8.0490794	test: 9.0204634	best: 9.0204634 (103)	total: 28.1s	remaining: 1m 46s
104:	learn: 8.0413261	test: 9.0198537	best: 9.0198537 (104)	total: 28.4s	remaining: 1m 46s
105:	learn: 8.0335992	test: 9.0199575	best: 9.0198537 (104)	total: 28.6s	remaining: 1m 46s
106:	learn: 8.0260293	test: 9.0188746	best: 9.0188746 (106)	total: 28.9s	remaining: 1m 46s
107:	learn: 8.0172830	test: 9.0185618	best: 9.0185618 (107)	total: 29.1s	remaining: 1m 45s
108:	learn: 8.0089190	test: 9.0178947	best: 9.0178947 (108)	total: 29.4s	remaining: 1m 45s
109:	learn: 8.0004717	test: 9.0173826	best: 9.0173826 (109)	total: 29.6s	remaining: 1m 45s
110:	learn: 7.9925508	test: 9.0162787	best: 9.0162787 (110)	total: 29.9s	remaining: 1m 44s
111:	learn: 7.9841939	test: 9.0150226	best: 9.0150226 (111)	total: 30.1s	remaining: 1m 44s
112:	learn: 7.9767379	test: 9.0140434	best: 9.0140434 (112)	total: 30.3s	remaining: 1m 43s
