66:	test: 0.7906277	best: 0.7906277 (66)	total: 25m 16s	remaining: 2h 43m 23s
67:	test: 0.7907446	best: 0.7907446 (67)	total: 25m 38s	remaining: 2h 42m 55s
68:	test: 0.7908798	best: 0.7908798 (68)	total: 26m 1s	remaining: 2h 42m 32s
69:	test: 0.7910215	best: 0.7910215 (69)	total: 26m 30s	remaining: 2h 42m 50s
70:	test: 0.7911337	best: 0.7911337 (70)	total: 26m 54s	remaining: 2h 42m 32s
71:	test: 0.7912527	best: 0.7912527 (71)	total: 27m 15s	remaining: 2h 42m
72:	test: 0.7913877	best: 0.7913877 (72)	total: 27m 41s	remaining: 2h 41m 55s
73:	test: 0.7915312	best: 0.7915312 (73)	total: 28m 5s	remaining: 2h 41m 41s
74:	test: 0.7916275	best: 0.7916275 (74)	total: 28m 30s	remaining: 2h 41m 35s
75:	test: 0.7917492	best: 0.7917492 (75)	total: 28m 53s	remaining: 2h 41m 9s
76:	test: 0.7918459	best: 0.7918459 (76)	total: 29m 17s	remaining: 2h 40m 56s
77:	test: 0.7919285	best: 0.7919285 (77)	total: 29m 43s	remaining: 2h 40m 50s
78:	test: 0.7920212	best: 0.7920212 (78)	total: 30m 9s	remaining: 2h 40m 45s
79:	test: 0.7921433	best: 0.7921433 (79)	total: 30m 37s	remaining: 2h 40m 44s
80:	test: 0.7922458	best: 0.7922458 (80)	total: 30m 59s	remaining: 2h 40m 20s
81:	test: 0.7923497	best: 0.7923497 (81)	total: 31m 22s	remaining: 2h 39m 55s
82:	test: 0.7924431	best: 0.7924431 (82)	total: 31m 47s	remaining: 2h 39m 41s
83:	test: 0.7925271	best: 0.7925271 (83)	total: 32m 16s	remaining: 2h 39m 49s
84:	test: 0.7926015	best: 0.7926015 (84)	total: 32m 40s	remaining: 2h 39m 32s
85:	test: 0.7927145	best: 0.7927145 (85)	total: 33m 7s	remaining: 2h 39m 29s
86:	test: 0.7927890	best: 0.7927890 (86)	total: 33m 34s	remaining: 2h 39m 21s
87:	test: 0.7928734	best: 0.7928734 (87)	total: 33m 55s	remaining: 2h 38m 50s
88:	test: 0.7929477	best: 0.7929477 (88)	total: 34m 24s	remaining: 2h 38m 52s
89:	test: 0.7930358	best: 0.7930358 (89)	total: 34m 49s	remaining: 2h 38m 38s
90:	test: 0.7931305	best: 0.7931305 (90)	total: 35m 11s	remaining: 2h 38m 12s
91:	test: 0.7932021	best: 0.7932021 (91)	total: 35m 33s	remaining: 2h 37m 41s
92:	test: 0.7932808	best: 0.7932808 (92)	total: 35m 57s	remaining: 2h 37m 21s
93:	test: 0.7933849	best: 0.7933849 (93)	total: 36m 20s	remaining: 2h 36m 57s
94:	test: 0.7934676	best: 0.7934676 (94)	total: 36m 44s	remaining: 2h 36m 39s
95:	test: 0.7935192	best: 0.7935192 (95)	total: 37m 9s	remaining: 2h 36m 20s
96:	test: 0.7936017	best: 0.7936017 (96)	total: 37m 34s	remaining: 2h 36m 5s
97:	test: 0.7936789	best: 0.7936789 (97)	total: 38m 3s	remaining: 2h 36m 5s
98:	test: 0.7937469	best: 0.7937469 (98)	total: 38m 29s	remaining: 2h 35m 54s
99:	test: 0.7938283	best: 0.7938283 (99)	total: 38m 55s	remaining: 2h 35m 40s
100:	test: 0.7939253	best: 0.7939253 (100)	total: 39m 19s	remaining: 2h 35m 20s
101:	test: 0.7940152	best: 0.7940152 (101)	total: 39m 42s	remaining: 2h 34m 55s
102:	test: 0.7940666	best: 0.7940666 (102)	total: 40m 5s	remaining: 2h 34m 33s
103:	test: 0.7941397	best: 0.7941397 (103)	total: 40m 35s	remaining: 2h 34m 32s
104:	test: 0.7942026	best: 0.7942026 (104)	total: 40m 57s	remaining: 2h 34m 5s
105:	test: 0.7942897	best: 0.7942897 (105)	total: 41m 17s	remaining: 2h 33m 30s
106:	test: 0.7943844	best: 0.7943844 (106)	total: 41m 41s	remaining: 2h 33m 8s
107:	test: 0.7944384	best: 0.7944384 (107)	total: 42m 8s	remaining: 2h 32m 57s
108:	test: 0.7944960	best: 0.7944960 (108)	total: 42m 36s	remaining: 2h 32m 51s
109:	test: 0.7945643	best: 0.7945643 (109)	total: 43m 4s	remaining: 2h 32m 42s
110:	test: 0.7946376	best: 0.7946376 (110)	total: 43m 30s	remaining: 2h 32m 28s
111:	test: 0.7947103	best: 0.7947103 (111)	total: 43m 56s	remaining: 2h 32m 14s
112:	test: 0.7947757	best: 0.7947757 (112)	total: 44m 28s	remaining: 2h 32m 20s
113:	test: 0.7948370	best: 0.7948370 (113)	total: 44m 52s	remaining: 2h 31m 55s
114:	test: 0.7949207	best: 0.7949207 (114)	total: 45m 19s	remaining: 2h 31m 43s
115:	test: 0.7949611	best: 0.7949611 (115)	total: 45m 44s	remaining: 2h 31m 24s
116:	test: 0.7950336	best: 0.7950336 (116)	total: 46m 14s	remaining: 2h 31m 22s
117:	test: 0.7950898	best: 0.7950898 (117)	total: 46m 39s	remaining: 2h 31m 3s
118:	test: 0.7951875	best: 0.7951875 (118)	total: 47m 7s	remaining: 2h 30m 52s
119:	test: 0.7952316	best: 0.7952316 (119)	total: 47m 33s	remaining: 2h 30m 34s
120:	test: 0.7952921	best: 0.7952921 (120)	total: 48m 1s	remaining: 2h 30m 25s
121:	test: 0.7953654	best: 0.7953654 (121)	total: 48m 30s	remaining: 2h 30m 18s
122:	test: 0.7954110	best: 0.7954110 (122)	total: 48m 54s	remaining: 2h 29m 53s
123:	test: 0.7954659	best: 0.7954659 (123)	total: 49m 15s	remaining: 2h 29m 22s
124:	test: 0.7955240	best: 0.7955240 (124)	total: 49m 45s	remaining: 2h 29m 17s
125:	test: 0.7955899	best: 0.7955899 (125)	total: 50m 6s	remaining: 2h 28m 45s
