72:	test: 0.7827113	best: 0.7827275 (69)	total: 1m 53s	remaining: 11m 5s
73:	test: 0.7831440	best: 0.7831440 (73)	total: 1m 55s	remaining: 11m 2s
74:	test: 0.7834877	best: 0.7834877 (74)	total: 1m 56s	remaining: 11m
75:	test: 0.7837220	best: 0.7837220 (75)	total: 1m 58s	remaining: 10m 59s
76:	test: 0.7837673	best: 0.7837673 (76)	total: 1m 59s	remaining: 10m 57s
77:	test: 0.7840387	best: 0.7840387 (77)	total: 2m 1s	remaining: 10m 55s
78:	test: 0.7847026	best: 0.7847026 (78)	total: 2m 2s	remaining: 10m 54s
79:	test: 0.7845488	best: 0.7847026 (78)	total: 2m 4s	remaining: 10m 52s
80:	test: 0.7844651	best: 0.7847026 (78)	total: 2m 5s	remaining: 10m 51s
81:	test: 0.7844460	best: 0.7847026 (78)	total: 2m 7s	remaining: 10m 49s
82:	test: 0.7846698	best: 0.7847026 (78)	total: 2m 8s	remaining: 10m 47s
83:	test: 0.7848754	best: 0.7848754 (83)	total: 2m 10s	remaining: 10m 47s
84:	test: 0.7849494	best: 0.7849494 (84)	total: 2m 12s	remaining: 10m 44s
85:	test: 0.7851265	best: 0.7851265 (85)	total: 2m 13s	remaining: 10m 42s
86:	test: 0.7851406	best: 0.7851406 (86)	total: 2m 15s	remaining: 10m 41s
87:	test: 0.7853088	best: 0.7853088 (87)	total: 2m 16s	remaining: 10m 39s
88:	test: 0.7855162	best: 0.7855162 (88)	total: 2m 18s	remaining: 10m 38s
89:	test: 0.7854795	best: 0.7855162 (88)	total: 2m 19s	remaining: 10m 37s
90:	test: 0.7856098	best: 0.7856098 (90)	total: 2m 21s	remaining: 10m 36s
91:	test: 0.7856170	best: 0.7856170 (91)	total: 2m 23s	remaining: 10m 34s
92:	test: 0.7854904	best: 0.7856170 (91)	total: 2m 24s	remaining: 10m 33s
93:	test: 0.7858265	best: 0.7858265 (93)	total: 2m 26s	remaining: 10m 31s
94:	test: 0.7861666	best: 0.7861666 (94)	total: 2m 27s	remaining: 10m 30s
