72:	test: 0.6515989	best: 0.6519566 (39)	total: 1m 34s	remaining: 9m 10s
73:	test: 0.6515991	best: 0.6519566 (39)	total: 1m 34s	remaining: 9m 6s
74:	test: 0.6515990	best: 0.6519566 (39)	total: 1m 35s	remaining: 9m 1s
75:	test: 0.6515980	best: 0.6519566 (39)	total: 1m 36s	remaining: 8m 58s
76:	test: 0.6515979	best: 0.6519566 (39)	total: 1m 37s	remaining: 8m 53s
77:	test: 0.6515965	best: 0.6519566 (39)	total: 1m 37s	remaining: 8m 49s
78:	test: 0.6515953	best: 0.6519566 (39)	total: 1m 38s	remaining: 8m 44s
79:	test: 0.6515975	best: 0.6519566 (39)	total: 1m 39s	remaining: 8m 41s
80:	test: 0.6515969	best: 0.6519566 (39)	total: 1m 40s	remaining: 8m 38s
81:	test: 0.6515985	best: 0.6519566 (39)	total: 1m 40s	remaining: 8m 34s
82:	test: 0.6515973	best: 0.6519566 (39)	total: 1m 41s	remaining: 8m 29s
83:	test: 0.6515978	best: 0.6519566 (39)	total: 1m 42s	remaining: 8m 26s
84:	test: 0.6515977	best: 0.6519566 (39)	total: 1m 43s	remaining: 8m 24s
85:	test: 0.6515971	best: 0.6519566 (39)	total: 1m 44s	remaining: 8m 21s
86:	test: 0.6515980	best: 0.6519566 (39)	total: 1m 44s	remaining: 8m 17s
87:	test: 0.6515990	best: 0.6519566 (39)	total: 1m 45s	remaining: 8m 14s
88:	test: 0.6515980	best: 0.6519566 (39)	total: 1m 46s	remaining: 8m 10s
89:	test: 0.6515973	best: 0.6519566 (39)	total: 1m 47s	remaining: 8m 7s
90:	test: 0.6515984	best: 0.6519566 (39)	total: 1m 47s	remaining: 8m 3s
91:	test: 0.6515982	best: 0.6519566 (39)	total: 1m 48s	remaining: 8m 1s
92:	test: 0.6515980	best: 0.6519566 (39)	total: 1m 49s	remaining: 7m 58s
93:	test: 0.6515992	best: 0.6519566 (39)	total: 1m 50s	remaining: 7m 55s
94:	test: 0.6515972	best: 0.6519566 (39)	total: 1m 51s	remaining: 7m 53s
95:	test: 0.6515976	best: 0.6519566 (39)	total: 1m 51s	remaining: 7m 50s
96:	test: 0.6515561	best: 0.6519566 (39)	total: 1m 52s	remaining: 7m 46s
97:	test: 0.6515568	best: 0.6519566 (39)	total: 1m 53s	remaining: 7m 44s
98:	test: 0.6515559	best: 0.6519566 (39)	total: 1m 54s	remaining: 7m 42s
99:	test: 0.6515555	best: 0.6519566 (39)	total: 1m 55s	remaining: 7m 40s
100:	test: 0.6515551	best: 0.6519566 (39)	total: 1m 56s	remaining: 7m 38s
101:	test: 0.6515569	best: 0.6519566 (39)	total: 1m 56s	remaining: 7m 35s
102:	test: 0.6515557	best: 0.6519566 (39)	total: 1m 57s	remaining: 7m 33s
103:	test: 0.6515558	best: 0.6519566 (39)	total: 1m 58s	remaining: 7m 30s
104:	test: 0.6515068	best: 0.6519566 (39)	total: 1m 59s	remaining: 7m 28s
105:	test: 0.6515070	best: 0.6519566 (39)	total: 2m	remaining: 7m 26s
106:	test: 0.6515056	best: 0.6519566 (39)	total: 2m	remaining: 7m 24s
107:	test: 0.6515068	best: 0.6519566 (39)	total: 2m 1s	remaining: 7m 21s
108:	test: 0.6515059	best: 0.6519566 (39)	total: 2m 2s	remaining: 7m 19s
109:	test: 0.6515067	best: 0.6519566 (39)	total: 2m 3s	remaining: 7m 17s
110:	test: 0.6515053	best: 0.6519566 (39)	total: 2m 4s	remaining: 7m 16s
111:	test: 0.6515039	best: 0.6519566 (39)	total: 2m 5s	remaining: 7m 14s
112:	test: 0.6515035	best: 0.6519566 (39)	total: 2m 6s	remaining: 7m 13s
113:	test: 0.6515038	best: 0.6519566 (39)	total: 2m 7s	remaining: 7m 12s
114:	test: 0.6515032	best: 0.6519566 (39)	total: 2m 8s	remaining: 7m 11s
115:	test: 0.6515253	best: 0.6519566 (39)	total: 2m 10s	remaining: 7m 11s
116:	test: 0.6515263	best: 0.6519566 (39)	total: 2m 12s	remaining: 7m 13s
117:	test: 0.6515269	best: 0.6519566 (39)	total: 2m 14s	remaining: 7m 14s
118:	test: 0.6515294	best: 0.6519566 (39)	total: 2m 16s	remaining: 7m 16s
119:	test: 0.6515292	best: 0.6519566 (39)	total: 2m 18s	remaining: 7m 17s
120:	test: 0.6515288	best: 0.6519566 (39)	total: 2m 19s	remaining: 7m 17s
121:	test: 0.6514934	best: 0.6519566 (39)	total: 2m 21s	remaining: 7m 18s
122:	test: 0.6512933	best: 0.6519566 (39)	total: 2m 23s	remaining: 7m 19s
123:	test: 0.6513055	best: 0.6519566 (39)	total: 2m 25s	remaining: 7m 20s
124:	test: 0.6513054	best: 0.6519566 (39)	total: 2m 27s	remaining: 7m 21s
125:	test: 0.6513055	best: 0.6519566 (39)	total: 2m 28s	remaining: 7m 21s
126:	test: 0.6514977	best: 0.6519566 (39)	total: 2m 30s	remaining: 7m 21s
127:	test: 0.6514976	best: 0.6519566 (39)	total: 2m 32s	remaining: 7m 22s
128:	test: 0.6514975	best: 0.6519566 (39)	total: 2m 34s	remaining: 7m 23s
129:	test: 0.6514976	best: 0.6519566 (39)	total: 2m 36s	remaining: 7m 25s
130:	test: 0.6514984	best: 0.6519566 (39)	total: 2m 37s	remaining: 7m 24s
131:	test: 0.6514997	best: 0.6519566 (39)	total: 2m 39s	remaining: 7m 24s
