0:	total: 1.17s	remaining: 9m 44s
1:	total: 2.27s	remaining: 9m 25s
2:	total: 3.38s	remaining: 9m 20s
3:	total: 4.51s	remaining: 9m 18s
4:	total: 5.67s	remaining: 9m 20s
5:	total: 6.82s	remaining: 9m 21s
6:	total: 7.91s	remaining: 9m 17s
7:	total: 9.06s	remaining: 9m 17s
8:	total: 10.2s	remaining: 9m 16s
9:	total: 11.3s	remaining: 9m 14s
10:	total: 12.5s	remaining: 9m 15s
11:	total: 13.8s	remaining: 9m 20s
12:	total: 14.8s	remaining: 9m 15s
13:	total: 16s	remaining: 9m 14s
14:	total: 17.1s	remaining: 9m 11s
15:	total: 18.2s	remaining: 9m 9s
16:	total: 19.3s	remaining: 9m 7s
17:	total: 20.4s	remaining: 9m 6s
18:	total: 21.4s	remaining: 9m 2s
19:	total: 22.5s	remaining: 9m 1s
20:	total: 23.6s	remaining: 8m 58s
21:	total: 24.7s	remaining: 8m 56s
22:	total: 25.8s	remaining: 8m 54s
23:	total: 26.9s	remaining: 8m 54s
24:	total: 28s	remaining: 8m 52s
25:	total: 29.1s	remaining: 8m 50s
26:	total: 30.2s	remaining: 8m 49s
27:	total: 31.4s	remaining: 8m 48s
28:	total: 32.6s	remaining: 8m 49s
29:	total: 33.6s	remaining: 8m 47s
30:	total: 34.8s	remaining: 8m 46s
31:	total: 35.8s	remaining: 8m 44s
32:	total: 36.8s	remaining: 8m 41s
33:	total: 37.9s	remaining: 8m 39s
34:	total: 38.9s	remaining: 8m 37s
35:	total: 40s	remaining: 8m 34s
36:	total: 41.1s	remaining: 8m 33s
37:	total: 42.2s	remaining: 8m 32s
38:	total: 43.2s	remaining: 8m 30s
39:	total: 44.3s	remaining: 8m 29s
40:	total: 45.3s	remaining: 8m 26s
41:	total: 46.5s	remaining: 8m 27s
42:	total: 47.7s	remaining: 8m 26s
43:	total: 48.8s	remaining: 8m 25s
44:	total: 49.8s	remaining: 8m 23s
45:	total: 50.8s	remaining: 8m 21s
46:	total: 51.9s	remaining: 8m 20s
47:	total: 52.8s	remaining: 8m 17s
48:	total: 53.9s	remaining: 8m 16s
49:	total: 55s	remaining: 8m 15s
50:	total: 56s	remaining: 8m 12s
51:	total: 57s	remaining: 8m 10s
52:	total: 58.1s	remaining: 8m 9s
53:	total: 59.3s	remaining: 8m 9s
54:	total: 1m	remaining: 8m 8s
55:	total: 1m 1s	remaining: 8m 6s
56:	total: 1m 2s	remaining: 8m 4s
57:	total: 1m 3s	remaining: 8m 3s
58:	total: 1m 4s	remaining: 8m 3s
59:	total: 1m 5s	remaining: 8m 1s
60:	total: 1m 6s	remaining: 8m
61:	total: 1m 7s	remaining: 7m 59s
62:	total: 1m 8s	remaining: 7m 57s
63:	total: 1m 10s	remaining: 7m 57s
64:	total: 1m 11s	remaining: 7m 55s
65:	total: 1m 12s	remaining: 7m 53s
66:	total: 1m 13s	remaining: 7m 52s
67:	total: 1m 14s	remaining: 7m 50s
68:	total: 1m 15s	remaining: 7m 49s
69:	total: 1m 16s	remaining: 7m 48s
70:	total: 1m 17s	remaining: 7m 46s
71:	total: 1m 18s	remaining: 7m 45s
