98:	learn: 0.5035359	total: 3m 53s	remaining: 15m 46s
99:	learn: 0.5033685	total: 3m 56s	remaining: 15m 44s
100:	learn: 0.5031795	total: 3m 58s	remaining: 15m 41s
101:	learn: 0.5029568	total: 4m	remaining: 15m 38s
102:	learn: 0.5027920	total: 4m 2s	remaining: 15m 36s
103:	learn: 0.5025937	total: 4m 5s	remaining: 15m 35s
104:	learn: 0.5024356	total: 4m 8s	remaining: 15m 32s
105:	learn: 0.5022372	total: 4m 10s	remaining: 15m 32s
106:	learn: 0.5020139	total: 4m 13s	remaining: 15m 30s
107:	learn: 0.5018374	total: 4m 15s	remaining: 15m 28s
108:	learn: 0.5016747	total: 4m 17s	remaining: 15m 25s
109:	learn: 0.5015262	total: 4m 20s	remaining: 15m 22s
110:	learn: 0.5013195	total: 4m 22s	remaining: 15m 19s
111:	learn: 0.5011525	total: 4m 25s	remaining: 15m 18s
112:	learn: 0.5009987	total: 4m 27s	remaining: 15m 14s
113:	learn: 0.5008234	total: 4m 30s	remaining: 15m 15s
114:	learn: 0.5006558	total: 4m 33s	remaining: 15m 14s
115:	learn: 0.5004629	total: 4m 35s	remaining: 15m 12s
116:	learn: 0.5002838	total: 4m 38s	remaining: 15m 12s
117:	learn: 0.5001293	total: 4m 40s	remaining: 15m 9s
118:	learn: 0.4999824	total: 4m 43s	remaining: 15m 6s
119:	learn: 0.4998231	total: 4m 46s	remaining: 15m 5s
120:	learn: 0.4996235	total: 4m 48s	remaining: 15m 4s
121:	learn: 0.4995023	total: 4m 51s	remaining: 15m 1s
122:	learn: 0.4992313	total: 4m 53s	remaining: 15m
123:	learn: 0.4990350	total: 4m 56s	remaining: 14m 57s
124:	learn: 0.4988975	total: 4m 58s	remaining: 14m 56s
125:	learn: 0.4987335	total: 5m 1s	remaining: 14m 55s
126:	learn: 0.4985527	total: 5m 4s	remaining: 14m 53s
127:	learn: 0.4984133	total: 5m 6s	remaining: 14m 49s
128:	learn: 0.4982880	total: 5m 8s	remaining: 14m 46s
129:	learn: 0.4981426	total: 5m 10s	remaining: 14m 44s
130:	learn: 0.4980275	total: 5m 13s	remaining: 14m 41s
131:	learn: 0.4978710	total: 5m 16s	remaining: 14m 41s
132:	learn: 0.4977441	total: 5m 18s	remaining: 14m 37s
133:	learn: 0.4975842	total: 5m 21s	remaining: 14m 37s
134:	learn: 0.4974273	total: 5m 23s	remaining: 14m 35s
135:	learn: 0.4972330	total: 5m 27s	remaining: 14m 35s
136:	learn: 0.4970879	total: 5m 29s	remaining: 14m 32s
137:	learn: 0.4969707	total: 5m 31s	remaining: 14m 29s
138:	learn: 0.4968407	total: 5m 33s	remaining: 14m 26s
139:	learn: 0.4966960	total: 5m 36s	remaining: 14m 26s
140:	learn: 0.4965374	total: 5m 38s	remaining: 14m 21s
141:	learn: 0.4964086	total: 5m 40s	remaining: 14m 19s
142:	learn: 0.4962882	total: 5m 43s	remaining: 14m 16s
143:	learn: 0.4961637	total: 5m 45s	remaining: 14m 13s
144:	learn: 0.4959746	total: 5m 47s	remaining: 14m 11s
145:	learn: 0.4958450	total: 5m 49s	remaining: 14m 8s
146:	learn: 0.4956823	total: 5m 52s	remaining: 14m 7s
147:	learn: 0.4955803	total: 5m 55s	remaining: 14m 4s
148:	learn: 0.4954752	total: 5m 57s	remaining: 14m 1s
149:	learn: 0.4953388	total: 5m 58s	remaining: 13m 57s
150:	learn: 0.4952570	total: 6m	remaining: 13m 53s
151:	learn: 0.4951463	total: 6m 2s	remaining: 13m 51s
152:	learn: 0.4950490	total: 6m 4s	remaining: 13m 47s
153:	learn: 0.4949399	total: 6m 7s	remaining: 13m 45s
154:	learn: 0.4948217	total: 6m 10s	remaining: 13m 44s
155:	learn: 0.4946803	total: 6m 14s	remaining: 13m 45s
156:	learn: 0.4945815	total: 6m 16s	remaining: 13m 42s
157:	learn: 0.4944570	total: 6m 18s	remaining: 13m 39s
158:	learn: 0.4943228	total: 6m 22s	remaining: 13m 39s
159:	learn: 0.4942256	total: 6m 24s	remaining: 13m 36s
160:	learn: 0.4941205	total: 6m 26s	remaining: 13m 32s
161:	learn: 0.4940172	total: 6m 28s	remaining: 13m 29s
162:	learn: 0.4939255	total: 6m 30s	remaining: 13m 26s
163:	learn: 0.4938082	total: 6m 32s	remaining: 13m 23s
164:	learn: 0.4937050	total: 6m 35s	remaining: 13m 22s
165:	learn: 0.4935781	total: 6m 37s	remaining: 13m 20s
166:	learn: 0.4934901	total: 6m 39s	remaining: 13m 17s
167:	learn: 0.4933474	total: 6m 42s	remaining: 13m 15s
168:	learn: 0.4932664	total: 6m 44s	remaining: 13m 12s
169:	learn: 0.4931635	total: 6m 48s	remaining: 13m 12s
170:	learn: 0.4930295	total: 6m 50s	remaining: 13m 9s
171:	learn: 0.4929344	total: 6m 52s	remaining: 13m 7s
172:	learn: 0.4928210	total: 6m 56s	remaining: 13m 6s
173:	learn: 0.4927376	total: 6m 58s	remaining: 13m 3s
174:	learn: 0.4926486	total: 6m 59s	remaining: 12m 58s
175:	learn: 0.4925431	total: 7m 1s	remaining: 12m 55s
176:	learn: 0.4924640	total: 7m 3s	remaining: 12m 52s
177:	learn: 0.4923806	total: 7m 6s	remaining: 12m 51s
178:	learn: 0.4922780	total: 7m 8s	remaining: 12m 48s
179:	learn: 0.4921335	total: 7m 12s	remaining: 12m 48s
180:	learn: 0.4920679	total: 7m 14s	remaining: 12m 45s
181:	learn: 0.4920081	total: 7m 15s	remaining: 12m 40s
182:	learn: 0.4918948	total: 7m 17s	remaining: 12m 38s
183:	learn: 0.4917946	total: 7m 20s	remaining: 12m 36s
184:	learn: 0.4916964	total: 7m 22s	remaining: 12m 33s
