98:	learn: 0.0379758	total: 1m 42s	remaining: 6m 53s
99:	learn: 0.0377614	total: 1m 42s	remaining: 6m 51s
100:	learn: 0.0375622	total: 1m 43s	remaining: 6m 48s
101:	learn: 0.0373672	total: 1m 44s	remaining: 6m 46s
102:	learn: 0.0371809	total: 1m 44s	remaining: 6m 44s
103:	learn: 0.0370051	total: 1m 45s	remaining: 6m 41s
104:	learn: 0.0368284	total: 1m 46s	remaining: 6m 39s
105:	learn: 0.0366639	total: 1m 47s	remaining: 6m 38s
106:	learn: 0.0365073	total: 1m 47s	remaining: 6m 35s
107:	learn: 0.0363369	total: 1m 48s	remaining: 6m 34s
108:	learn: 0.0361685	total: 1m 49s	remaining: 6m 33s
109:	learn: 0.0360258	total: 1m 50s	remaining: 6m 32s
110:	learn: 0.0358728	total: 1m 51s	remaining: 6m 32s
111:	learn: 0.0357248	total: 1m 53s	remaining: 6m 31s
112:	learn: 0.0355790	total: 1m 54s	remaining: 6m 33s
113:	learn: 0.0354325	total: 1m 56s	remaining: 6m 34s
114:	learn: 0.0353011	total: 1m 58s	remaining: 6m 35s
115:	learn: 0.0351628	total: 1m 59s	remaining: 6m 37s
116:	learn: 0.0350418	total: 2m 1s	remaining: 6m 37s
117:	learn: 0.0349212	total: 2m 2s	remaining: 6m 37s
118:	learn: 0.0348069	total: 2m 4s	remaining: 6m 39s
119:	learn: 0.0346960	total: 2m 6s	remaining: 6m 40s
120:	learn: 0.0345871	total: 2m 8s	remaining: 6m 41s
121:	learn: 0.0344762	total: 2m 9s	remaining: 6m 42s
122:	learn: 0.0343917	total: 2m 10s	remaining: 6m 41s
123:	learn: 0.0342937	total: 2m 12s	remaining: 6m 41s
124:	learn: 0.0342007	total: 2m 13s	remaining: 6m 41s
125:	learn: 0.0341095	total: 2m 15s	remaining: 6m 42s
126:	learn: 0.0340224	total: 2m 17s	remaining: 6m 43s
127:	learn: 0.0339325	total: 2m 19s	remaining: 6m 44s
128:	learn: 0.0338601	total: 2m 20s	remaining: 6m 43s
129:	learn: 0.0337841	total: 2m 22s	remaining: 6m 44s
130:	learn: 0.0337062	total: 2m 23s	remaining: 6m 44s
131:	learn: 0.0336336	total: 2m 25s	remaining: 6m 45s
132:	learn: 0.0335612	total: 2m 27s	remaining: 6m 45s
133:	learn: 0.0334920	total: 2m 28s	remaining: 6m 45s
134:	learn: 0.0334227	total: 2m 30s	remaining: 6m 46s
135:	learn: 0.0333615	total: 2m 32s	remaining: 6m 46s
136:	learn: 0.0332948	total: 2m 33s	remaining: 6m 46s
137:	learn: 0.0332401	total: 2m 35s	remaining: 6m 47s
138:	learn: 0.0331779	total: 2m 37s	remaining: 6m 47s
139:	learn: 0.0331247	total: 2m 38s	remaining: 6m 47s
140:	learn: 0.0330709	total: 2m 40s	remaining: 6m 47s
141:	learn: 0.0330186	total: 2m 41s	remaining: 6m 47s
142:	learn: 0.0329729	total: 2m 42s	remaining: 6m 46s
143:	learn: 0.0329220	total: 2m 44s	remaining: 6m 47s
144:	learn: 0.0328783	total: 2m 46s	remaining: 6m 47s
145:	learn: 0.0328302	total: 2m 48s	remaining: 6m 47s
146:	learn: 0.0327853	total: 2m 49s	remaining: 6m 46s
147:	learn: 0.0327379	total: 2m 50s	remaining: 6m 46s
148:	learn: 0.0327032	total: 2m 52s	remaining: 6m 46s
149:	learn: 0.0326680	total: 2m 53s	remaining: 6m 44s
150:	learn: 0.0326256	total: 2m 54s	remaining: 6m 44s
151:	learn: 0.0325859	total: 2m 56s	remaining: 6m 44s
152:	learn: 0.0325439	total: 2m 58s	remaining: 6m 44s
153:	learn: 0.0325123	total: 2m 59s	remaining: 6m 43s
154:	learn: 0.0324827	total: 3m	remaining: 6m 42s
155:	learn: 0.0324480	total: 3m 2s	remaining: 6m 42s
156:	learn: 0.0324141	total: 3m 4s	remaining: 6m 42s
157:	learn: 0.0323832	total: 3m 5s	remaining: 6m 41s
158:	learn: 0.0323457	total: 3m 7s	remaining: 6m 42s
159:	learn: 0.0323154	total: 3m 9s	remaining: 6m 42s
160:	learn: 0.0322924	total: 3m 10s	remaining: 6m 41s
161:	learn: 0.0322621	total: 3m 12s	remaining: 6m 41s
162:	learn: 0.0322311	total: 3m 14s	remaining: 6m 41s
163:	learn: 0.0322026	total: 3m 16s	remaining: 6m 42s
164:	learn: 0.0321721	total: 3m 18s	remaining: 6m 42s
165:	learn: 0.0321471	total: 3m 19s	remaining: 6m 42s
166:	learn: 0.0321258	total: 3m 22s	remaining: 6m 42s
167:	learn: 0.0321004	total: 3m 23s	remaining: 6m 42s
168:	learn: 0.0320758	total: 3m 25s	remaining: 6m 42s
169:	learn: 0.0320546	total: 3m 27s	remaining: 6m 42s
170:	learn: 0.0320288	total: 3m 29s	remaining: 6m 42s
171:	learn: 0.0320020	total: 3m 31s	remaining: 6m 42s
172:	learn: 0.0319769	total: 3m 32s	remaining: 6m 42s
173:	learn: 0.0319506	total: 3m 34s	remaining: 6m 42s
174:	learn: 0.0319238	total: 3m 36s	remaining: 6m 41s
175:	learn: 0.0319105	total: 3m 38s	remaining: 6m 42s
176:	learn: 0.0318842	total: 3m 40s	remaining: 6m 41s
177:	learn: 0.0318596	total: 3m 41s	remaining: 6m 41s
178:	learn: 0.0318466	total: 3m 43s	remaining: 6m 40s
179:	learn: 0.0318220	total: 3m 45s	remaining: 6m 40s
180:	learn: 0.0317963	total: 3m 47s	remaining: 6m 40s
181:	learn: 0.0317814	total: 3m 48s	remaining: 6m 39s
182:	learn: 0.0317675	total: 3m 50s	remaining: 6m 39s
183:	learn: 0.0317440	total: 3m 52s	remaining: 6m 39s
184:	learn: 0.0317313	total: 3m 53s	remaining: 6m 37s
185:	learn: 0.0317098	total: 3m 55s	remaining: 6m 37s
186:	learn: 0.0316919	total: 3m 57s	remaining: 6m 37s
187:	learn: 0.0316714	total: 3m 59s	remaining: 6m 37s
188:	learn: 0.0316567	total: 4m 1s	remaining: 6m 37s
189:	learn: 0.0316389	total: 4m 4s	remaining: 6m 38s
190:	learn: 0.0316268	total: 4m 6s	remaining: 6m 38s
191:	learn: 0.0316069	total: 4m 8s	remaining: 6m 37s
192:	learn: 0.0315943	total: 4m 9s	remaining: 6m 37s
193:	learn: 0.0315762	total: 4m 12s	remaining: 6m 38s
194:	learn: 0.0315654	total: 4m 14s	remaining: 6m 38s
195:	learn: 0.0315439	total: 4m 16s	remaining: 6m 38s
196:	learn: 0.0315293	total: 4m 19s	remaining: 6m 39s
197:	learn: 0.0315163	total: 4m 21s	remaining: 6m 39s
198:	learn: 0.0315029	total: 4m 23s	remaining: 6m 38s
199:	learn: 0.0314914	total: 4m 25s	remaining: 6m 38s
200:	learn: 0.0314717	total: 4m 27s	remaining: 6m 38s
201:	learn: 0.0314574	total: 4m 30s	remaining: 6m 38s
202:	learn: 0.0314470	total: 4m 32s	remaining: 6m 38s
203:	learn: 0.0314328	total: 4m 34s	remaining: 6m 38s
204:	learn: 0.0314266	total: 4m 36s	remaining: 6m 37s
205:	learn: 0.0314080	total: 4m 38s	remaining: 6m 38s
206:	learn: 0.0313954	total: 4m 41s	remaining: 6m 37s
207:	learn: 0.0313898	total: 4m 42s	remaining: 6m 37s
208:	learn: 0.0313722	total: 4m 45s	remaining: 6m 37s
209:	learn: 0.0313611	total: 4m 47s	remaining: 6m 36s
210:	learn: 0.0313545	total: 4m 49s	remaining: 6m 37s
211:	learn: 0.0313458	total: 4m 51s	remaining: 6m 36s
212:	learn: 0.0313346	total: 4m 53s	remaining: 6m 35s
213:	learn: 0.0313225	total: 4m 55s	remaining: 6m 35s
214:	learn: 0.0313121	total: 4m 57s	remaining: 6m 34s
215:	learn: 0.0312990	total: 5m	remaining: 6m 35s
216:	learn: 0.0312953	total: 5m 2s	remaining: 6m 34s
217:	learn: 0.0312829	total: 5m 5s	remaining: 6m 35s
