98:	learn: 0.0379339	total: 1m 44s	remaining: 7m 3s
99:	learn: 0.0377210	total: 1m 45s	remaining: 7m 1s
100:	learn: 0.0375208	total: 1m 46s	remaining: 6m 59s
101:	learn: 0.0373266	total: 1m 46s	remaining: 6m 56s
102:	learn: 0.0371395	total: 1m 47s	remaining: 6m 54s
103:	learn: 0.0369623	total: 1m 48s	remaining: 6m 52s
104:	learn: 0.0367920	total: 1m 48s	remaining: 6m 49s
105:	learn: 0.0366247	total: 1m 49s	remaining: 6m 47s
106:	learn: 0.0364643	total: 1m 50s	remaining: 6m 45s
107:	learn: 0.0363067	total: 1m 51s	remaining: 6m 43s
108:	learn: 0.0361448	total: 1m 52s	remaining: 6m 42s
109:	learn: 0.0359887	total: 1m 52s	remaining: 6m 40s
110:	learn: 0.0358332	total: 1m 53s	remaining: 6m 39s
111:	learn: 0.0356872	total: 1m 55s	remaining: 6m 39s
112:	learn: 0.0355418	total: 1m 56s	remaining: 6m 38s
113:	learn: 0.0354190	total: 1m 57s	remaining: 6m 37s
114:	learn: 0.0353000	total: 1m 58s	remaining: 6m 35s
115:	learn: 0.0351736	total: 1m 59s	remaining: 6m 35s
116:	learn: 0.0350507	total: 2m 1s	remaining: 6m 36s
117:	learn: 0.0349424	total: 2m 2s	remaining: 6m 36s
118:	learn: 0.0348340	total: 2m 3s	remaining: 6m 36s
119:	learn: 0.0347257	total: 2m 5s	remaining: 6m 36s
120:	learn: 0.0346154	total: 2m 6s	remaining: 6m 36s
121:	learn: 0.0345102	total: 2m 8s	remaining: 6m 36s
122:	learn: 0.0344117	total: 2m 9s	remaining: 6m 37s
123:	learn: 0.0343131	total: 2m 11s	remaining: 6m 38s
124:	learn: 0.0342172	total: 2m 12s	remaining: 6m 38s
125:	learn: 0.0341231	total: 2m 14s	remaining: 6m 39s
126:	learn: 0.0340361	total: 2m 16s	remaining: 6m 40s
127:	learn: 0.0339502	total: 2m 18s	remaining: 6m 41s
128:	learn: 0.0338710	total: 2m 19s	remaining: 6m 41s
129:	learn: 0.0337839	total: 2m 21s	remaining: 6m 42s
130:	learn: 0.0337077	total: 2m 23s	remaining: 6m 42s
131:	learn: 0.0336327	total: 2m 24s	remaining: 6m 43s
132:	learn: 0.0335668	total: 2m 26s	remaining: 6m 43s
133:	learn: 0.0334938	total: 2m 28s	remaining: 6m 44s
134:	learn: 0.0334255	total: 2m 29s	remaining: 6m 44s
135:	learn: 0.0333575	total: 2m 31s	remaining: 6m 45s
136:	learn: 0.0332992	total: 2m 33s	remaining: 6m 45s
137:	learn: 0.0332361	total: 2m 34s	remaining: 6m 46s
138:	learn: 0.0331847	total: 2m 36s	remaining: 6m 46s
139:	learn: 0.0331355	total: 2m 37s	remaining: 6m 45s
140:	learn: 0.0330802	total: 2m 39s	remaining: 6m 45s
141:	learn: 0.0330300	total: 2m 40s	remaining: 6m 45s
142:	learn: 0.0329782	total: 2m 42s	remaining: 6m 44s
143:	learn: 0.0329288	total: 2m 43s	remaining: 6m 45s
144:	learn: 0.0328798	total: 2m 45s	remaining: 6m 45s
145:	learn: 0.0328302	total: 2m 47s	remaining: 6m 46s
