89:	learn: 0.4530573	total: 21m 41s	remaining: 1h 38m 48s
90:	learn: 0.4529848	total: 21m 58s	remaining: 1h 38m 45s
91:	learn: 0.4529172	total: 22m 13s	remaining: 1h 38m 33s
92:	learn: 0.4527863	total: 22m 31s	remaining: 1h 38m 35s
93:	learn: 0.4527107	total: 22m 48s	remaining: 1h 38m 30s
94:	learn: 0.4526074	total: 23m 4s	remaining: 1h 38m 21s
95:	learn: 0.4525490	total: 23m 20s	remaining: 1h 38m 11s
96:	learn: 0.4524802	total: 23m 39s	remaining: 1h 38m 17s
97:	learn: 0.4524068	total: 23m 54s	remaining: 1h 38m 4s
98:	learn: 0.4523313	total: 24m 10s	remaining: 1h 37m 56s
99:	learn: 0.4522370	total: 24m 24s	remaining: 1h 37m 39s
100:	learn: 0.4521561	total: 24m 38s	remaining: 1h 37m 19s
101:	learn: 0.4521003	total: 24m 53s	remaining: 1h 37m 7s
102:	learn: 0.4520260	total: 25m 8s	remaining: 1h 36m 55s
103:	learn: 0.4519462	total: 25m 24s	remaining: 1h 36m 45s
104:	learn: 0.4518834	total: 25m 39s	remaining: 1h 36m 32s
105:	learn: 0.4518087	total: 25m 58s	remaining: 1h 36m 31s
106:	learn: 0.4517461	total: 26m 15s	remaining: 1h 36m 27s
107:	learn: 0.4516877	total: 26m 34s	remaining: 1h 36m 26s
108:	learn: 0.4516079	total: 26m 50s	remaining: 1h 36m 17s
109:	learn: 0.4515347	total: 27m 6s	remaining: 1h 36m 7s
110:	learn: 0.4514665	total: 27m 22s	remaining: 1h 35m 54s
111:	learn: 0.4514132	total: 27m 39s	remaining: 1h 35m 47s
112:	learn: 0.4513587	total: 27m 53s	remaining: 1h 35m 32s
113:	learn: 0.4512894	total: 28m 10s	remaining: 1h 35m 24s
114:	learn: 0.4512165	total: 28m 24s	remaining: 1h 35m 6s
115:	learn: 0.4511500	total: 28m 38s	remaining: 1h 34m 47s
116:	learn: 0.4511012	total: 28m 54s	remaining: 1h 34m 39s
117:	learn: 0.4510210	total: 29m 11s	remaining: 1h 34m 29s
118:	learn: 0.4509745	total: 29m 26s	remaining: 1h 34m 14s
119:	learn: 0.4509050	total: 29m 45s	remaining: 1h 34m 13s
120:	learn: 0.4508518	total: 30m 2s	remaining: 1h 34m 6s
121:	learn: 0.4507969	total: 30m 16s	remaining: 1h 33m 46s
122:	learn: 0.4507457	total: 30m 33s	remaining: 1h 33m 38s
123:	learn: 0.4506955	total: 30m 47s	remaining: 1h 33m 23s
124:	learn: 0.4506252	total: 31m 4s	remaining: 1h 33m 14s
125:	learn: 0.4505709	total: 31m 24s	remaining: 1h 33m 14s
126:	learn: 0.4505196	total: 31m 39s	remaining: 1h 33m
127:	learn: 0.4504506	total: 31m 58s	remaining: 1h 32m 55s
128:	learn: 0.4504081	total: 32m 14s	remaining: 1h 32m 43s
129:	learn: 0.4503303	total: 32m 29s	remaining: 1h 32m 28s
130:	learn: 0.4502818	total: 32m 44s	remaining: 1h 32m 14s
131:	learn: 0.4502292	total: 32m 59s	remaining: 1h 31m 59s
132:	learn: 0.4501814	total: 33m 18s	remaining: 1h 31m 54s
133:	learn: 0.4501365	total: 33m 34s	remaining: 1h 31m 43s
134:	learn: 0.4500692	total: 33m 50s	remaining: 1h 31m 30s
135:	learn: 0.4500122	total: 34m 5s	remaining: 1h 31m 15s
136:	learn: 0.4499636	total: 34m 20s	remaining: 1h 30m 58s
137:	learn: 0.4499163	total: 34m 38s	remaining: 1h 30m 51s
138:	learn: 0.4498775	total: 34m 55s	remaining: 1h 30m 42s
139:	learn: 0.4498217	total: 35m 11s	remaining: 1h 30m 30s
140:	learn: 0.4497722	total: 35m 25s	remaining: 1h 30m 12s
141:	learn: 0.4497239	total: 35m 45s	remaining: 1h 30m 9s
142:	learn: 0.4496781	total: 36m 6s	remaining: 1h 30m 7s
143:	learn: 0.4496284	total: 36m 20s	remaining: 1h 29m 50s
144:	learn: 0.4495974	total: 36m 34s	remaining: 1h 29m 32s
145:	learn: 0.4495563	total: 36m 55s	remaining: 1h 29m 32s
146:	learn: 0.4494899	total: 37m 11s	remaining: 1h 29m 19s
147:	learn: 0.4494287	total: 37m 29s	remaining: 1h 29m 9s
148:	learn: 0.4493756	total: 37m 44s	remaining: 1h 28m 54s
149:	learn: 0.4493364	total: 38m 2s	remaining: 1h 28m 46s
150:	learn: 0.4492973	total: 38m 15s	remaining: 1h 28m 24s
151:	learn: 0.4492493	total: 38m 40s	remaining: 1h 28m 32s
152:	learn: 0.4492008	total: 38m 55s	remaining: 1h 28m 17s
153:	learn: 0.4491590	total: 39m 10s	remaining: 1h 28m 1s
154:	learn: 0.4490918	total: 39m 28s	remaining: 1h 27m 52s
155:	learn: 0.4490521	total: 39m 44s	remaining: 1h 27m 38s
156:	learn: 0.4490019	total: 40m 1s	remaining: 1h 27m 27s
157:	learn: 0.4489382	total: 40m 18s	remaining: 1h 27m 15s
158:	learn: 0.4489040	total: 40m 35s	remaining: 1h 27m 2s
159:	learn: 0.4488531	total: 40m 51s	remaining: 1h 26m 50s
160:	learn: 0.4488176	total: 41m 9s	remaining: 1h 26m 39s
161:	learn: 0.4487739	total: 41m 26s	remaining: 1h 26m 27s
162:	learn: 0.4487345	total: 41m 42s	remaining: 1h 26m 13s
163:	learn: 0.4486828	total: 41m 57s	remaining: 1h 25m 57s
164:	learn: 0.4486419	total: 42m 13s	remaining: 1h 25m 43s
165:	learn: 0.4486003	total: 42m 34s	remaining: 1h 25m 39s
166:	learn: 0.4485647	total: 42m 51s	remaining: 1h 25m 28s
167:	learn: 0.4485162	total: 43m 6s	remaining: 1h 25m 11s
168:	learn: 0.4484808	total: 43m 25s	remaining: 1h 25m 2s
169:	learn: 0.4484474	total: 43m 42s	remaining: 1h 24m 51s
170:	learn: 0.4484052	total: 43m 58s	remaining: 1h 24m 37s
171:	learn: 0.4483750	total: 44m 15s	remaining: 1h 24m 24s
172:	learn: 0.4483143	total: 44m 32s	remaining: 1h 24m 12s
173:	learn: 0.4482748	total: 44m 52s	remaining: 1h 24m 4s
174:	learn: 0.4482402	total: 45m 9s	remaining: 1h 23m 51s
175:	learn: 0.4482068	total: 45m 22s	remaining: 1h 23m 32s
176:	learn: 0.4481683	total: 45m 41s	remaining: 1h 23m 23s
177:	learn: 0.4481343	total: 45m 57s	remaining: 1h 23m 8s
178:	learn: 0.4481018	total: 46m 16s	remaining: 1h 22m 59s
179:	learn: 0.4480423	total: 46m 35s	remaining: 1h 22m 49s
180:	learn: 0.4479942	total: 46m 48s	remaining: 1h 22m 29s
181:	learn: 0.4479612	total: 47m 2s	remaining: 1h 22m 12s
182:	learn: 0.4479304	total: 47m 16s	remaining: 1h 21m 53s
183:	learn: 0.4478993	total: 47m 32s	remaining: 1h 21m 38s
184:	learn: 0.4478496	total: 47m 48s	remaining: 1h 21m 25s
185:	learn: 0.4478189	total: 48m 3s	remaining: 1h 21m 8s
186:	learn: 0.4477868	total: 48m 21s	remaining: 1h 20m 56s
187:	learn: 0.4477592	total: 48m 34s	remaining: 1h 20m 37s
188:	learn: 0.4477229	total: 48m 56s	remaining: 1h 20m 31s
189:	learn: 0.4476923	total: 49m 13s	remaining: 1h 20m 18s
190:	learn: 0.4476509	total: 49m 25s	remaining: 1h 19m 57s
191:	learn: 0.4476172	total: 49m 45s	remaining: 1h 19m 49s
192:	learn: 0.4475785	total: 49m 57s	remaining: 1h 19m 27s
193:	learn: 0.4475335	total: 50m 19s	remaining: 1h 19m 22s
194:	learn: 0.4474967	total: 50m 35s	remaining: 1h 19m 7s
195:	learn: 0.4474656	total: 50m 48s	remaining: 1h 18m 49s
196:	learn: 0.4474360	total: 51m 7s	remaining: 1h 18m 37s
197:	learn: 0.4474043	total: 51m 26s	remaining: 1h 18m 28s
198:	learn: 0.4473758	total: 51m 42s	remaining: 1h 18m 12s
199:	learn: 0.4473457	total: 52m 6s	remaining: 1h 18m 9s
200:	learn: 0.4473126	total: 52m 23s	remaining: 1h 17m 56s
201:	learn: 0.4472557	total: 52m 46s	remaining: 1h 17m 52s
202:	learn: 0.4472229	total: 53m 6s	remaining: 1h 17m 41s
203:	learn: 0.4471871	total: 53m 23s	remaining: 1h 17m 27s
204:	learn: 0.4471666	total: 53m 35s	remaining: 1h 17m 6s
205:	learn: 0.4471377	total: 53m 54s	remaining: 1h 16m 56s
206:	learn: 0.4471112	total: 54m 11s	remaining: 1h 16m 42s
207:	learn: 0.4470771	total: 54m 28s	remaining: 1h 16m 27s
208:	learn: 0.4470537	total: 54m 39s	remaining: 1h 16m 6s
209:	learn: 0.4470210	total: 54m 54s	remaining: 1h 15m 49s
210:	learn: 0.4469758	total: 55m 12s	remaining: 1h 15m 37s
211:	learn: 0.4469509	total: 55m 31s	remaining: 1h 15m 25s
212:	learn: 0.4469164	total: 55m 46s	remaining: 1h 15m 8s
213:	learn: 0.4468897	total: 56m 1s	remaining: 1h 14m 51s
214:	learn: 0.4468633	total: 56m 16s	remaining: 1h 14m 35s
215:	learn: 0.4468230	total: 56m 33s	remaining: 1h 14m 21s
216:	learn: 0.4467880	total: 56m 47s	remaining: 1h 14m 4s
217:	learn: 0.4467500	total: 57m 4s	remaining: 1h 13m 50s
218:	learn: 0.4467220	total: 57m 17s	remaining: 1h 13m 31s
219:	learn: 0.4466967	total: 57m 34s	remaining: 1h 13m 17s
220:	learn: 0.4466707	total: 57m 49s	remaining: 1h 13m
221:	learn: 0.4466495	total: 58m 4s	remaining: 1h 12m 42s
222:	learn: 0.4466246	total: 58m 21s	remaining: 1h 12m 29s
223:	learn: 0.4465805	total: 58m 54s	remaining: 1h 12m 35s
224:	learn: 0.4465548	total: 59m 9s	remaining: 1h 12m 18s
225:	learn: 0.4465126	total: 59m 31s	remaining: 1h 12m 10s
226:	learn: 0.4464822	total: 59m 48s	remaining: 1h 11m 56s
227:	learn: 0.4464520	total: 1h 11s	remaining: 1h 11m 48s
228:	learn: 0.4464255	total: 1h 29s	remaining: 1h 11m 35s
229:	learn: 0.4464066	total: 1h 48s	remaining: 1h 11m 22s
230:	learn: 0.4463786	total: 1h 1m 4s	remaining: 1h 11m 7s
231:	learn: 0.4463390	total: 1h 1m 24s	remaining: 1h 10m 56s
232:	learn: 0.4463146	total: 1h 1m 40s	remaining: 1h 10m 40s
233:	learn: 0.4462926	total: 1h 1m 55s	remaining: 1h 10m 23s
234:	learn: 0.4462680	total: 1h 2m 17s	remaining: 1h 10m 14s
235:	learn: 0.4462463	total: 1h 2m 33s	remaining: 1h 9m 59s
236:	learn: 0.4462185	total: 1h 2m 52s	remaining: 1h 9m 46s
237:	learn: 0.4461967	total: 1h 3m 5s	remaining: 1h 9m 27s
238:	learn: 0.4461755	total: 1h 3m 21s	remaining: 1h 9m 11s
239:	learn: 0.4461378	total: 1h 3m 41s	remaining: 1h 9m
240:	learn: 0.4461157	total: 1h 3m 55s	remaining: 1h 8m 41s
241:	learn: 0.4460922	total: 1h 4m 13s	remaining: 1h 8m 28s
242:	learn: 0.4460601	total: 1h 4m 30s	remaining: 1h 8m 13s
243:	learn: 0.4460366	total: 1h 4m 44s	remaining: 1h 7m 55s
244:	learn: 0.4460075	total: 1h 4m 58s	remaining: 1h 7m 38s
245:	learn: 0.4459844	total: 1h 5m 10s	remaining: 1h 7m 18s
246:	learn: 0.4459591	total: 1h 5m 24s	remaining: 1h 7m
247:	learn: 0.4459315	total: 1h 5m 43s	remaining: 1h 6m 47s
248:	learn: 0.4459125	total: 1h 5m 59s	remaining: 1h 6m 31s
249:	learn: 0.4458781	total: 1h 6m 20s	remaining: 1h 6m 20s
250:	learn: 0.4458607	total: 1h 6m 30s	remaining: 1h 5m 59s
251:	learn: 0.4458227	total: 1h 6m 56s	remaining: 1h 5m 52s
252:	learn: 0.4458040	total: 1h 7m 14s	remaining: 1h 5m 38s
253:	learn: 0.4457712	total: 1h 7m 39s	remaining: 1h 5m 31s
254:	learn: 0.4457521	total: 1h 7m 55s	remaining: 1h 5m 15s
255:	learn: 0.4457225	total: 1h 8m 15s	remaining: 1h 5m 3s
256:	learn: 0.4457022	total: 1h 8m 28s	remaining: 1h 4m 44s
257:	learn: 0.4456847	total: 1h 8m 41s	remaining: 1h 4m 25s
258:	learn: 0.4456633	total: 1h 8m 54s	remaining: 1h 4m 7s
259:	learn: 0.4456292	total: 1h 9m 17s	remaining: 1h 3m 57s
260:	learn: 0.4456013	total: 1h 9m 33s	remaining: 1h 3m 41s
261:	learn: 0.4455725	total: 1h 9m 47s	remaining: 1h 3m 23s
262:	learn: 0.4455448	total: 1h 10m 9s	remaining: 1h 3m 13s
263:	learn: 0.4455264	total: 1h 10m 19s	remaining: 1h 2m 51s
264:	learn: 0.4455028	total: 1h 10m 32s	remaining: 1h 2m 33s
265:	learn: 0.4454830	total: 1h 10m 43s	remaining: 1h 2m 12s
266:	learn: 0.4454627	total: 1h 11m	remaining: 1h 1m 58s
267:	learn: 0.4454383	total: 1h 11m 15s	remaining: 1h 1m 41s
268:	learn: 0.4454168	total: 1h 11m 29s	remaining: 1h 1m 23s
269:	learn: 0.4453964	total: 1h 11m 45s	remaining: 1h 1m 7s
270:	learn: 0.4453687	total: 1h 12m 6s	remaining: 1h 55s
271:	learn: 0.4453409	total: 1h 12m 23s	remaining: 1h 40s
272:	learn: 0.4453220	total: 1h 12m 39s	remaining: 1h 25s
273:	learn: 0.4452941	total: 1h 13m 3s	remaining: 1h 15s
274:	learn: 0.4452778	total: 1h 13m 18s	remaining: 59m 59s
275:	learn: 0.4452620	total: 1h 13m 30s	remaining: 59m 39s
276:	learn: 0.4452350	total: 1h 13m 47s	remaining: 59m 24s
277:	learn: 0.4452159	total: 1h 14m 1s	remaining: 59m 6s
278:	learn: 0.4451932	total: 1h 14m 18s	remaining: 58m 51s
279:	learn: 0.4451663	total: 1h 14m 38s	remaining: 58m 38s
280:	learn: 0.4451479	total: 1h 14m 59s	remaining: 58m 27s
281:	learn: 0.4451299	total: 1h 15m 13s	remaining: 58m 9s
282:	learn: 0.4451115	total: 1h 15m 33s	remaining: 57m 56s
283:	learn: 0.4450793	total: 1h 15m 50s	remaining: 57m 41s
284:	learn: 0.4450466	total: 1h 16m 11s	remaining: 57m 28s
285:	learn: 0.4450269	total: 1h 16m 28s	remaining: 57m 13s
286:	learn: 0.4450060	total: 1h 16m 43s	remaining: 56m 56s
287:	learn: 0.4449824	total: 1h 16m 57s	remaining: 56m 39s
288:	learn: 0.4449581	total: 1h 17m 15s	remaining: 56m 24s
289:	learn: 0.4449400	total: 1h 17m 29s	remaining: 56m 6s
290:	learn: 0.4449147	total: 1h 17m 44s	remaining: 55m 50s
291:	learn: 0.4448959	total: 1h 18m 1s	remaining: 55m 34s
292:	learn: 0.4448720	total: 1h 18m 18s	remaining: 55m 19s
293:	learn: 0.4448560	total: 1h 18m 34s	remaining: 55m 3s
294:	learn: 0.4448358	total: 1h 18m 54s	remaining: 54m 49s
295:	learn: 0.4448137	total: 1h 19m 16s	remaining: 54m 38s
296:	learn: 0.4447934	total: 1h 19m 33s	remaining: 54m 22s
297:	learn: 0.4447764	total: 1h 19m 48s	remaining: 54m 5s
298:	learn: 0.4447547	total: 1h 20m 4s	remaining: 53m 49s
299:	learn: 0.4447326	total: 1h 20m 17s	remaining: 53m 31s
300:	learn: 0.4447159	total: 1h 20m 32s	remaining: 53m 15s
301:	learn: 0.4446979	total: 1h 20m 48s	remaining: 52m 58s
302:	learn: 0.4446823	total: 1h 21m 7s	remaining: 52m 44s
303:	learn: 0.4446624	total: 1h 21m 27s	remaining: 52m 31s
304:	learn: 0.4446444	total: 1h 21m 47s	remaining: 52m 17s
305:	learn: 0.4446244	total: 1h 22m 3s	remaining: 52m 1s
306:	learn: 0.4446076	total: 1h 22m 19s	remaining: 51m 45s
307:	learn: 0.4445897	total: 1h 22m 34s	remaining: 51m 28s
308:	learn: 0.4445682	total: 1h 22m 52s	remaining: 51m 13s
309:	learn: 0.4445377	total: 1h 23m 8s	remaining: 50m 57s
310:	learn: 0.4445159	total: 1h 23m 30s	remaining: 50m 44s
311:	learn: 0.4444927	total: 1h 23m 46s	remaining: 50m 28s
312:	learn: 0.4444765	total: 1h 24m 4s	remaining: 50m 14s
313:	learn: 0.4444587	total: 1h 24m 21s	remaining: 49m 58s
314:	learn: 0.4444416	total: 1h 24m 34s	remaining: 49m 40s
315:	learn: 0.4444208	total: 1h 24m 48s	remaining: 49m 23s
316:	learn: 0.4444034	total: 1h 25m 6s	remaining: 49m 8s
317:	learn: 0.4443806	total: 1h 25m 29s	remaining: 48m 55s
318:	learn: 0.4443646	total: 1h 25m 42s	remaining: 48m 37s
319:	learn: 0.4443486	total: 1h 26m	remaining: 48m 22s
320:	learn: 0.4443267	total: 1h 26m 20s	remaining: 48m 8s
321:	learn: 0.4443099	total: 1h 26m 32s	remaining: 47m 50s
322:	learn: 0.4442881	total: 1h 26m 56s	remaining: 47m 38s
323:	learn: 0.4442716	total: 1h 27m 10s	remaining: 47m 21s
324:	learn: 0.4442569	total: 1h 27m 22s	remaining: 47m 3s
325:	learn: 0.4442441	total: 1h 27m 33s	remaining: 46m 44s
