0:	learn: 0.6690357	total: 2.18s	remaining: 18m 10s
1:	learn: 0.6495450	total: 4.31s	remaining: 17m 52s
2:	learn: 0.6336776	total: 6.43s	remaining: 17m 45s
3:	learn: 0.6206011	total: 8.53s	remaining: 17m 38s
4:	learn: 0.6099054	total: 10.6s	remaining: 17m 32s
5:	learn: 0.6002939	total: 12.8s	remaining: 17m 32s
6:	learn: 0.5929102	total: 14.9s	remaining: 17m 26s
7:	learn: 0.5862949	total: 17.1s	remaining: 17m 34s
8:	learn: 0.5799551	total: 19.3s	remaining: 17m 34s
9:	learn: 0.5751448	total: 21.5s	remaining: 17m 34s
10:	learn: 0.5705815	total: 23.7s	remaining: 17m 35s
11:	learn: 0.5663636	total: 25.9s	remaining: 17m 32s
12:	learn: 0.5624791	total: 28.1s	remaining: 17m 34s
13:	learn: 0.5593251	total: 30.3s	remaining: 17m 31s
14:	learn: 0.5562945	total: 32.6s	remaining: 17m 33s
15:	learn: 0.5535408	total: 34.8s	remaining: 17m 33s
16:	learn: 0.5510761	total: 37s	remaining: 17m 32s
17:	learn: 0.5485226	total: 39.3s	remaining: 17m 32s
18:	learn: 0.5461799	total: 41.6s	remaining: 17m 32s
19:	learn: 0.5443290	total: 43.7s	remaining: 17m 28s
20:	learn: 0.5425753	total: 45.9s	remaining: 17m 27s
21:	learn: 0.5409031	total: 48.3s	remaining: 17m 28s
22:	learn: 0.5394426	total: 50.7s	remaining: 17m 32s
23:	learn: 0.5380522	total: 52.9s	remaining: 17m 29s
24:	learn: 0.5366575	total: 55s	remaining: 17m 25s
25:	learn: 0.5354530	total: 57.3s	remaining: 17m 24s
26:	learn: 0.5343442	total: 59.6s	remaining: 17m 24s
27:	learn: 0.5332472	total: 1m 1s	remaining: 17m 25s
28:	learn: 0.5321477	total: 1m 4s	remaining: 17m 23s
29:	learn: 0.5311818	total: 1m 6s	remaining: 17m 22s
30:	learn: 0.5301681	total: 1m 8s	remaining: 17m 22s
31:	learn: 0.5293340	total: 1m 11s	remaining: 17m 20s
32:	learn: 0.5285135	total: 1m 13s	remaining: 17m 19s
33:	learn: 0.5277823	total: 1m 15s	remaining: 17m 16s
34:	learn: 0.5271341	total: 1m 17s	remaining: 17m 14s
35:	learn: 0.5262635	total: 1m 20s	remaining: 17m 17s
36:	learn: 0.5255945	total: 1m 23s	remaining: 17m 18s
37:	learn: 0.5247369	total: 1m 25s	remaining: 17m 19s
38:	learn: 0.5241723	total: 1m 27s	remaining: 17m 16s
39:	learn: 0.5235769	total: 1m 30s	remaining: 17m 15s
40:	learn: 0.5230110	total: 1m 32s	remaining: 17m 12s
41:	learn: 0.5224126	total: 1m 34s	remaining: 17m 9s
42:	learn: 0.5218704	total: 1m 36s	remaining: 17m 6s
43:	learn: 0.5212435	total: 1m 39s	remaining: 17m 8s
44:	learn: 0.5206976	total: 1m 41s	remaining: 17m 7s
45:	learn: 0.5201963	total: 1m 43s	remaining: 17m 5s
46:	learn: 0.5196379	total: 1m 46s	remaining: 17m 3s
47:	learn: 0.5192237	total: 1m 48s	remaining: 17m
48:	learn: 0.5187346	total: 1m 50s	remaining: 17m
49:	learn: 0.5182890	total: 1m 53s	remaining: 17m
50:	learn: 0.5177201	total: 1m 55s	remaining: 17m
51:	learn: 0.5172903	total: 1m 58s	remaining: 16m 59s
52:	learn: 0.5168364	total: 2m	remaining: 16m 57s
53:	learn: 0.5163785	total: 2m 2s	remaining: 16m 54s
54:	learn: 0.5159485	total: 2m 5s	remaining: 16m 53s
55:	learn: 0.5155276	total: 2m 7s	remaining: 16m 52s
56:	learn: 0.5151996	total: 2m 9s	remaining: 16m 48s
57:	learn: 0.5147335	total: 2m 12s	remaining: 16m 50s
58:	learn: 0.5143626	total: 2m 14s	remaining: 16m 47s
59:	learn: 0.5139685	total: 2m 17s	remaining: 16m 47s
60:	learn: 0.5136788	total: 2m 19s	remaining: 16m 43s
61:	learn: 0.5132823	total: 2m 22s	remaining: 16m 43s
62:	learn: 0.5129207	total: 2m 24s	remaining: 16m 41s
63:	learn: 0.5125590	total: 2m 27s	remaining: 16m 43s
64:	learn: 0.5122899	total: 2m 29s	remaining: 16m 41s
65:	learn: 0.5119601	total: 2m 31s	remaining: 16m 39s
66:	learn: 0.5116165	total: 2m 34s	remaining: 16m 36s
67:	learn: 0.5112399	total: 2m 36s	remaining: 16m 34s
68:	learn: 0.5109410	total: 2m 38s	remaining: 16m 31s
69:	learn: 0.5106333	total: 2m 41s	remaining: 16m 31s
70:	learn: 0.5103309	total: 2m 44s	remaining: 16m 32s
71:	learn: 0.5100852	total: 2m 46s	remaining: 16m 29s
72:	learn: 0.5098361	total: 2m 48s	remaining: 16m 26s
73:	learn: 0.5095723	total: 2m 50s	remaining: 16m 22s
74:	learn: 0.5093134	total: 2m 52s	remaining: 16m 20s
75:	learn: 0.5091028	total: 2m 55s	remaining: 16m 19s
76:	learn: 0.5088564	total: 2m 57s	remaining: 16m 16s
77:	learn: 0.5086224	total: 3m	remaining: 16m 15s
78:	learn: 0.5083835	total: 3m 2s	remaining: 16m 13s
79:	learn: 0.5080762	total: 3m 4s	remaining: 16m 10s
80:	learn: 0.5078104	total: 3m 7s	remaining: 16m 10s
81:	learn: 0.5075021	total: 3m 9s	remaining: 16m 6s
82:	learn: 0.5072868	total: 3m 11s	remaining: 16m 4s
83:	learn: 0.5070184	total: 3m 14s	remaining: 16m 2s
84:	learn: 0.5067969	total: 3m 16s	remaining: 15m 59s
85:	learn: 0.5065980	total: 3m 18s	remaining: 15m 56s
86:	learn: 0.5063635	total: 3m 21s	remaining: 15m 54s
87:	learn: 0.5061625	total: 3m 23s	remaining: 15m 53s
88:	learn: 0.5059151	total: 3m 26s	remaining: 15m 52s
89:	learn: 0.5057215	total: 3m 28s	remaining: 15m 50s
90:	learn: 0.5054716	total: 3m 30s	remaining: 15m 48s
91:	learn: 0.5052562	total: 3m 33s	remaining: 15m 48s
92:	learn: 0.5050526	total: 3m 36s	remaining: 15m 46s
93:	learn: 0.5048134	total: 3m 39s	remaining: 15m 46s
94:	learn: 0.5046511	total: 3m 41s	remaining: 15m 43s
95:	learn: 0.5044139	total: 3m 43s	remaining: 15m 40s
96:	learn: 0.5042225	total: 3m 45s	remaining: 15m 38s
97:	learn: 0.5040189	total: 3m 48s	remaining: 15m 37s
98:	learn: 0.5038121	total: 3m 51s	remaining: 15m 36s
99:	learn: 0.5035807	total: 3m 53s	remaining: 15m 33s
100:	learn: 0.5033854	total: 3m 56s	remaining: 15m 32s
101:	learn: 0.5032044	total: 3m 58s	remaining: 15m 28s
102:	learn: 0.5030167	total: 4m	remaining: 15m 27s
103:	learn: 0.5028374	total: 4m 2s	remaining: 15m 24s
104:	learn: 0.5025972	total: 4m 5s	remaining: 15m 23s
105:	learn: 0.5023877	total: 4m 7s	remaining: 15m 20s
106:	learn: 0.5022168	total: 4m 9s	remaining: 15m 17s
107:	learn: 0.5020480	total: 4m 12s	remaining: 15m 15s
108:	learn: 0.5018880	total: 4m 14s	remaining: 15m 13s
109:	learn: 0.5017241	total: 4m 16s	remaining: 15m 10s
110:	learn: 0.5015019	total: 4m 19s	remaining: 15m 9s
111:	learn: 0.5013422	total: 4m 22s	remaining: 15m 7s
112:	learn: 0.5011432	total: 4m 24s	remaining: 15m 6s
113:	learn: 0.5009385	total: 4m 26s	remaining: 15m 3s
114:	learn: 0.5007731	total: 4m 29s	remaining: 15m 1s
115:	learn: 0.5006173	total: 4m 31s	remaining: 15m
116:	learn: 0.5004236	total: 4m 34s	remaining: 14m 59s
117:	learn: 0.5002120	total: 4m 37s	remaining: 14m 59s
118:	learn: 0.5000563	total: 4m 40s	remaining: 14m 58s
119:	learn: 0.4998931	total: 4m 42s	remaining: 14m 56s
120:	learn: 0.4997252	total: 4m 46s	remaining: 14m 56s
121:	learn: 0.4995650	total: 4m 48s	remaining: 14m 53s
122:	learn: 0.4993925	total: 4m 50s	remaining: 14m 51s
123:	learn: 0.4992132	total: 4m 53s	remaining: 14m 49s
