97:	learn: 0.3066436	total: 4m 47s	remaining: 19m 40s
98:	learn: 0.3052380	total: 4m 50s	remaining: 19m 37s
99:	learn: 0.3039344	total: 4m 53s	remaining: 19m 33s
100:	learn: 0.3025155	total: 4m 56s	remaining: 19m 30s
101:	learn: 0.3012188	total: 4m 59s	remaining: 19m 26s
102:	learn: 0.2999731	total: 5m 1s	remaining: 19m 22s
103:	learn: 0.2987035	total: 5m 4s	remaining: 19m 19s
104:	learn: 0.2974292	total: 5m 7s	remaining: 19m 15s
105:	learn: 0.2961640	total: 5m 9s	remaining: 19m 11s
106:	learn: 0.2948859	total: 5m 12s	remaining: 19m 8s
107:	learn: 0.2936650	total: 5m 15s	remaining: 19m 3s
108:	learn: 0.2924254	total: 5m 17s	remaining: 19m
109:	learn: 0.2911729	total: 5m 20s	remaining: 18m 57s
110:	learn: 0.2900054	total: 5m 23s	remaining: 18m 53s
111:	learn: 0.2888035	total: 5m 26s	remaining: 18m 49s
112:	learn: 0.2876297	total: 5m 28s	remaining: 18m 45s
113:	learn: 0.2863986	total: 5m 31s	remaining: 18m 42s
114:	learn: 0.2851586	total: 5m 34s	remaining: 18m 39s
115:	learn: 0.2840015	total: 5m 37s	remaining: 18m 35s
116:	learn: 0.2828461	total: 5m 39s	remaining: 18m 32s
117:	learn: 0.2817077	total: 5m 42s	remaining: 18m 28s
118:	learn: 0.2805094	total: 5m 45s	remaining: 18m 24s
119:	learn: 0.2794163	total: 5m 47s	remaining: 18m 21s
120:	learn: 0.2782707	total: 5m 50s	remaining: 18m 17s
121:	learn: 0.2771477	total: 5m 53s	remaining: 18m 14s
122:	learn: 0.2760287	total: 5m 56s	remaining: 18m 11s
123:	learn: 0.2749601	total: 5m 58s	remaining: 18m 8s
124:	learn: 0.2738692	total: 6m 1s	remaining: 18m 4s
125:	learn: 0.2727910	total: 6m 4s	remaining: 18m
126:	learn: 0.2717592	total: 6m 6s	remaining: 17m 56s
127:	learn: 0.2706979	total: 6m 9s	remaining: 17m 53s
128:	learn: 0.2696739	total: 6m 11s	remaining: 17m 49s
129:	learn: 0.2686549	total: 6m 14s	remaining: 17m 46s
130:	learn: 0.2676719	total: 6m 17s	remaining: 17m 42s
131:	learn: 0.2666410	total: 6m 19s	remaining: 17m 38s
132:	learn: 0.2655853	total: 6m 22s	remaining: 17m 35s
133:	learn: 0.2645676	total: 6m 25s	remaining: 17m 32s
134:	learn: 0.2635529	total: 6m 28s	remaining: 17m 29s
135:	learn: 0.2625475	total: 6m 30s	remaining: 17m 25s
136:	learn: 0.2615670	total: 6m 33s	remaining: 17m 22s
137:	learn: 0.2605410	total: 6m 36s	remaining: 17m 18s
138:	learn: 0.2595287	total: 6m 38s	remaining: 17m 15s
139:	learn: 0.2585656	total: 6m 41s	remaining: 17m 12s
140:	learn: 0.2576276	total: 6m 44s	remaining: 17m 8s
141:	learn: 0.2566318	total: 6m 46s	remaining: 17m 5s
142:	learn: 0.2556598	total: 6m 49s	remaining: 17m 2s
143:	learn: 0.2547179	total: 6m 52s	remaining: 16m 58s
144:	learn: 0.2537517	total: 6m 54s	remaining: 16m 55s
145:	learn: 0.2528546	total: 6m 57s	remaining: 16m 51s
146:	learn: 0.2519038	total: 6m 59s	remaining: 16m 48s
147:	learn: 0.2510130	total: 7m 2s	remaining: 16m 44s
148:	learn: 0.2501357	total: 7m 4s	remaining: 16m 40s
149:	learn: 0.2492478	total: 7m 7s	remaining: 16m 37s
150:	learn: 0.2483173	total: 7m 10s	remaining: 16m 34s
151:	learn: 0.2473964	total: 7m 12s	remaining: 16m 30s
152:	learn: 0.2465170	total: 7m 15s	remaining: 16m 27s
153:	learn: 0.2455692	total: 7m 18s	remaining: 16m 24s
154:	learn: 0.2446625	total: 7m 21s	remaining: 16m 21s
155:	learn: 0.2437118	total: 7m 23s	remaining: 16m 18s
156:	learn: 0.2428172	total: 7m 26s	remaining: 16m 15s
157:	learn: 0.2419126	total: 7m 29s	remaining: 16m 12s
158:	learn: 0.2410678	total: 7m 31s	remaining: 16m 8s
159:	learn: 0.2402133	total: 7m 34s	remaining: 16m 5s
160:	learn: 0.2393791	total: 7m 36s	remaining: 16m 1s
161:	learn: 0.2385344	total: 7m 39s	remaining: 15m 58s
162:	learn: 0.2376772	total: 7m 42s	remaining: 15m 55s
163:	learn: 0.2368276	total: 7m 44s	remaining: 15m 52s
164:	learn: 0.2359913	total: 7m 47s	remaining: 15m 48s
165:	learn: 0.2351698	total: 7m 50s	remaining: 15m 45s
166:	learn: 0.2343098	total: 7m 52s	remaining: 15m 42s
167:	learn: 0.2335097	total: 7m 55s	remaining: 15m 39s
168:	learn: 0.2327317	total: 7m 57s	remaining: 15m 35s
