0:	learn: 0.6500661	total: 10.2s	remaining: 1h 24m 35s
1:	learn: 0.6129901	total: 20.8s	remaining: 1h 26m 20s
2:	learn: 0.5859414	total: 31.5s	remaining: 1h 27m 5s
3:	learn: 0.5644531	total: 41.7s	remaining: 1h 26m 12s
4:	learn: 0.5471213	total: 52.6s	remaining: 1h 26m 46s
5:	learn: 0.5336886	total: 1m 3s	remaining: 1h 26m 27s
6:	learn: 0.5225257	total: 1m 13s	remaining: 1h 26m 50s
7:	learn: 0.5131843	total: 1m 25s	remaining: 1h 27m 14s
8:	learn: 0.5055778	total: 1m 36s	remaining: 1h 28m
9:	learn: 0.4996804	total: 1m 47s	remaining: 1h 28m 7s
10:	learn: 0.4946199	total: 1m 59s	remaining: 1h 28m 36s
11:	learn: 0.4906236	total: 2m 11s	remaining: 1h 28m 47s
12:	learn: 0.4870064	total: 2m 23s	remaining: 1h 29m 36s
13:	learn: 0.4838971	total: 2m 35s	remaining: 1h 29m 55s
14:	learn: 0.4815839	total: 2m 47s	remaining: 1h 30m 21s
15:	learn: 0.4794734	total: 3m	remaining: 1h 30m 53s
16:	learn: 0.4774141	total: 3m 13s	remaining: 1h 31m 28s
17:	learn: 0.4757727	total: 3m 25s	remaining: 1h 31m 52s
18:	learn: 0.4742563	total: 3m 39s	remaining: 1h 32m 30s
19:	learn: 0.4730114	total: 3m 52s	remaining: 1h 32m 54s
20:	learn: 0.4720009	total: 4m 4s	remaining: 1h 33m 1s
21:	learn: 0.4709128	total: 4m 19s	remaining: 1h 34m
22:	learn: 0.4699424	total: 4m 33s	remaining: 1h 34m 40s
23:	learn: 0.4690847	total: 4m 47s	remaining: 1h 35m 3s
24:	learn: 0.4682291	total: 5m 1s	remaining: 1h 35m 31s
25:	learn: 0.4675490	total: 5m 15s	remaining: 1h 35m 51s
26:	learn: 0.4668947	total: 5m 28s	remaining: 1h 36m 1s
27:	learn: 0.4662518	total: 5m 42s	remaining: 1h 36m 18s
28:	learn: 0.4656821	total: 5m 58s	remaining: 1h 36m 54s
29:	learn: 0.4652209	total: 6m 11s	remaining: 1h 37m 2s
30:	learn: 0.4646604	total: 6m 26s	remaining: 1h 37m 23s
31:	learn: 0.4640647	total: 6m 41s	remaining: 1h 37m 46s
32:	learn: 0.4636501	total: 6m 55s	remaining: 1h 37m 54s
33:	learn: 0.4632417	total: 7m 10s	remaining: 1h 38m 16s
34:	learn: 0.4628708	total: 7m 25s	remaining: 1h 38m 40s
35:	learn: 0.4625367	total: 7m 41s	remaining: 1h 39m 3s
36:	learn: 0.4621590	total: 7m 56s	remaining: 1h 39m 18s
37:	learn: 0.4618486	total: 8m 11s	remaining: 1h 39m 30s
38:	learn: 0.4615096	total: 8m 27s	remaining: 1h 39m 54s
39:	learn: 0.4612181	total: 8m 40s	remaining: 1h 39m 50s
40:	learn: 0.4609348	total: 8m 57s	remaining: 1h 40m 15s
41:	learn: 0.4605712	total: 9m 13s	remaining: 1h 40m 39s
42:	learn: 0.4602789	total: 9m 27s	remaining: 1h 40m 33s
