0:	learn: 0.6458970	total: 670ms	remaining: 5m 34s
1:	learn: 0.6097507	total: 1.35s	remaining: 5m 37s
2:	learn: 0.5813577	total: 2.06s	remaining: 5m 41s
3:	learn: 0.5587526	total: 2.75s	remaining: 5m 40s
4:	learn: 0.5422578	total: 3.47s	remaining: 5m 43s
5:	learn: 0.5278847	total: 4.13s	remaining: 5m 39s
6:	learn: 0.5163505	total: 4.79s	remaining: 5m 37s
7:	learn: 0.5072342	total: 5.46s	remaining: 5m 35s
8:	learn: 0.4999432	total: 6.04s	remaining: 5m 29s
9:	learn: 0.4940143	total: 6.57s	remaining: 5m 21s
10:	learn: 0.4891720	total: 7.12s	remaining: 5m 16s
11:	learn: 0.4851914	total: 7.65s	remaining: 5m 10s
12:	learn: 0.4818889	total: 8.18s	remaining: 5m 6s
13:	learn: 0.4791289	total: 8.73s	remaining: 5m 3s
14:	learn: 0.4768202	total: 9.28s	remaining: 5m
15:	learn: 0.4748202	total: 9.83s	remaining: 4m 57s
16:	learn: 0.4730914	total: 10.4s	remaining: 4m 55s
17:	learn: 0.4716562	total: 10.9s	remaining: 4m 52s
18:	learn: 0.4703650	total: 11.5s	remaining: 4m 51s
19:	learn: 0.4692731	total: 12s	remaining: 4m 49s
20:	learn: 0.4682683	total: 12.6s	remaining: 4m 47s
21:	learn: 0.4673545	total: 13.1s	remaining: 4m 45s
22:	learn: 0.4665321	total: 13.7s	remaining: 4m 43s
23:	learn: 0.4657887	total: 14.2s	remaining: 4m 41s
24:	learn: 0.4651857	total: 14.7s	remaining: 4m 40s
25:	learn: 0.4646028	total: 15.3s	remaining: 4m 39s
26:	learn: 0.4640351	total: 15.9s	remaining: 4m 37s
27:	learn: 0.4635198	total: 16.4s	remaining: 4m 36s
28:	learn: 0.4629447	total: 16.9s	remaining: 4m 34s
29:	learn: 0.4624290	total: 17.5s	remaining: 4m 33s
30:	learn: 0.4620383	total: 18s	remaining: 4m 32s
31:	learn: 0.4615627	total: 18.5s	remaining: 4m 30s
32:	learn: 0.4611687	total: 19s	remaining: 4m 29s
33:	learn: 0.4608502	total: 19.6s	remaining: 4m 28s
34:	learn: 0.4604009	total: 20.1s	remaining: 4m 27s
35:	learn: 0.4601019	total: 20.6s	remaining: 4m 26s
36:	learn: 0.4597973	total: 21.2s	remaining: 4m 24s
37:	learn: 0.4594316	total: 21.8s	remaining: 4m 25s
38:	learn: 0.4590944	total: 22.3s	remaining: 4m 24s
39:	learn: 0.4588049	total: 22.9s	remaining: 4m 23s
40:	learn: 0.4585530	total: 23.4s	remaining: 4m 22s
41:	learn: 0.4582502	total: 23.9s	remaining: 4m 21s
42:	learn: 0.4580411	total: 24.5s	remaining: 4m 20s
43:	learn: 0.4578043	total: 25s	remaining: 4m 18s
44:	learn: 0.4576214	total: 25.5s	remaining: 4m 18s
45:	learn: 0.4572816	total: 26.1s	remaining: 4m 17s
46:	learn: 0.4570555	total: 26.6s	remaining: 4m 16s
47:	learn: 0.4568280	total: 27.1s	remaining: 4m 15s
48:	learn: 0.4566418	total: 27.6s	remaining: 4m 14s
49:	learn: 0.4564662	total: 28.2s	remaining: 4m 13s
50:	learn: 0.4562772	total: 28.7s	remaining: 4m 12s
51:	learn: 0.4560516	total: 29.2s	remaining: 4m 11s
52:	learn: 0.4558492	total: 29.7s	remaining: 4m 10s
53:	learn: 0.4556866	total: 30.3s	remaining: 4m 9s
54:	learn: 0.4555059	total: 30.8s	remaining: 4m 8s
55:	learn: 0.4553522	total: 31.3s	remaining: 4m 8s
56:	learn: 0.4552014	total: 31.8s	remaining: 4m 7s
57:	learn: 0.4549881	total: 32.3s	remaining: 4m 6s
58:	learn: 0.4548311	total: 32.8s	remaining: 4m 5s
59:	learn: 0.4546985	total: 33.3s	remaining: 4m 4s
60:	learn: 0.4545699	total: 33.9s	remaining: 4m 3s
61:	learn: 0.4543895	total: 34.4s	remaining: 4m 2s
62:	learn: 0.4542635	total: 34.9s	remaining: 4m 1s
63:	learn: 0.4541427	total: 35.4s	remaining: 4m 1s
64:	learn: 0.4539699	total: 35.9s	remaining: 4m
65:	learn: 0.4538582	total: 36.4s	remaining: 3m 59s
66:	learn: 0.4537333	total: 36.9s	remaining: 3m 58s
67:	learn: 0.4536118	total: 37.4s	remaining: 3m 57s
68:	learn: 0.4534828	total: 37.9s	remaining: 3m 56s
69:	learn: 0.4533659	total: 38.5s	remaining: 3m 56s
70:	learn: 0.4532007	total: 39s	remaining: 3m 55s
71:	learn: 0.4530924	total: 39.5s	remaining: 3m 54s
72:	learn: 0.4530047	total: 40s	remaining: 3m 53s
73:	learn: 0.4528715	total: 40.5s	remaining: 3m 53s
74:	learn: 0.4527730	total: 41s	remaining: 3m 52s
75:	learn: 0.4526630	total: 41.5s	remaining: 3m 51s
76:	learn: 0.4525803	total: 42s	remaining: 3m 50s
77:	learn: 0.4524610	total: 42.5s	remaining: 3m 50s
78:	learn: 0.4523505	total: 43s	remaining: 3m 49s
79:	learn: 0.4522723	total: 43.6s	remaining: 3m 48s
80:	learn: 0.4521755	total: 44.1s	remaining: 3m 47s
81:	learn: 0.4520253	total: 44.6s	remaining: 3m 47s
82:	learn: 0.4519445	total: 45.1s	remaining: 3m 46s
83:	learn: 0.4518616	total: 45.6s	remaining: 3m 45s
84:	learn: 0.4517637	total: 46.1s	remaining: 3m 44s
85:	learn: 0.4516744	total: 46.6s	remaining: 3m 44s
86:	learn: 0.4516002	total: 47.1s	remaining: 3m 43s
87:	learn: 0.4515117	total: 47.6s	remaining: 3m 42s
88:	learn: 0.4514349	total: 48.1s	remaining: 3m 42s
89:	learn: 0.4513474	total: 48.6s	remaining: 3m 41s
90:	learn: 0.4512711	total: 49.1s	remaining: 3m 40s
91:	learn: 0.4511609	total: 49.6s	remaining: 3m 39s
92:	learn: 0.4510706	total: 50.1s	remaining: 3m 39s
93:	learn: 0.4510143	total: 50.6s	remaining: 3m 38s
94:	learn: 0.4509445	total: 51.1s	remaining: 3m 37s
95:	learn: 0.4508767	total: 51.6s	remaining: 3m 37s
96:	learn: 0.4507705	total: 52.1s	remaining: 3m 36s
97:	learn: 0.4506881	total: 52.6s	remaining: 3m 35s
98:	learn: 0.4506168	total: 53.1s	remaining: 3m 34s
99:	learn: 0.4505589	total: 53.6s	remaining: 3m 34s
100:	learn: 0.4504936	total: 54.1s	remaining: 3m 33s
101:	learn: 0.4504268	total: 54.6s	remaining: 3m 32s
102:	learn: 0.4503756	total: 55.1s	remaining: 3m 32s
103:	learn: 0.4503105	total: 55.6s	remaining: 3m 31s
104:	learn: 0.4502477	total: 56.1s	remaining: 3m 30s
105:	learn: 0.4501443	total: 56.6s	remaining: 3m 30s
106:	learn: 0.4500780	total: 57.1s	remaining: 3m 29s
107:	learn: 0.4500208	total: 57.6s	remaining: 3m 29s
108:	learn: 0.4499357	total: 58.1s	remaining: 3m 28s
109:	learn: 0.4498794	total: 58.6s	remaining: 3m 27s
110:	learn: 0.4498292	total: 59.1s	remaining: 3m 27s
111:	learn: 0.4497693	total: 59.6s	remaining: 3m 26s
112:	learn: 0.4497099	total: 1m	remaining: 3m 25s
113:	learn: 0.4496451	total: 1m	remaining: 3m 25s
114:	learn: 0.4495549	total: 1m 1s	remaining: 3m 24s
115:	learn: 0.4495034	total: 1m 1s	remaining: 3m 23s
116:	learn: 0.4494520	total: 1m 2s	remaining: 3m 23s
117:	learn: 0.4494053	total: 1m 2s	remaining: 3m 22s
118:	learn: 0.4493556	total: 1m 2s	remaining: 3m 21s
119:	learn: 0.4493108	total: 1m 3s	remaining: 3m 21s
120:	learn: 0.4492681	total: 1m 4s	remaining: 3m 20s
121:	learn: 0.4491875	total: 1m 4s	remaining: 3m 19s
122:	learn: 0.4491312	total: 1m 4s	remaining: 3m 19s
123:	learn: 0.4490806	total: 1m 5s	remaining: 3m 18s
124:	learn: 0.4490199	total: 1m 5s	remaining: 3m 17s
125:	learn: 0.4489674	total: 1m 6s	remaining: 3m 17s
126:	learn: 0.4489147	total: 1m 7s	remaining: 3m 16s
127:	learn: 0.4488633	total: 1m 7s	remaining: 3m 16s
128:	learn: 0.4488231	total: 1m 8s	remaining: 3m 15s
129:	learn: 0.4487762	total: 1m 8s	remaining: 3m 15s
130:	learn: 0.4487188	total: 1m 9s	remaining: 3m 14s
131:	learn: 0.4486690	total: 1m 9s	remaining: 3m 13s
132:	learn: 0.4485870	total: 1m 10s	remaining: 3m 13s
133:	learn: 0.4485462	total: 1m 10s	remaining: 3m 12s
134:	learn: 0.4484928	total: 1m 11s	remaining: 3m 12s
135:	learn: 0.4484387	total: 1m 11s	remaining: 3m 11s
136:	learn: 0.4483954	total: 1m 11s	remaining: 3m 10s
137:	learn: 0.4483275	total: 1m 12s	remaining: 3m 10s
138:	learn: 0.4482948	total: 1m 12s	remaining: 3m 9s
139:	learn: 0.4482502	total: 1m 13s	remaining: 3m 8s
140:	learn: 0.4482090	total: 1m 13s	remaining: 3m 8s
141:	learn: 0.4481546	total: 1m 14s	remaining: 3m 7s
142:	learn: 0.4481108	total: 1m 14s	remaining: 3m 7s
143:	learn: 0.4480761	total: 1m 15s	remaining: 3m 6s
144:	learn: 0.4480370	total: 1m 15s	remaining: 3m 5s
145:	learn: 0.4479931	total: 1m 16s	remaining: 3m 5s
146:	learn: 0.4479493	total: 1m 16s	remaining: 3m 4s
147:	learn: 0.4478862	total: 1m 17s	remaining: 3m 3s
148:	learn: 0.4478480	total: 1m 17s	remaining: 3m 3s
149:	learn: 0.4477876	total: 1m 18s	remaining: 3m 2s
150:	learn: 0.4477438	total: 1m 18s	remaining: 3m 2s
151:	learn: 0.4477010	total: 1m 19s	remaining: 3m 1s
152:	learn: 0.4476461	total: 1m 19s	remaining: 3m
153:	learn: 0.4476001	total: 1m 20s	remaining: 3m
154:	learn: 0.4475678	total: 1m 20s	remaining: 2m 59s
155:	learn: 0.4475310	total: 1m 21s	remaining: 2m 58s
156:	learn: 0.4474871	total: 1m 21s	remaining: 2m 58s
157:	learn: 0.4474490	total: 1m 22s	remaining: 2m 57s
158:	learn: 0.4474105	total: 1m 22s	remaining: 2m 57s
159:	learn: 0.4473734	total: 1m 23s	remaining: 2m 56s
160:	learn: 0.4473404	total: 1m 23s	remaining: 2m 55s
161:	learn: 0.4473091	total: 1m 24s	remaining: 2m 55s
162:	learn: 0.4472574	total: 1m 24s	remaining: 2m 54s
163:	learn: 0.4472027	total: 1m 24s	remaining: 2m 53s
164:	learn: 0.4471676	total: 1m 25s	remaining: 2m 53s
165:	learn: 0.4471394	total: 1m 25s	remaining: 2m 52s
166:	learn: 0.4471042	total: 1m 26s	remaining: 2m 52s
167:	learn: 0.4470686	total: 1m 26s	remaining: 2m 51s
168:	learn: 0.4470132	total: 1m 27s	remaining: 2m 50s
