104:	learn: 0.0356583	total: 4.15s	remaining: 15.6s
105:	learn: 0.0354940	total: 4.19s	remaining: 15.6s
106:	learn: 0.0353294	total: 4.24s	remaining: 15.6s
107:	learn: 0.0351678	total: 4.3s	remaining: 15.6s
108:	learn: 0.0350161	total: 4.35s	remaining: 15.6s
109:	learn: 0.0348725	total: 4.39s	remaining: 15.6s
110:	learn: 0.0347319	total: 4.44s	remaining: 15.6s
111:	learn: 0.0345974	total: 4.49s	remaining: 15.5s
112:	learn: 0.0344718	total: 4.53s	remaining: 15.5s
113:	learn: 0.0343452	total: 4.57s	remaining: 15.5s
114:	learn: 0.0342262	total: 4.62s	remaining: 15.5s
115:	learn: 0.0341072	total: 4.67s	remaining: 15.5s
116:	learn: 0.0339941	total: 4.72s	remaining: 15.4s
117:	learn: 0.0338859	total: 4.77s	remaining: 15.4s
118:	learn: 0.0337811	total: 4.81s	remaining: 15.4s
119:	learn: 0.0336779	total: 4.9s	remaining: 15.5s
120:	learn: 0.0335800	total: 4.95s	remaining: 15.5s
121:	learn: 0.0334867	total: 4.99s	remaining: 15.5s
122:	learn: 0.0333967	total: 5.04s	remaining: 15.5s
123:	learn: 0.0333080	total: 5.09s	remaining: 15.4s
124:	learn: 0.0332217	total: 5.14s	remaining: 15.4s
125:	learn: 0.0331407	total: 5.19s	remaining: 15.4s
126:	learn: 0.0330619	total: 5.24s	remaining: 15.4s
127:	learn: 0.0329854	total: 5.28s	remaining: 15.4s
128:	learn: 0.0329126	total: 5.33s	remaining: 15.3s
129:	learn: 0.0328415	total: 5.38s	remaining: 15.3s
130:	learn: 0.0327726	total: 5.43s	remaining: 15.3s
131:	learn: 0.0327062	total: 5.48s	remaining: 15.3s
132:	learn: 0.0326387	total: 5.54s	remaining: 15.3s
133:	learn: 0.0325784	total: 5.58s	remaining: 15.2s
134:	learn: 0.0325172	total: 5.63s	remaining: 15.2s
135:	learn: 0.0324593	total: 5.68s	remaining: 15.2s
136:	learn: 0.0324047	total: 5.72s	remaining: 15.2s
137:	learn: 0.0323498	total: 5.77s	remaining: 15.1s
138:	learn: 0.0322971	total: 5.82s	remaining: 15.1s
139:	learn: 0.0322412	total: 5.87s	remaining: 15.1s
140:	learn: 0.0321922	total: 5.91s	remaining: 15.1s
141:	learn: 0.0321433	total: 5.96s	remaining: 15s
142:	learn: 0.0320956	total: 6.01s	remaining: 15s
143:	learn: 0.0320458	total: 6.07s	remaining: 15s
144:	learn: 0.0320014	total: 6.12s	remaining: 15s
145:	learn: 0.0319590	total: 6.16s	remaining: 14.9s
146:	learn: 0.0319172	total: 6.21s	remaining: 14.9s
147:	learn: 0.0318763	total: 6.26s	remaining: 14.9s
148:	learn: 0.0318380	total: 6.31s	remaining: 14.9s
149:	learn: 0.0318002	total: 6.35s	remaining: 14.8s
150:	learn: 0.0317631	total: 6.4s	remaining: 14.8s
151:	learn: 0.0317270	total: 6.46s	remaining: 14.8s
152:	learn: 0.0316920	total: 6.5s	remaining: 14.8s
153:	learn: 0.0316582	total: 6.55s	remaining: 14.7s
154:	learn: 0.0316255	total: 6.6s	remaining: 14.7s
155:	learn: 0.0315923	total: 6.65s	remaining: 14.7s
156:	learn: 0.0315617	total: 6.7s	remaining: 14.6s
157:	learn: 0.0315309	total: 6.74s	remaining: 14.6s
158:	learn: 0.0315010	total: 6.8s	remaining: 14.6s
159:	learn: 0.0314715	total: 6.85s	remaining: 14.5s
160:	learn: 0.0314432	total: 6.89s	remaining: 14.5s
161:	learn: 0.0314172	total: 6.94s	remaining: 14.5s
162:	learn: 0.0313901	total: 6.99s	remaining: 14.5s
163:	learn: 0.0313602	total: 7.05s	remaining: 14.4s
164:	learn: 0.0313333	total: 7.1s	remaining: 14.4s
165:	learn: 0.0313086	total: 7.15s	remaining: 14.4s
166:	learn: 0.0312843	total: 7.21s	remaining: 14.4s
167:	learn: 0.0312578	total: 7.26s	remaining: 14.3s
168:	learn: 0.0312350	total: 7.31s	remaining: 14.3s
169:	learn: 0.0312123	total: 7.37s	remaining: 14.3s
170:	learn: 0.0311905	total: 7.42s	remaining: 14.3s
171:	learn: 0.0311686	total: 7.48s	remaining: 14.3s
172:	learn: 0.0311485	total: 7.53s	remaining: 14.2s
173:	learn: 0.0311279	total: 7.57s	remaining: 14.2s
174:	learn: 0.0311073	total: 7.62s	remaining: 14.2s
175:	learn: 0.0310891	total: 7.67s	remaining: 14.1s
176:	learn: 0.0310684	total: 7.72s	remaining: 14.1s
177:	learn: 0.0310507	total: 7.77s	remaining: 14.1s
178:	learn: 0.0310335	total: 7.82s	remaining: 14s
179:	learn: 0.0310161	total: 7.87s	remaining: 14s
