100:	learn: 0.0240885	total: 23.5s	remaining: 1m 32s
101:	learn: 0.0240653	total: 23.6s	remaining: 1m 32s
102:	learn: 0.0240437	total: 23.8s	remaining: 1m 31s
103:	learn: 0.0240221	total: 24s	remaining: 1m 31s
104:	learn: 0.0239970	total: 24.1s	remaining: 1m 30s
105:	learn: 0.0239813	total: 24.3s	remaining: 1m 30s
106:	learn: 0.0239621	total: 24.5s	remaining: 1m 29s
107:	learn: 0.0239418	total: 24.6s	remaining: 1m 29s
108:	learn: 0.0239240	total: 24.8s	remaining: 1m 28s
109:	learn: 0.0239085	total: 24.9s	remaining: 1m 28s
110:	learn: 0.0238912	total: 25.1s	remaining: 1m 27s
111:	learn: 0.0238703	total: 25.3s	remaining: 1m 27s
112:	learn: 0.0238449	total: 25.4s	remaining: 1m 27s
113:	learn: 0.0238217	total: 25.6s	remaining: 1m 26s
114:	learn: 0.0238000	total: 25.8s	remaining: 1m 26s
115:	learn: 0.0237809	total: 26s	remaining: 1m 25s
116:	learn: 0.0237576	total: 26.1s	remaining: 1m 25s
117:	learn: 0.0237344	total: 26.3s	remaining: 1m 25s
118:	learn: 0.0237125	total: 26.5s	remaining: 1m 24s
119:	learn: 0.0236872	total: 26.6s	remaining: 1m 24s
120:	learn: 0.0236691	total: 26.8s	remaining: 1m 23s
121:	learn: 0.0236468	total: 27s	remaining: 1m 23s
122:	learn: 0.0236239	total: 27.2s	remaining: 1m 23s
123:	learn: 0.0236069	total: 27.3s	remaining: 1m 22s
124:	learn: 0.0235881	total: 27.5s	remaining: 1m 22s
125:	learn: 0.0235695	total: 27.6s	remaining: 1m 22s
126:	learn: 0.0235524	total: 27.8s	remaining: 1m 21s
127:	learn: 0.0235386	total: 28s	remaining: 1m 21s
128:	learn: 0.0235174	total: 28.1s	remaining: 1m 20s
129:	learn: 0.0235016	total: 28.3s	remaining: 1m 20s
130:	learn: 0.0234867	total: 28.5s	remaining: 1m 20s
131:	learn: 0.0234662	total: 28.6s	remaining: 1m 19s
132:	learn: 0.0234513	total: 28.8s	remaining: 1m 19s
133:	learn: 0.0234361	total: 28.9s	remaining: 1m 19s
134:	learn: 0.0234199	total: 29.1s	remaining: 1m 18s
135:	learn: 0.0234011	total: 29.2s	remaining: 1m 18s
136:	learn: 0.0233828	total: 29.4s	remaining: 1m 17s
137:	learn: 0.0233666	total: 29.6s	remaining: 1m 17s
138:	learn: 0.0233473	total: 29.8s	remaining: 1m 17s
139:	learn: 0.0233276	total: 29.9s	remaining: 1m 16s
140:	learn: 0.0233077	total: 30.1s	remaining: 1m 16s
141:	learn: 0.0232878	total: 30.2s	remaining: 1m 16s
142:	learn: 0.0232717	total: 30.4s	remaining: 1m 15s
143:	learn: 0.0232558	total: 30.5s	remaining: 1m 15s
144:	learn: 0.0232410	total: 30.7s	remaining: 1m 15s
145:	learn: 0.0232258	total: 30.8s	remaining: 1m 14s
146:	learn: 0.0232125	total: 30.9s	remaining: 1m 14s
147:	learn: 0.0231972	total: 31.1s	remaining: 1m 13s
148:	learn: 0.0231820	total: 31.3s	remaining: 1m 13s
149:	learn: 0.0231680	total: 31.4s	remaining: 1m 13s
150:	learn: 0.0231542	total: 31.5s	remaining: 1m 12s
151:	learn: 0.0231408	total: 31.7s	remaining: 1m 12s
152:	learn: 0.0231286	total: 31.8s	remaining: 1m 12s
153:	learn: 0.0231152	total: 32s	remaining: 1m 11s
154:	learn: 0.0231028	total: 32.2s	remaining: 1m 11s
155:	learn: 0.0230911	total: 32.3s	remaining: 1m 11s
156:	learn: 0.0230788	total: 32.5s	remaining: 1m 10s
157:	learn: 0.0230672	total: 32.6s	remaining: 1m 10s
158:	learn: 0.0230472	total: 32.8s	remaining: 1m 10s
159:	learn: 0.0230272	total: 32.9s	remaining: 1m 10s
160:	learn: 0.0230115	total: 33.1s	remaining: 1m 9s
161:	learn: 0.0229938	total: 33.2s	remaining: 1m 9s
162:	learn: 0.0229771	total: 33.4s	remaining: 1m 9s
163:	learn: 0.0229600	total: 33.5s	remaining: 1m 8s
164:	learn: 0.0229443	total: 33.7s	remaining: 1m 8s
165:	learn: 0.0229290	total: 33.8s	remaining: 1m 8s
166:	learn: 0.0229147	total: 34s	remaining: 1m 7s
167:	learn: 0.0229025	total: 34.1s	remaining: 1m 7s
168:	learn: 0.0228891	total: 34.3s	remaining: 1m 7s
169:	learn: 0.0228748	total: 34.4s	remaining: 1m 6s
170:	learn: 0.0228603	total: 34.5s	remaining: 1m 6s
171:	learn: 0.0228465	total: 34.7s	remaining: 1m 6s
172:	learn: 0.0228290	total: 34.9s	remaining: 1m 5s
173:	learn: 0.0228138	total: 35s	remaining: 1m 5s
174:	learn: 0.0228001	total: 35.2s	remaining: 1m 5s
175:	learn: 0.0227804	total: 35.4s	remaining: 1m 5s
176:	learn: 0.0227610	total: 35.5s	remaining: 1m 4s
177:	learn: 0.0227421	total: 35.7s	remaining: 1m 4s
178:	learn: 0.0227229	total: 35.8s	remaining: 1m 4s
179:	learn: 0.0227065	total: 36s	remaining: 1m 4s
180:	learn: 0.0226875	total: 36.2s	remaining: 1m 3s
181:	learn: 0.0226696	total: 36.3s	remaining: 1m 3s
182:	learn: 0.0226524	total: 36.5s	remaining: 1m 3s
183:	learn: 0.0226372	total: 36.6s	remaining: 1m 2s
184:	learn: 0.0226220	total: 36.9s	remaining: 1m 2s
185:	learn: 0.0226062	total: 37s	remaining: 1m 2s
186:	learn: 0.0225893	total: 37.2s	remaining: 1m 2s
187:	learn: 0.0225733	total: 37.3s	remaining: 1m 1s
188:	learn: 0.0225566	total: 37.5s	remaining: 1m 1s
189:	learn: 0.0225420	total: 37.6s	remaining: 1m 1s
190:	learn: 0.0225285	total: 37.8s	remaining: 1m 1s
191:	learn: 0.0225182	total: 37.9s	remaining: 1m
192:	learn: 0.0225090	total: 38s	remaining: 1m
193:	learn: 0.0224998	total: 38.2s	remaining: 1m
194:	learn: 0.0224892	total: 38.3s	remaining: 59.9s
195:	learn: 0.0224792	total: 38.5s	remaining: 59.7s
196:	learn: 0.0224691	total: 38.6s	remaining: 59.4s
197:	learn: 0.0224592	total: 38.7s	remaining: 59.1s
198:	learn: 0.0224475	total: 38.9s	remaining: 58.8s
199:	learn: 0.0224381	total: 39s	remaining: 58.5s
200:	learn: 0.0224292	total: 39.2s	remaining: 58.3s
201:	learn: 0.0224204	total: 39.3s	remaining: 58s
202:	learn: 0.0224119	total: 39.4s	remaining: 57.7s
203:	learn: 0.0223955	total: 39.6s	remaining: 57.4s
204:	learn: 0.0223759	total: 39.7s	remaining: 57.1s
205:	learn: 0.0223601	total: 39.8s	remaining: 56.9s
206:	learn: 0.0223455	total: 40s	remaining: 56.6s
