100:	learn: 0.2768992	total: 22.4s	remaining: 1m 28s
101:	learn: 0.2755852	total: 22.6s	remaining: 1m 28s
102:	learn: 0.2742949	total: 22.8s	remaining: 1m 27s
103:	learn: 0.2729496	total: 23s	remaining: 1m 27s
104:	learn: 0.2716678	total: 23.3s	remaining: 1m 27s
105:	learn: 0.2703705	total: 23.5s	remaining: 1m 27s
106:	learn: 0.2690767	total: 23.8s	remaining: 1m 27s
107:	learn: 0.2677677	total: 24s	remaining: 1m 27s
108:	learn: 0.2665218	total: 24.2s	remaining: 1m 26s
109:	learn: 0.2652536	total: 24.4s	remaining: 1m 26s
110:	learn: 0.2640169	total: 24.6s	remaining: 1m 26s
111:	learn: 0.2627839	total: 24.8s	remaining: 1m 26s
112:	learn: 0.2615583	total: 25.1s	remaining: 1m 25s
113:	learn: 0.2603696	total: 25.3s	remaining: 1m 25s
114:	learn: 0.2591785	total: 25.5s	remaining: 1m 25s
115:	learn: 0.2579759	total: 25.7s	remaining: 1m 25s
116:	learn: 0.2567706	total: 25.9s	remaining: 1m 24s
117:	learn: 0.2556235	total: 26.1s	remaining: 1m 24s
118:	learn: 0.2544897	total: 26.4s	remaining: 1m 24s
119:	learn: 0.2533656	total: 26.6s	remaining: 1m 24s
120:	learn: 0.2522530	total: 26.8s	remaining: 1m 23s
121:	learn: 0.2511268	total: 27s	remaining: 1m 23s
122:	learn: 0.2500104	total: 27.2s	remaining: 1m 23s
123:	learn: 0.2489328	total: 27.4s	remaining: 1m 23s
124:	learn: 0.2478293	total: 27.7s	remaining: 1m 22s
125:	learn: 0.2467126	total: 27.9s	remaining: 1m 22s
126:	learn: 0.2456518	total: 28.1s	remaining: 1m 22s
127:	learn: 0.2445635	total: 28.3s	remaining: 1m 22s
128:	learn: 0.2434698	total: 28.5s	remaining: 1m 21s
129:	learn: 0.2424082	total: 28.7s	remaining: 1m 21s
130:	learn: 0.2413854	total: 28.9s	remaining: 1m 21s
131:	learn: 0.2403584	total: 29.1s	remaining: 1m 21s
132:	learn: 0.2393109	total: 29.3s	remaining: 1m 20s
133:	learn: 0.2382706	total: 29.5s	remaining: 1m 20s
134:	learn: 0.2372552	total: 29.8s	remaining: 1m 20s
135:	learn: 0.2362285	total: 30s	remaining: 1m 20s
136:	learn: 0.2352294	total: 30.2s	remaining: 1m 19s
137:	learn: 0.2342108	total: 30.4s	remaining: 1m 19s
138:	learn: 0.2332006	total: 30.6s	remaining: 1m 19s
139:	learn: 0.2321590	total: 30.8s	remaining: 1m 19s
140:	learn: 0.2311909	total: 31s	remaining: 1m 18s
141:	learn: 0.2302102	total: 31.2s	remaining: 1m 18s
142:	learn: 0.2292305	total: 31.4s	remaining: 1m 18s
143:	learn: 0.2282764	total: 31.7s	remaining: 1m 18s
144:	learn: 0.2273254	total: 31.9s	remaining: 1m 18s
