104:	learn: 0.0357216	total: 4.25s	remaining: 16s
105:	learn: 0.0355539	total: 4.3s	remaining: 16s
106:	learn: 0.0353871	total: 4.34s	remaining: 16s
107:	learn: 0.0352327	total: 4.38s	remaining: 15.9s
108:	learn: 0.0350832	total: 4.43s	remaining: 15.9s
109:	learn: 0.0349367	total: 4.47s	remaining: 15.9s
110:	learn: 0.0347932	total: 4.52s	remaining: 15.9s
111:	learn: 0.0346607	total: 4.57s	remaining: 15.8s
112:	learn: 0.0345281	total: 4.62s	remaining: 15.8s
113:	learn: 0.0343970	total: 4.67s	remaining: 15.8s
114:	learn: 0.0342734	total: 4.72s	remaining: 15.8s
115:	learn: 0.0341553	total: 4.76s	remaining: 15.8s
116:	learn: 0.0340406	total: 4.81s	remaining: 15.8s
117:	learn: 0.0339326	total: 4.86s	remaining: 15.7s
118:	learn: 0.0338266	total: 4.91s	remaining: 15.7s
119:	learn: 0.0337256	total: 4.96s	remaining: 15.7s
120:	learn: 0.0336251	total: 5s	remaining: 15.7s
121:	learn: 0.0335304	total: 5.05s	remaining: 15.7s
122:	learn: 0.0334411	total: 5.09s	remaining: 15.6s
123:	learn: 0.0333521	total: 5.15s	remaining: 15.6s
124:	learn: 0.0332660	total: 5.2s	remaining: 15.6s
125:	learn: 0.0331827	total: 5.24s	remaining: 15.6s
126:	learn: 0.0331003	total: 5.29s	remaining: 15.5s
127:	learn: 0.0330224	total: 5.34s	remaining: 15.5s
128:	learn: 0.0329495	total: 5.38s	remaining: 15.5s
129:	learn: 0.0328777	total: 5.43s	remaining: 15.5s
130:	learn: 0.0328088	total: 5.48s	remaining: 15.4s
131:	learn: 0.0327406	total: 5.53s	remaining: 15.4s
132:	learn: 0.0326743	total: 5.58s	remaining: 15.4s
133:	learn: 0.0326115	total: 5.63s	remaining: 15.4s
134:	learn: 0.0325480	total: 5.69s	remaining: 15.4s
135:	learn: 0.0324890	total: 5.73s	remaining: 15.3s
136:	learn: 0.0324329	total: 5.78s	remaining: 15.3s
137:	learn: 0.0323776	total: 5.83s	remaining: 15.3s
138:	learn: 0.0323257	total: 5.88s	remaining: 15.3s
139:	learn: 0.0322742	total: 5.92s	remaining: 15.2s
140:	learn: 0.0322248	total: 5.97s	remaining: 15.2s
141:	learn: 0.0321741	total: 6.02s	remaining: 15.2s
142:	learn: 0.0321266	total: 6.07s	remaining: 15.2s
143:	learn: 0.0320812	total: 6.12s	remaining: 15.1s
144:	learn: 0.0320371	total: 6.16s	remaining: 15.1s
145:	learn: 0.0319945	total: 6.21s	remaining: 15s
146:	learn: 0.0319483	total: 6.26s	remaining: 15s
147:	learn: 0.0319074	total: 6.31s	remaining: 15s
148:	learn: 0.0318682	total: 6.35s	remaining: 15s
149:	learn: 0.0318282	total: 6.4s	remaining: 14.9s
150:	learn: 0.0317906	total: 6.45s	remaining: 14.9s
151:	learn: 0.0317540	total: 6.5s	remaining: 14.9s
152:	learn: 0.0317175	total: 6.55s	remaining: 14.9s
153:	learn: 0.0316827	total: 6.6s	remaining: 14.8s
154:	learn: 0.0316491	total: 6.64s	remaining: 14.8s
155:	learn: 0.0316154	total: 6.7s	remaining: 14.8s
156:	learn: 0.0315833	total: 6.75s	remaining: 14.7s
157:	learn: 0.0315519	total: 6.8s	remaining: 14.7s
158:	learn: 0.0315216	total: 6.85s	remaining: 14.7s
159:	learn: 0.0314886	total: 6.91s	remaining: 14.7s
160:	learn: 0.0314582	total: 6.96s	remaining: 14.7s
161:	learn: 0.0314306	total: 7.02s	remaining: 14.6s
162:	learn: 0.0314006	total: 7.07s	remaining: 14.6s
163:	learn: 0.0313741	total: 7.12s	remaining: 14.6s
164:	learn: 0.0313483	total: 7.17s	remaining: 14.6s
165:	learn: 0.0313219	total: 7.21s	remaining: 14.5s
166:	learn: 0.0312979	total: 7.26s	remaining: 14.5s
167:	learn: 0.0312735	total: 7.31s	remaining: 14.5s
168:	learn: 0.0312500	total: 7.37s	remaining: 14.4s
