Default metric period is 5 because NDCG is/are not implemented for GPU
Metric NDCG:type=Base is not implemented on GPU. Will use CPU for metric computation, this could significantly affect learning time
Metric NDCG:type=Base is not implemented on GPU. Will use CPU for metric computation, this could significantly affect learning time
0:	total: 136ms	remaining: 1m 7s
1:	total: 266ms	remaining: 1m 6s
2:	total: 388ms	remaining: 1m 4s
3:	total: 511ms	remaining: 1m 3s
4:	total: 632ms	remaining: 1m 2s
5:	total: 757ms	remaining: 1m 2s
6:	total: 877ms	remaining: 1m 1s
7:	total: 1.01s	remaining: 1m 2s
8:	total: 1.14s	remaining: 1m 2s
9:	total: 1.28s	remaining: 1m 2s
10:	total: 1.4s	remaining: 1m 2s
11:	total: 1.52s	remaining: 1m 1s
12:	total: 1.64s	remaining: 1m 1s
13:	total: 1.77s	remaining: 1m 1s
14:	total: 1.9s	remaining: 1m 1s
15:	total: 2.02s	remaining: 1m 1s
16:	total: 2.14s	remaining: 1m
17:	total: 2.27s	remaining: 1m
18:	total: 2.39s	remaining: 1m
19:	total: 2.52s	remaining: 1m
20:	total: 2.66s	remaining: 1m
21:	total: 2.79s	remaining: 1m
22:	total: 2.91s	remaining: 1m
23:	total: 3.04s	remaining: 1m
24:	total: 3.17s	remaining: 1m
25:	total: 3.3s	remaining: 1m
26:	total: 3.43s	remaining: 1m
27:	total: 3.55s	remaining: 59.9s
28:	total: 3.68s	remaining: 59.8s
29:	total: 3.81s	remaining: 59.7s
30:	total: 3.93s	remaining: 59.4s
31:	total: 4.06s	remaining: 59.4s
32:	total: 4.18s	remaining: 59.2s
33:	total: 4.31s	remaining: 59s
34:	total: 4.46s	remaining: 59.3s
35:	total: 4.59s	remaining: 59.2s
36:	total: 4.71s	remaining: 59s
37:	total: 4.84s	remaining: 58.9s
38:	total: 4.97s	remaining: 58.7s
39:	total: 5.09s	remaining: 58.5s
40:	total: 5.22s	remaining: 58.4s
41:	total: 5.34s	remaining: 58.3s
42:	total: 5.47s	remaining: 58.2s
43:	total: 5.59s	remaining: 57.9s
44:	total: 5.71s	remaining: 57.8s
45:	total: 5.84s	remaining: 57.6s
46:	total: 6s	remaining: 57.8s
47:	total: 6.12s	remaining: 57.6s
48:	total: 6.24s	remaining: 57.4s
49:	total: 6.36s	remaining: 57.3s
50:	total: 6.49s	remaining: 57.1s
51:	total: 6.61s	remaining: 56.9s
52:	total: 6.73s	remaining: 56.7s
53:	total: 6.85s	remaining: 56.6s
54:	total: 6.97s	remaining: 56.4s
55:	total: 7.09s	remaining: 56.2s
56:	total: 7.24s	remaining: 56.3s
57:	total: 7.38s	remaining: 56.2s
58:	total: 7.5s	remaining: 56.1s
59:	total: 7.65s	remaining: 56.1s
60:	total: 7.79s	remaining: 56s
61:	total: 7.91s	remaining: 55.9s
62:	total: 8.03s	remaining: 55.7s
63:	total: 8.14s	remaining: 55.5s
64:	total: 8.27s	remaining: 55.3s
65:	total: 8.39s	remaining: 55.2s
66:	total: 8.51s	remaining: 55s
67:	total: 8.63s	remaining: 54.8s
68:	total: 8.75s	remaining: 54.7s
69:	total: 8.87s	remaining: 54.5s
70:	total: 8.98s	remaining: 54.3s
71:	total: 9.1s	remaining: 54.1s
72:	total: 9.22s	remaining: 53.9s
73:	total: 9.34s	remaining: 53.8s
74:	total: 9.46s	remaining: 53.6s
75:	total: 9.58s	remaining: 53.4s
76:	total: 9.7s	remaining: 53.3s
77:	total: 9.83s	remaining: 53.2s
78:	total: 10s	remaining: 53.3s
79:	total: 10.1s	remaining: 53.2s
80:	total: 10.2s	remaining: 53s
81:	total: 10.4s	remaining: 52.9s
82:	total: 10.5s	remaining: 52.7s
83:	total: 10.6s	remaining: 52.6s
84:	total: 10.8s	remaining: 52.5s
85:	total: 10.9s	remaining: 52.4s
86:	total: 11s	remaining: 52.2s
87:	total: 11.1s	remaining: 52.1s
88:	total: 11.3s	remaining: 52s
89:	total: 11.4s	remaining: 51.9s
90:	total: 11.5s	remaining: 51.7s
91:	total: 11.6s	remaining: 51.6s
92:	total: 11.8s	remaining: 51.5s
93:	total: 11.9s	remaining: 51.4s
94:	total: 12s	remaining: 51.3s
95:	total: 12.2s	remaining: 51.2s
96:	total: 12.3s	remaining: 51s
97:	total: 12.4s	remaining: 51s
98:	total: 12.6s	remaining: 50.9s
99:	total: 12.7s	remaining: 50.8s
100:	total: 12.8s	remaining: 50.7s
101:	total: 13s	remaining: 50.6s
102:	total: 13.1s	remaining: 50.5s
103:	total: 13.2s	remaining: 50.3s
104:	total: 13.3s	remaining: 50.2s
105:	total: 13.5s	remaining: 50.1s
106:	total: 13.6s	remaining: 49.9s
107:	total: 13.7s	remaining: 49.8s
108:	total: 13.9s	remaining: 49.7s
109:	total: 14s	remaining: 49.6s
110:	total: 14.1s	remaining: 49.5s
111:	total: 14.2s	remaining: 49.3s
112:	total: 14.4s	remaining: 49.2s
113:	total: 14.5s	remaining: 49.1s
114:	total: 14.6s	remaining: 48.9s
115:	total: 14.7s	remaining: 48.8s
116:	total: 14.9s	remaining: 48.7s
117:	total: 15s	remaining: 48.5s
118:	total: 15.1s	remaining: 48.4s
119:	total: 15.2s	remaining: 48.2s
120:	total: 15.4s	remaining: 48.1s
121:	total: 15.5s	remaining: 48s
122:	total: 15.6s	remaining: 47.9s
123:	total: 15.8s	remaining: 47.8s
124:	total: 15.9s	remaining: 47.6s
125:	total: 16s	remaining: 47.5s
126:	total: 16.1s	remaining: 47.3s
127:	total: 16.2s	remaining: 47.2s
128:	total: 16.4s	remaining: 47s
129:	total: 16.5s	remaining: 46.9s
130:	total: 16.6s	remaining: 46.7s
131:	total: 16.7s	remaining: 46.7s
132:	total: 16.9s	remaining: 46.5s
133:	total: 17s	remaining: 46.4s
134:	total: 17.1s	remaining: 46.2s
135:	total: 17.2s	remaining: 46.1s
136:	total: 17.3s	remaining: 45.9s
137:	total: 17.4s	remaining: 45.8s
138:	total: 17.6s	remaining: 45.6s
139:	total: 17.7s	remaining: 45.5s
140:	total: 17.8s	remaining: 45.4s
141:	total: 17.9s	remaining: 45.2s
142:	total: 18.1s	remaining: 45.1s
143:	total: 18.2s	remaining: 45s
