0:	learn: 0.6695827	total: 252ms	remaining: 2m 5s
1:	learn: 0.6495905	total: 481ms	remaining: 1m 59s
2:	learn: 0.6321175	total: 718ms	remaining: 1m 58s
3:	learn: 0.6165864	total: 946ms	remaining: 1m 57s
4:	learn: 0.6026833	total: 1.17s	remaining: 1m 55s
5:	learn: 0.5900991	total: 1.38s	remaining: 1m 54s
6:	learn: 0.5777072	total: 1.61s	remaining: 1m 53s
7:	learn: 0.5672193	total: 1.83s	remaining: 1m 52s
8:	learn: 0.5576279	total: 2.07s	remaining: 1m 52s
9:	learn: 0.5482177	total: 2.3s	remaining: 1m 52s
10:	learn: 0.5390963	total: 2.54s	remaining: 1m 52s
11:	learn: 0.5309454	total: 2.77s	remaining: 1m 52s
12:	learn: 0.5230797	total: 3s	remaining: 1m 52s
13:	learn: 0.5155019	total: 3.22s	remaining: 1m 51s
14:	learn: 0.5086238	total: 3.47s	remaining: 1m 52s
15:	learn: 0.5021217	total: 3.7s	remaining: 1m 51s
16:	learn: 0.4958250	total: 3.94s	remaining: 1m 51s
17:	learn: 0.4896231	total: 4.16s	remaining: 1m 51s
18:	learn: 0.4839861	total: 4.37s	remaining: 1m 50s
19:	learn: 0.4785630	total: 4.59s	remaining: 1m 50s
20:	learn: 0.4734055	total: 4.82s	remaining: 1m 49s
21:	learn: 0.4683186	total: 5.04s	remaining: 1m 49s
22:	learn: 0.4635345	total: 5.25s	remaining: 1m 48s
23:	learn: 0.4585780	total: 5.48s	remaining: 1m 48s
24:	learn: 0.4537266	total: 5.71s	remaining: 1m 48s
25:	learn: 0.4493198	total: 5.95s	remaining: 1m 48s
26:	learn: 0.4450269	total: 6.17s	remaining: 1m 48s
27:	learn: 0.4407950	total: 6.39s	remaining: 1m 47s
28:	learn: 0.4364361	total: 6.61s	remaining: 1m 47s
29:	learn: 0.4324391	total: 6.83s	remaining: 1m 46s
30:	learn: 0.4284730	total: 7.04s	remaining: 1m 46s
31:	learn: 0.4247415	total: 7.25s	remaining: 1m 45s
32:	learn: 0.4210698	total: 7.46s	remaining: 1m 45s
33:	learn: 0.4173968	total: 7.68s	remaining: 1m 45s
34:	learn: 0.4138210	total: 7.9s	remaining: 1m 44s
35:	learn: 0.4103506	total: 8.12s	remaining: 1m 44s
36:	learn: 0.4069139	total: 8.34s	remaining: 1m 44s
37:	learn: 0.4035981	total: 8.56s	remaining: 1m 44s
38:	learn: 0.4004977	total: 8.78s	remaining: 1m 43s
