Default metric period is 5 because NDCG is/are not implemented for GPU
Metric NDCG:type=Base is not implemented on GPU. Will use CPU for metric computation, this could significantly affect learning time
Metric NDCG:type=Base is not implemented on GPU. Will use CPU for metric computation, this could significantly affect learning time
147:	total: 18.6s	remaining: 44.2s
148:	total: 18.7s	remaining: 44.1s
149:	total: 18.8s	remaining: 43.9s
150:	total: 19s	remaining: 43.8s
151:	total: 19.1s	remaining: 43.7s
152:	total: 19.2s	remaining: 43.5s
153:	total: 19.3s	remaining: 43.4s
154:	total: 19.4s	remaining: 43.3s
155:	total: 19.6s	remaining: 43.2s
156:	total: 19.7s	remaining: 43.1s
157:	total: 19.8s	remaining: 42.9s
158:	total: 19.9s	remaining: 42.8s
159:	total: 20.1s	remaining: 42.6s
160:	total: 20.2s	remaining: 42.5s
161:	total: 20.3s	remaining: 42.4s
162:	total: 20.4s	remaining: 42.2s
163:	total: 20.5s	remaining: 42.1s
164:	total: 20.7s	remaining: 41.9s
165:	total: 20.8s	remaining: 41.8s
166:	total: 20.9s	remaining: 41.7s
167:	total: 21s	remaining: 41.5s
168:	total: 21.1s	remaining: 41.4s
169:	total: 21.3s	remaining: 41.3s
170:	total: 21.4s	remaining: 41.1s
171:	total: 21.5s	remaining: 41s
172:	total: 21.6s	remaining: 40.8s
173:	total: 21.7s	remaining: 40.7s
174:	total: 21.8s	remaining: 40.6s
175:	total: 22s	remaining: 40.4s
176:	total: 22.1s	remaining: 40.3s
177:	total: 22.2s	remaining: 40.2s
178:	total: 22.3s	remaining: 40s
179:	total: 22.5s	remaining: 39.9s
180:	total: 22.6s	remaining: 39.8s
181:	total: 22.7s	remaining: 39.7s
182:	total: 22.8s	remaining: 39.5s
183:	total: 22.9s	remaining: 39.4s
184:	total: 23.1s	remaining: 39.3s
185:	total: 23.2s	remaining: 39.1s
186:	total: 23.3s	remaining: 39s
187:	total: 23.4s	remaining: 38.9s
188:	total: 23.6s	remaining: 38.8s
189:	total: 23.7s	remaining: 38.7s
190:	total: 23.8s	remaining: 38.5s
191:	total: 23.9s	remaining: 38.4s
192:	total: 24.1s	remaining: 38.3s
193:	total: 24.2s	remaining: 38.1s
194:	total: 24.3s	remaining: 38s
195:	total: 24.4s	remaining: 37.9s
196:	total: 24.5s	remaining: 37.7s
197:	total: 24.7s	remaining: 37.6s
198:	total: 24.8s	remaining: 37.5s
199:	total: 24.9s	remaining: 37.3s
200:	total: 25s	remaining: 37.2s
201:	total: 25.1s	remaining: 37.1s
202:	total: 25.2s	remaining: 36.9s
203:	total: 25.4s	remaining: 36.8s
204:	total: 25.5s	remaining: 36.7s
205:	total: 25.6s	remaining: 36.5s
206:	total: 25.7s	remaining: 36.4s
207:	total: 25.8s	remaining: 36.3s
208:	total: 26s	remaining: 36.1s
209:	total: 26.1s	remaining: 36s
210:	total: 26.2s	remaining: 35.9s
211:	total: 26.3s	remaining: 35.8s
212:	total: 26.4s	remaining: 35.6s
213:	total: 26.6s	remaining: 35.5s
214:	total: 26.7s	remaining: 35.4s
215:	total: 26.8s	remaining: 35.2s
216:	total: 26.9s	remaining: 35.1s
217:	total: 27s	remaining: 34.9s
218:	total: 27.1s	remaining: 34.8s
219:	total: 27.3s	remaining: 34.7s
220:	total: 27.4s	remaining: 34.6s
221:	total: 27.5s	remaining: 34.4s
222:	total: 27.6s	remaining: 34.3s
223:	total: 27.7s	remaining: 34.1s
224:	total: 27.8s	remaining: 34s
225:	total: 27.9s	remaining: 33.9s
226:	total: 28.1s	remaining: 33.7s
227:	total: 28.2s	remaining: 33.6s
228:	total: 28.3s	remaining: 33.5s
229:	total: 28.4s	remaining: 33.3s
230:	total: 28.5s	remaining: 33.2s
231:	total: 28.6s	remaining: 33.1s
232:	total: 28.8s	remaining: 33s
233:	total: 28.9s	remaining: 32.8s
234:	total: 29s	remaining: 32.7s
235:	total: 29.1s	remaining: 32.6s
236:	total: 29.2s	remaining: 32.5s
237:	total: 29.4s	remaining: 32.3s
238:	total: 29.5s	remaining: 32.2s
239:	total: 29.6s	remaining: 32.1s
240:	total: 29.7s	remaining: 31.9s
241:	total: 29.8s	remaining: 31.8s
242:	total: 29.9s	remaining: 31.7s
243:	total: 30.1s	remaining: 31.5s
244:	total: 30.2s	remaining: 31.4s
245:	total: 30.3s	remaining: 31.3s
246:	total: 30.4s	remaining: 31.2s
247:	total: 30.6s	remaining: 31.1s
248:	total: 30.7s	remaining: 30.9s
249:	total: 30.8s	remaining: 30.8s
250:	total: 30.9s	remaining: 30.7s
251:	total: 31s	remaining: 30.5s
252:	total: 31.1s	remaining: 30.4s
253:	total: 31.2s	remaining: 30.3s
254:	total: 31.4s	remaining: 30.1s
255:	total: 31.6s	remaining: 30.1s
256:	total: 31.7s	remaining: 30s
257:	total: 31.8s	remaining: 29.8s
258:	total: 31.9s	remaining: 29.7s
259:	total: 32s	remaining: 29.6s
260:	total: 32.2s	remaining: 29.4s
