100:	learn: 0.4986845	total: 15.4s	remaining: 1m
101:	learn: 0.4984668	total: 15.5s	remaining: 1m
102:	learn: 0.4983061	total: 15.7s	remaining: 1m
103:	learn: 0.4981542	total: 15.8s	remaining: 1m
104:	learn: 0.4979270	total: 16s	remaining: 1m
105:	learn: 0.4977521	total: 16.1s	remaining: 59.9s
106:	learn: 0.4976061	total: 16.2s	remaining: 59.6s
107:	learn: 0.4974616	total: 16.4s	remaining: 59.5s
108:	learn: 0.4972383	total: 16.6s	remaining: 59.4s
109:	learn: 0.4970615	total: 16.7s	remaining: 59.2s
110:	learn: 0.4969435	total: 16.9s	remaining: 59.1s
111:	learn: 0.4967525	total: 17s	remaining: 58.9s
112:	learn: 0.4966056	total: 17.1s	remaining: 58.7s
113:	learn: 0.4964791	total: 17.3s	remaining: 58.5s
114:	learn: 0.4962831	total: 17.5s	remaining: 58.4s
115:	learn: 0.4960845	total: 17.6s	remaining: 58.3s
116:	learn: 0.4959133	total: 17.7s	remaining: 58.1s
117:	learn: 0.4957632	total: 17.9s	remaining: 57.9s
118:	learn: 0.4956374	total: 18s	remaining: 57.7s
119:	learn: 0.4954888	total: 18.1s	remaining: 57.4s
120:	learn: 0.4953753	total: 18.3s	remaining: 57.2s
121:	learn: 0.4952379	total: 18.4s	remaining: 57s
122:	learn: 0.4951052	total: 18.6s	remaining: 57s
123:	learn: 0.4949170	total: 18.7s	remaining: 56.8s
124:	learn: 0.4947822	total: 18.9s	remaining: 56.6s
125:	learn: 0.4946306	total: 19s	remaining: 56.4s
126:	learn: 0.4944404	total: 19.2s	remaining: 56.3s
127:	learn: 0.4943400	total: 19.3s	remaining: 56.1s
128:	learn: 0.4941512	total: 19.4s	remaining: 55.9s
129:	learn: 0.4940361	total: 19.6s	remaining: 55.7s
130:	learn: 0.4938871	total: 19.8s	remaining: 55.6s
131:	learn: 0.4937796	total: 19.9s	remaining: 55.4s
132:	learn: 0.4936685	total: 20s	remaining: 55.2s
133:	learn: 0.4935361	total: 20.1s	remaining: 55s
134:	learn: 0.4934420	total: 20.3s	remaining: 54.8s
135:	learn: 0.4933552	total: 20.4s	remaining: 54.5s
136:	learn: 0.4932430	total: 20.5s	remaining: 54.3s
137:	learn: 0.4931038	total: 20.7s	remaining: 54.2s
138:	learn: 0.4929443	total: 20.8s	remaining: 54s
139:	learn: 0.4927953	total: 20.9s	remaining: 53.8s
140:	learn: 0.4926598	total: 21.1s	remaining: 53.6s
141:	learn: 0.4925694	total: 21.2s	remaining: 53.4s
142:	learn: 0.4924544	total: 21.3s	remaining: 53.3s
143:	learn: 0.4922904	total: 21.5s	remaining: 53.1s
144:	learn: 0.4921870	total: 21.6s	remaining: 52.9s
145:	learn: 0.4920900	total: 21.7s	remaining: 52.7s
146:	learn: 0.4919919	total: 21.9s	remaining: 52.5s
147:	learn: 0.4919059	total: 22s	remaining: 52.3s
148:	learn: 0.4917491	total: 22.1s	remaining: 52.1s
149:	learn: 0.4916933	total: 22.2s	remaining: 51.9s
150:	learn: 0.4915713	total: 22.4s	remaining: 51.7s
151:	learn: 0.4914842	total: 22.5s	remaining: 51.5s
152:	learn: 0.4913764	total: 22.7s	remaining: 51.4s
153:	learn: 0.4912490	total: 22.8s	remaining: 51.2s
154:	learn: 0.4911549	total: 22.9s	remaining: 51s
155:	learn: 0.4910546	total: 23.1s	remaining: 50.8s
156:	learn: 0.4909560	total: 23.2s	remaining: 50.6s
157:	learn: 0.4908477	total: 23.3s	remaining: 50.5s
158:	learn: 0.4907641	total: 23.4s	remaining: 50.3s
159:	learn: 0.4906696	total: 23.6s	remaining: 50.1s
160:	learn: 0.4905347	total: 23.7s	remaining: 49.9s
161:	learn: 0.4904542	total: 23.8s	remaining: 49.7s
162:	learn: 0.4903647	total: 24s	remaining: 49.6s
163:	learn: 0.4902875	total: 24.1s	remaining: 49.4s
164:	learn: 0.4902134	total: 24.2s	remaining: 49.2s
165:	learn: 0.4901077	total: 24.4s	remaining: 49s
166:	learn: 0.4900351	total: 24.5s	remaining: 48.8s
167:	learn: 0.4899248	total: 24.6s	remaining: 48.6s
168:	learn: 0.4898472	total: 24.7s	remaining: 48.4s
169:	learn: 0.4897935	total: 24.8s	remaining: 48.2s
170:	learn: 0.4897256	total: 24.9s	remaining: 48s
171:	learn: 0.4896114	total: 25.1s	remaining: 47.8s
172:	learn: 0.4895326	total: 25.2s	remaining: 47.7s
173:	learn: 0.4894417	total: 25.3s	remaining: 47.5s
174:	learn: 0.4893586	total: 25.5s	remaining: 47.3s
175:	learn: 0.4892990	total: 25.6s	remaining: 47.1s
176:	learn: 0.4891862	total: 25.7s	remaining: 46.9s
177:	learn: 0.4891174	total: 25.8s	remaining: 46.7s
178:	learn: 0.4890402	total: 25.9s	remaining: 46.5s
179:	learn: 0.4889799	total: 26s	remaining: 46.3s
180:	learn: 0.4889088	total: 26.2s	remaining: 46.1s
181:	learn: 0.4888340	total: 26.3s	remaining: 45.9s
182:	learn: 0.4887676	total: 26.4s	remaining: 45.8s
183:	learn: 0.4887297	total: 26.5s	remaining: 45.6s
184:	learn: 0.4886774	total: 26.7s	remaining: 45.4s
185:	learn: 0.4885969	total: 26.8s	remaining: 45.2s
186:	learn: 0.4885287	total: 26.9s	remaining: 45s
187:	learn: 0.4884604	total: 27s	remaining: 44.8s
188:	learn: 0.4884254	total: 27.1s	remaining: 44.6s
189:	learn: 0.4883792	total: 27.2s	remaining: 44.4s
190:	learn: 0.4883072	total: 27.3s	remaining: 44.2s
191:	learn: 0.4882698	total: 27.4s	remaining: 43.9s
192:	learn: 0.4881613	total: 27.5s	remaining: 43.8s
193:	learn: 0.4880763	total: 27.7s	remaining: 43.7s
194:	learn: 0.4880046	total: 27.9s	remaining: 43.6s
195:	learn: 0.4879250	total: 28s	remaining: 43.4s
196:	learn: 0.4878608	total: 28.1s	remaining: 43.2s
197:	learn: 0.4878269	total: 28.2s	remaining: 43s
198:	learn: 0.4877402	total: 28.3s	remaining: 42.8s
199:	learn: 0.4876585	total: 28.4s	remaining: 42.6s
200:	learn: 0.4876132	total: 28.5s	remaining: 42.4s
201:	learn: 0.4875190	total: 28.7s	remaining: 42.3s
202:	learn: 0.4874452	total: 28.8s	remaining: 42.1s
203:	learn: 0.4873892	total: 28.9s	remaining: 41.9s
204:	learn: 0.4873498	total: 29s	remaining: 41.7s
205:	learn: 0.4873144	total: 29.1s	remaining: 41.5s
206:	learn: 0.4872435	total: 29.2s	remaining: 41.3s
207:	learn: 0.4872115	total: 29.3s	remaining: 41.1s
208:	learn: 0.4871796	total: 29.4s	remaining: 40.9s
209:	learn: 0.4870881	total: 29.5s	remaining: 40.7s
210:	learn: 0.4870081	total: 29.6s	remaining: 40.5s
211:	learn: 0.4868358	total: 29.7s	remaining: 40.4s
212:	learn: 0.4867622	total: 29.9s	remaining: 40.2s
213:	learn: 0.4866791	total: 30s	remaining: 40.1s
214:	learn: 0.4866257	total: 30.1s	remaining: 39.9s
215:	learn: 0.4865293	total: 30.2s	remaining: 39.7s
216:	learn: 0.4864988	total: 30.3s	remaining: 39.5s
217:	learn: 0.4864192	total: 30.4s	remaining: 39.3s
218:	learn: 0.4863500	total: 30.5s	remaining: 39.2s
219:	learn: 0.4862540	total: 30.6s	remaining: 39s
220:	learn: 0.4862149	total: 30.7s	remaining: 38.8s
221:	learn: 0.4861765	total: 30.8s	remaining: 38.6s
222:	learn: 0.4861201	total: 30.9s	remaining: 38.4s
223:	learn: 0.4860870	total: 31s	remaining: 38.2s
224:	learn: 0.4860461	total: 31.1s	remaining: 38.1s
225:	learn: 0.4860097	total: 31.2s	remaining: 37.9s
226:	learn: 0.4859653	total: 31.3s	remaining: 37.7s
227:	learn: 0.4858860	total: 31.5s	remaining: 37.5s
228:	learn: 0.4858005	total: 31.6s	remaining: 37.4s
229:	learn: 0.4856820	total: 31.8s	remaining: 37.3s
230:	learn: 0.4855871	total: 31.9s	remaining: 37.1s
231:	learn: 0.4855363	total: 32s	remaining: 37s
232:	learn: 0.4854818	total: 32.1s	remaining: 36.8s
233:	learn: 0.4854509	total: 32.2s	remaining: 36.6s
234:	learn: 0.4854276	total: 32.3s	remaining: 36.4s
235:	learn: 0.4853904	total: 32.4s	remaining: 36.2s
236:	learn: 0.4853126	total: 32.5s	remaining: 36s
237:	learn: 0.4852699	total: 32.6s	remaining: 35.9s
238:	learn: 0.4852075	total: 32.7s	remaining: 35.7s
239:	learn: 0.4851736	total: 32.8s	remaining: 35.5s
240:	learn: 0.4851262	total: 32.9s	remaining: 35.3s
241:	learn: 0.4850542	total: 33s	remaining: 35.2s
242:	learn: 0.4849869	total: 33.1s	remaining: 35.1s
243:	learn: 0.4849584	total: 33.2s	remaining: 34.9s
244:	learn: 0.4848830	total: 33.4s	remaining: 34.7s
245:	learn: 0.4848465	total: 33.4s	remaining: 34.5s
246:	learn: 0.4847833	total: 33.6s	remaining: 34.4s
247:	learn: 0.4847468	total: 33.7s	remaining: 34.2s
248:	learn: 0.4845518	total: 33.8s	remaining: 34.1s
249:	learn: 0.4845132	total: 33.9s	remaining: 33.9s
250:	learn: 0.4844776	total: 34s	remaining: 33.7s
251:	learn: 0.4844482	total: 34.1s	remaining: 33.5s
252:	learn: 0.4843998	total: 34.2s	remaining: 33.4s
253:	learn: 0.4843638	total: 34.3s	remaining: 33.2s
254:	learn: 0.4843384	total: 34.3s	remaining: 33s
255:	learn: 0.4843043	total: 34.4s	remaining: 32.8s
256:	learn: 0.4842392	total: 34.5s	remaining: 32.7s
257:	learn: 0.4841782	total: 34.7s	remaining: 32.5s
258:	learn: 0.4841096	total: 34.8s	remaining: 32.4s
259:	learn: 0.4840246	total: 34.9s	remaining: 32.2s
260:	learn: 0.4839883	total: 35s	remaining: 32s
261:	learn: 0.4839434	total: 35.1s	remaining: 31.9s
262:	learn: 0.4838792	total: 35.2s	remaining: 31.7s
263:	learn: 0.4838282	total: 35.3s	remaining: 31.6s
264:	learn: 0.4837969	total: 35.4s	remaining: 31.4s
265:	learn: 0.4837615	total: 35.5s	remaining: 31.2s
266:	learn: 0.4837377	total: 35.6s	remaining: 31s
267:	learn: 0.4836885	total: 35.7s	remaining: 30.9s
268:	learn: 0.4835931	total: 35.8s	remaining: 30.8s
269:	learn: 0.4834707	total: 36s	remaining: 30.6s
270:	learn: 0.4834129	total: 36.1s	remaining: 30.5s
271:	learn: 0.4833794	total: 36.2s	remaining: 30.3s
