0:	learn: 0.6694880	total: 248ms	remaining: 2m 3s
1:	learn: 0.6493306	total: 481ms	remaining: 1m 59s
2:	learn: 0.6318322	total: 706ms	remaining: 1m 56s
3:	learn: 0.6163341	total: 936ms	remaining: 1m 56s
4:	learn: 0.6024566	total: 1.16s	remaining: 1m 54s
5:	learn: 0.5896796	total: 1.38s	remaining: 1m 53s
6:	learn: 0.5775387	total: 1.6s	remaining: 1m 52s
7:	learn: 0.5669593	total: 1.83s	remaining: 1m 52s
8:	learn: 0.5569179	total: 2.04s	remaining: 1m 51s
9:	learn: 0.5475051	total: 2.27s	remaining: 1m 51s
10:	learn: 0.5390774	total: 2.5s	remaining: 1m 51s
11:	learn: 0.5305073	total: 2.72s	remaining: 1m 50s
12:	learn: 0.5225311	total: 2.94s	remaining: 1m 50s
13:	learn: 0.5153698	total: 3.17s	remaining: 1m 50s
14:	learn: 0.5082954	total: 3.4s	remaining: 1m 49s
15:	learn: 0.5018730	total: 3.62s	remaining: 1m 49s
16:	learn: 0.4956919	total: 3.84s	remaining: 1m 49s
17:	learn: 0.4894932	total: 4.07s	remaining: 1m 49s
18:	learn: 0.4839040	total: 4.3s	remaining: 1m 48s
19:	learn: 0.4784818	total: 4.52s	remaining: 1m 48s
20:	learn: 0.4733527	total: 4.75s	remaining: 1m 48s
21:	learn: 0.4680385	total: 4.97s	remaining: 1m 48s
22:	learn: 0.4629630	total: 5.19s	remaining: 1m 47s
23:	learn: 0.4581587	total: 5.41s	remaining: 1m 47s
24:	learn: 0.4535142	total: 5.65s	remaining: 1m 47s
25:	learn: 0.4488752	total: 5.87s	remaining: 1m 47s
26:	learn: 0.4443638	total: 6.09s	remaining: 1m 46s
27:	learn: 0.4401166	total: 6.32s	remaining: 1m 46s
28:	learn: 0.4359762	total: 6.55s	remaining: 1m 46s
29:	learn: 0.4320153	total: 6.77s	remaining: 1m 46s
30:	learn: 0.4280589	total: 6.99s	remaining: 1m 45s
31:	learn: 0.4243768	total: 7.21s	remaining: 1m 45s
32:	learn: 0.4207804	total: 7.43s	remaining: 1m 45s
33:	learn: 0.4171525	total: 7.66s	remaining: 1m 44s
34:	learn: 0.4135884	total: 8.02s	remaining: 1m 46s
35:	learn: 0.4101630	total: 8.26s	remaining: 1m 46s
36:	learn: 0.4068255	total: 8.49s	remaining: 1m 46s
37:	learn: 0.4037355	total: 8.71s	remaining: 1m 45s
38:	learn: 0.4005302	total: 8.93s	remaining: 1m 45s
39:	learn: 0.3972896	total: 9.15s	remaining: 1m 45s
40:	learn: 0.3941088	total: 9.37s	remaining: 1m 44s
41:	learn: 0.3911711	total: 9.6s	remaining: 1m 44s
42:	learn: 0.3882847	total: 9.82s	remaining: 1m 44s
43:	learn: 0.3854516	total: 10s	remaining: 1m 44s
44:	learn: 0.3825361	total: 10.3s	remaining: 1m 43s
45:	learn: 0.3797136	total: 10.5s	remaining: 1m 43s
46:	learn: 0.3771052	total: 10.7s	remaining: 1m 43s
47:	learn: 0.3744834	total: 10.9s	remaining: 1m 42s
48:	learn: 0.3718759	total: 11.1s	remaining: 1m 42s
49:	learn: 0.3693163	total: 11.4s	remaining: 1m 42s
50:	learn: 0.3668056	total: 11.6s	remaining: 1m 41s
51:	learn: 0.3643627	total: 11.8s	remaining: 1m 41s
52:	learn: 0.3619143	total: 12s	remaining: 1m 41s
53:	learn: 0.3595326	total: 12.2s	remaining: 1m 40s
54:	learn: 0.3572164	total: 12.4s	remaining: 1m 40s
55:	learn: 0.3548686	total: 12.7s	remaining: 1m 40s
56:	learn: 0.3525750	total: 12.9s	remaining: 1m 40s
57:	learn: 0.3503713	total: 13.1s	remaining: 1m 39s
58:	learn: 0.3481063	total: 13.3s	remaining: 1m 39s
59:	learn: 0.3460076	total: 13.5s	remaining: 1m 39s
60:	learn: 0.3438236	total: 13.8s	remaining: 1m 39s
61:	learn: 0.3417507	total: 14s	remaining: 1m 38s
62:	learn: 0.3396547	total: 14.2s	remaining: 1m 38s
63:	learn: 0.3376563	total: 14.5s	remaining: 1m 38s
64:	learn: 0.3355350	total: 14.7s	remaining: 1m 38s
65:	learn: 0.3334827	total: 14.9s	remaining: 1m 37s
66:	learn: 0.3314873	total: 15.1s	remaining: 1m 37s
67:	learn: 0.3295832	total: 15.3s	remaining: 1m 37s
68:	learn: 0.3276190	total: 15.6s	remaining: 1m 37s
69:	learn: 0.3257239	total: 15.8s	remaining: 1m 36s
70:	learn: 0.3238783	total: 16s	remaining: 1m 36s
71:	learn: 0.3220155	total: 16.2s	remaining: 1m 36s
72:	learn: 0.3202493	total: 16.4s	remaining: 1m 36s
73:	learn: 0.3184498	total: 16.6s	remaining: 1m 35s
74:	learn: 0.3166785	total: 16.9s	remaining: 1m 35s
75:	learn: 0.3149042	total: 17.1s	remaining: 1m 35s
76:	learn: 0.3131751	total: 17.3s	remaining: 1m 35s
77:	learn: 0.3114189	total: 17.5s	remaining: 1m 34s
78:	learn: 0.3097345	total: 17.7s	remaining: 1m 34s
79:	learn: 0.3080573	total: 17.9s	remaining: 1m 34s
80:	learn: 0.3064325	total: 18.1s	remaining: 1m 33s
81:	learn: 0.3047943	total: 18.4s	remaining: 1m 33s
82:	learn: 0.3031691	total: 18.6s	remaining: 1m 33s
83:	learn: 0.3015134	total: 18.8s	remaining: 1m 33s
84:	learn: 0.2999757	total: 19s	remaining: 1m 32s
85:	learn: 0.2984427	total: 19.2s	remaining: 1m 32s
86:	learn: 0.2968680	total: 19.4s	remaining: 1m 32s
87:	learn: 0.2953465	total: 19.6s	remaining: 1m 31s
88:	learn: 0.2938528	total: 19.9s	remaining: 1m 31s
89:	learn: 0.2923449	total: 20.1s	remaining: 1m 31s
90:	learn: 0.2908790	total: 20.3s	remaining: 1m 31s
91:	learn: 0.2894099	total: 20.5s	remaining: 1m 30s
92:	learn: 0.2879491	total: 20.7s	remaining: 1m 30s
93:	learn: 0.2864687	total: 20.9s	remaining: 1m 30s
94:	learn: 0.2850491	total: 21.2s	remaining: 1m 30s
95:	learn: 0.2836903	total: 21.4s	remaining: 1m 29s
96:	learn: 0.2822916	total: 21.6s	remaining: 1m 29s
97:	learn: 0.2808709	total: 21.8s	remaining: 1m 29s
98:	learn: 0.2795301	total: 22s	remaining: 1m 29s
99:	learn: 0.2781051	total: 22.2s	remaining: 1m 28s
100:	learn: 0.2767335	total: 22.5s	remaining: 1m 28s
101:	learn: 0.2753571	total: 22.7s	remaining: 1m 28s
102:	learn: 0.2740675	total: 22.9s	remaining: 1m 28s
103:	learn: 0.2727682	total: 23.1s	remaining: 1m 27s
104:	learn: 0.2714941	total: 23.3s	remaining: 1m 27s
105:	learn: 0.2702319	total: 23.5s	remaining: 1m 27s
106:	learn: 0.2689557	total: 23.7s	remaining: 1m 27s
107:	learn: 0.2676951	total: 24s	remaining: 1m 27s
108:	learn: 0.2664279	total: 24.2s	remaining: 1m 26s
109:	learn: 0.2651738	total: 24.4s	remaining: 1m 26s
110:	learn: 0.2639196	total: 24.7s	remaining: 1m 26s
111:	learn: 0.2626705	total: 24.9s	remaining: 1m 26s
112:	learn: 0.2614717	total: 25.1s	remaining: 1m 25s
113:	learn: 0.2602526	total: 25.3s	remaining: 1m 25s
114:	learn: 0.2590971	total: 25.5s	remaining: 1m 25s
115:	learn: 0.2579269	total: 25.8s	remaining: 1m 25s
116:	learn: 0.2567443	total: 26s	remaining: 1m 25s
117:	learn: 0.2556166	total: 26.2s	remaining: 1m 24s
118:	learn: 0.2544222	total: 26.4s	remaining: 1m 24s
119:	learn: 0.2532452	total: 26.6s	remaining: 1m 24s
120:	learn: 0.2521054	total: 26.9s	remaining: 1m 24s
121:	learn: 0.2509718	total: 27.1s	remaining: 1m 23s
122:	learn: 0.2498550	total: 27.3s	remaining: 1m 23s
123:	learn: 0.2487515	total: 27.5s	remaining: 1m 23s
124:	learn: 0.2476299	total: 27.7s	remaining: 1m 23s
125:	learn: 0.2465345	total: 27.9s	remaining: 1m 22s
126:	learn: 0.2454579	total: 28.1s	remaining: 1m 22s
127:	learn: 0.2444019	total: 28.4s	remaining: 1m 22s
128:	learn: 0.2433386	total: 28.6s	remaining: 1m 22s
129:	learn: 0.2422716	total: 28.8s	remaining: 1m 21s
130:	learn: 0.2411878	total: 29s	remaining: 1m 21s
131:	learn: 0.2401369	total: 29.2s	remaining: 1m 21s
132:	learn: 0.2391185	total: 29.4s	remaining: 1m 21s
133:	learn: 0.2381070	total: 29.6s	remaining: 1m 20s
134:	learn: 0.2370588	total: 29.8s	remaining: 1m 20s
135:	learn: 0.2360291	total: 30s	remaining: 1m 20s
136:	learn: 0.2350087	total: 30.2s	remaining: 1m 20s
137:	learn: 0.2340184	total: 30.5s	remaining: 1m 19s
138:	learn: 0.2330400	total: 30.7s	remaining: 1m 19s
139:	learn: 0.2320297	total: 30.9s	remaining: 1m 19s
