100:	learn: 0.4505054	total: 52.7s	remaining: 3m 28s
101:	learn: 0.4504398	total: 53.2s	remaining: 3m 27s
102:	learn: 0.4503390	total: 53.6s	remaining: 3m 26s
103:	learn: 0.4502309	total: 54.1s	remaining: 3m 26s
104:	learn: 0.4501739	total: 54.6s	remaining: 3m 25s
105:	learn: 0.4501125	total: 55.1s	remaining: 3m 24s
106:	learn: 0.4500554	total: 55.6s	remaining: 3m 24s
107:	learn: 0.4500106	total: 56.1s	remaining: 3m 23s
108:	learn: 0.4499457	total: 56.6s	remaining: 3m 23s
109:	learn: 0.4498796	total: 57.1s	remaining: 3m 22s
110:	learn: 0.4498150	total: 57.6s	remaining: 3m 21s
111:	learn: 0.4497566	total: 58.1s	remaining: 3m 21s
112:	learn: 0.4496726	total: 58.6s	remaining: 3m 20s
113:	learn: 0.4496091	total: 59.1s	remaining: 3m 19s
114:	learn: 0.4495559	total: 59.6s	remaining: 3m 19s
115:	learn: 0.4495058	total: 1m	remaining: 3m 18s
116:	learn: 0.4494587	total: 1m	remaining: 3m 18s
117:	learn: 0.4494109	total: 1m	remaining: 3m 17s
118:	learn: 0.4493284	total: 1m 1s	remaining: 3m 16s
119:	learn: 0.4492685	total: 1m 1s	remaining: 3m 16s
120:	learn: 0.4492223	total: 1m 2s	remaining: 3m 15s
121:	learn: 0.4491786	total: 1m 2s	remaining: 3m 15s
122:	learn: 0.4491173	total: 1m 3s	remaining: 3m 14s
123:	learn: 0.4490311	total: 1m 4s	remaining: 3m 14s
124:	learn: 0.4489883	total: 1m 4s	remaining: 3m 14s
125:	learn: 0.4489242	total: 1m 5s	remaining: 3m 13s
126:	learn: 0.4488567	total: 1m 5s	remaining: 3m 12s
127:	learn: 0.4488038	total: 1m 6s	remaining: 3m 12s
128:	learn: 0.4487308	total: 1m 6s	remaining: 3m 11s
129:	learn: 0.4486936	total: 1m 7s	remaining: 3m 11s
130:	learn: 0.4486282	total: 1m 7s	remaining: 3m 10s
131:	learn: 0.4485810	total: 1m 8s	remaining: 3m 9s
132:	learn: 0.4485437	total: 1m 8s	remaining: 3m 9s
133:	learn: 0.4484798	total: 1m 9s	remaining: 3m 8s
134:	learn: 0.4484266	total: 1m 9s	remaining: 3m 8s
135:	learn: 0.4483847	total: 1m 10s	remaining: 3m 7s
136:	learn: 0.4483397	total: 1m 10s	remaining: 3m 6s
137:	learn: 0.4483006	total: 1m 10s	remaining: 3m 6s
138:	learn: 0.4482623	total: 1m 11s	remaining: 3m 5s
139:	learn: 0.4482145	total: 1m 12s	remaining: 3m 5s
140:	learn: 0.4481623	total: 1m 12s	remaining: 3m 4s
141:	learn: 0.4481183	total: 1m 12s	remaining: 3m 3s
142:	learn: 0.4480771	total: 1m 13s	remaining: 3m 3s
143:	learn: 0.4480182	total: 1m 13s	remaining: 3m 2s
144:	learn: 0.4479800	total: 1m 14s	remaining: 3m 2s
145:	learn: 0.4479380	total: 1m 14s	remaining: 3m 1s
146:	learn: 0.4478747	total: 1m 15s	remaining: 3m
147:	learn: 0.4478299	total: 1m 15s	remaining: 3m
148:	learn: 0.4477921	total: 1m 16s	remaining: 2m 59s
149:	learn: 0.4477409	total: 1m 16s	remaining: 2m 59s
150:	learn: 0.4476901	total: 1m 17s	remaining: 2m 58s
151:	learn: 0.4476519	total: 1m 17s	remaining: 2m 57s
152:	learn: 0.4476142	total: 1m 18s	remaining: 2m 57s
153:	learn: 0.4475778	total: 1m 18s	remaining: 2m 56s
154:	learn: 0.4475223	total: 1m 19s	remaining: 2m 56s
155:	learn: 0.4474904	total: 1m 19s	remaining: 2m 56s
156:	learn: 0.4474562	total: 1m 20s	remaining: 2m 55s
157:	learn: 0.4474068	total: 1m 20s	remaining: 2m 54s
158:	learn: 0.4473664	total: 1m 21s	remaining: 2m 54s
159:	learn: 0.4473259	total: 1m 21s	remaining: 2m 53s
160:	learn: 0.4472898	total: 1m 22s	remaining: 2m 52s
161:	learn: 0.4472467	total: 1m 22s	remaining: 2m 52s
162:	learn: 0.4472116	total: 1m 23s	remaining: 2m 51s
163:	learn: 0.4471731	total: 1m 23s	remaining: 2m 51s
164:	learn: 0.4471287	total: 1m 24s	remaining: 2m 50s
165:	learn: 0.4470944	total: 1m 24s	remaining: 2m 50s
166:	learn: 0.4470558	total: 1m 25s	remaining: 2m 49s
167:	learn: 0.4470096	total: 1m 25s	remaining: 2m 49s
168:	learn: 0.4469679	total: 1m 26s	remaining: 2m 48s
169:	learn: 0.4469264	total: 1m 26s	remaining: 2m 47s
170:	learn: 0.4468918	total: 1m 26s	remaining: 2m 47s
171:	learn: 0.4468581	total: 1m 27s	remaining: 2m 46s
172:	learn: 0.4468153	total: 1m 27s	remaining: 2m 45s
173:	learn: 0.4467731	total: 1m 28s	remaining: 2m 44s
174:	learn: 0.4467334	total: 1m 28s	remaining: 2m 44s
175:	learn: 0.4467018	total: 1m 28s	remaining: 2m 43s
176:	learn: 0.4466688	total: 1m 29s	remaining: 2m 43s
177:	learn: 0.4466339	total: 1m 29s	remaining: 2m 42s
178:	learn: 0.4466032	total: 1m 30s	remaining: 2m 42s
179:	learn: 0.4465529	total: 1m 30s	remaining: 2m 41s
180:	learn: 0.4465053	total: 1m 31s	remaining: 2m 40s
181:	learn: 0.4464688	total: 1m 31s	remaining: 2m 40s
182:	learn: 0.4464308	total: 1m 32s	remaining: 2m 39s
183:	learn: 0.4464000	total: 1m 32s	remaining: 2m 39s
184:	learn: 0.4463637	total: 1m 33s	remaining: 2m 38s
185:	learn: 0.4463306	total: 1m 33s	remaining: 2m 37s
186:	learn: 0.4462968	total: 1m 34s	remaining: 2m 37s
187:	learn: 0.4462604	total: 1m 34s	remaining: 2m 36s
188:	learn: 0.4462144	total: 1m 34s	remaining: 2m 36s
189:	learn: 0.4461788	total: 1m 35s	remaining: 2m 35s
190:	learn: 0.4461403	total: 1m 35s	remaining: 2m 34s
191:	learn: 0.4461085	total: 1m 36s	remaining: 2m 34s
192:	learn: 0.4460754	total: 1m 36s	remaining: 2m 33s
193:	learn: 0.4460464	total: 1m 37s	remaining: 2m 33s
194:	learn: 0.4460161	total: 1m 37s	remaining: 2m 32s
195:	learn: 0.4459825	total: 1m 37s	remaining: 2m 31s
196:	learn: 0.4459452	total: 1m 38s	remaining: 2m 31s
197:	learn: 0.4459144	total: 1m 38s	remaining: 2m 30s
198:	learn: 0.4458871	total: 1m 39s	remaining: 2m 29s
199:	learn: 0.4458600	total: 1m 39s	remaining: 2m 29s
200:	learn: 0.4458272	total: 1m 40s	remaining: 2m 28s
201:	learn: 0.4458035	total: 1m 40s	remaining: 2m 28s
202:	learn: 0.4457773	total: 1m 40s	remaining: 2m 27s
203:	learn: 0.4457451	total: 1m 41s	remaining: 2m 26s
204:	learn: 0.4457167	total: 1m 41s	remaining: 2m 26s
205:	learn: 0.4456817	total: 1m 41s	remaining: 2m 25s
206:	learn: 0.4456559	total: 1m 42s	remaining: 2m 24s
207:	learn: 0.4456311	total: 1m 42s	remaining: 2m 24s
208:	learn: 0.4455995	total: 1m 43s	remaining: 2m 23s
209:	learn: 0.4455720	total: 1m 43s	remaining: 2m 22s
210:	learn: 0.4455447	total: 1m 43s	remaining: 2m 22s
211:	learn: 0.4455219	total: 1m 44s	remaining: 2m 21s
212:	learn: 0.4454858	total: 1m 44s	remaining: 2m 21s
213:	learn: 0.4454572	total: 1m 45s	remaining: 2m 20s
214:	learn: 0.4454323	total: 1m 45s	remaining: 2m 19s
215:	learn: 0.4454003	total: 1m 46s	remaining: 2m 19s
216:	learn: 0.4453767	total: 1m 46s	remaining: 2m 18s
217:	learn: 0.4453479	total: 1m 46s	remaining: 2m 18s
218:	learn: 0.4453146	total: 1m 47s	remaining: 2m 17s
219:	learn: 0.4452916	total: 1m 47s	remaining: 2m 17s
220:	learn: 0.4452684	total: 1m 48s	remaining: 2m 16s
221:	learn: 0.4452443	total: 1m 48s	remaining: 2m 15s
222:	learn: 0.4452202	total: 1m 48s	remaining: 2m 15s
223:	learn: 0.4451971	total: 1m 49s	remaining: 2m 14s
224:	learn: 0.4451714	total: 1m 49s	remaining: 2m 13s
225:	learn: 0.4451443	total: 1m 50s	remaining: 2m 13s
226:	learn: 0.4451246	total: 1m 50s	remaining: 2m 12s
227:	learn: 0.4450982	total: 1m 50s	remaining: 2m 12s
228:	learn: 0.4450738	total: 1m 51s	remaining: 2m 11s
229:	learn: 0.4450516	total: 1m 51s	remaining: 2m 11s
230:	learn: 0.4450157	total: 1m 52s	remaining: 2m 10s
231:	learn: 0.4449947	total: 1m 52s	remaining: 2m 9s
232:	learn: 0.4449682	total: 1m 52s	remaining: 2m 9s
233:	learn: 0.4449471	total: 1m 53s	remaining: 2m 8s
234:	learn: 0.4449273	total: 1m 53s	remaining: 2m 7s
235:	learn: 0.4449046	total: 1m 53s	remaining: 2m 7s
236:	learn: 0.4448751	total: 1m 54s	remaining: 2m 6s
237:	learn: 0.4448455	total: 1m 54s	remaining: 2m 6s
238:	learn: 0.4448188	total: 1m 55s	remaining: 2m 5s
239:	learn: 0.4448031	total: 1m 55s	remaining: 2m 5s
240:	learn: 0.4447861	total: 1m 55s	remaining: 2m 4s
241:	learn: 0.4447613	total: 1m 56s	remaining: 2m 3s
242:	learn: 0.4447391	total: 1m 56s	remaining: 2m 3s
243:	learn: 0.4447209	total: 1m 56s	remaining: 2m 2s
244:	learn: 0.4446958	total: 1m 57s	remaining: 2m 1s
245:	learn: 0.4446679	total: 1m 57s	remaining: 2m 1s
246:	learn: 0.4446442	total: 1m 58s	remaining: 2m 1s
247:	learn: 0.4446226	total: 1m 58s	remaining: 2m
248:	learn: 0.4446001	total: 1m 58s	remaining: 1m 59s
249:	learn: 0.4445718	total: 1m 59s	remaining: 1m 59s
250:	learn: 0.4445512	total: 1m 59s	remaining: 1m 58s
