71:	test: 0.9330776	best: 0.9366337 (51)	total: 7m 35s	remaining: 45m 7s
72:	test: 0.9326364	best: 0.9366337 (51)	total: 7m 43s	remaining: 45m 8s
73:	test: 0.9326175	best: 0.9366337 (51)	total: 7m 51s	remaining: 45m 12s
74:	test: 0.9326685	best: 0.9366337 (51)	total: 7m 54s	remaining: 44m 50s
75:	test: 0.9326722	best: 0.9366337 (51)	total: 7m 58s	remaining: 44m 28s
76:	test: 0.9326769	best: 0.9366337 (51)	total: 8m 2s	remaining: 44m 8s
77:	test: 0.9327806	best: 0.9366337 (51)	total: 8m 6s	remaining: 43m 53s
78:	test: 0.9328470	best: 0.9366337 (51)	total: 8m 13s	remaining: 43m 49s
79:	test: 0.9325381	best: 0.9366337 (51)	total: 8m 17s	remaining: 43m 32s
80:	test: 0.9323073	best: 0.9366337 (51)	total: 8m 21s	remaining: 43m 14s
81:	test: 0.9319366	best: 0.9366337 (51)	total: 8m 31s	remaining: 43m 26s
82:	test: 0.9319350	best: 0.9366337 (51)	total: 8m 35s	remaining: 43m 11s
83:	test: 0.9319552	best: 0.9366337 (51)	total: 8m 45s	remaining: 43m 22s
84:	test: 0.9320671	best: 0.9366337 (51)	total: 8m 56s	remaining: 43m 38s
85:	test: 0.9320675	best: 0.9366337 (51)	total: 9m 3s	remaining: 43m 36s
86:	test: 0.9318163	best: 0.9366337 (51)	total: 9m 8s	remaining: 43m 24s
87:	test: 0.9318249	best: 0.9366337 (51)	total: 9m 12s	remaining: 43m 7s
88:	test: 0.9317854	best: 0.9366337 (51)	total: 9m 19s	remaining: 43m 4s
89:	test: 0.9317934	best: 0.9366337 (51)	total: 9m 23s	remaining: 42m 46s
90:	test: 0.9317893	best: 0.9366337 (51)	total: 9m 32s	remaining: 42m 53s
91:	test: 0.9317993	best: 0.9366337 (51)	total: 9m 36s	remaining: 42m 35s
92:	test: 0.9318456	best: 0.9366337 (51)	total: 9m 43s	remaining: 42m 35s
93:	test: 0.9318377	best: 0.9366337 (51)	total: 9m 47s	remaining: 42m 15s
94:	test: 0.9318322	best: 0.9366337 (51)	total: 9m 52s	remaining: 42m 3s
95:	test: 0.9318192	best: 0.9366337 (51)	total: 9m 59s	remaining: 42m 4s
96:	test: 0.9318113	best: 0.9366337 (51)	total: 10m 7s	remaining: 42m 4s
97:	test: 0.9317568	best: 0.9366337 (51)	total: 10m 10s	remaining: 41m 44s
98:	test: 0.9319563	best: 0.9366337 (51)	total: 10m 18s	remaining: 41m 46s
99:	test: 0.9319019	best: 0.9366337 (51)	total: 10m 22s	remaining: 41m 30s
100:	test: 0.9320117	best: 0.9366337 (51)	total: 10m 27s	remaining: 41m 19s
101:	test: 0.9320468	best: 0.9366337 (51)	total: 10m 31s	remaining: 41m 3s
102:	test: 0.9320535	best: 0.9366337 (51)	total: 10m 39s	remaining: 41m 4s
103:	test: 0.9321286	best: 0.9366337 (51)	total: 10m 45s	remaining: 40m 57s
104:	test: 0.9321353	best: 0.9366337 (51)	total: 10m 48s	remaining: 40m 38s
105:	test: 0.9321075	best: 0.9366337 (51)	total: 10m 53s	remaining: 40m 28s
106:	test: 0.9321902	best: 0.9366337 (51)	total: 10m 59s	remaining: 40m 21s
107:	test: 0.9321863	best: 0.9366337 (51)	total: 11m 5s	remaining: 40m 16s
108:	test: 0.9321865	best: 0.9366337 (51)	total: 11m 8s	remaining: 39m 59s
109:	test: 0.9321231	best: 0.9366337 (51)	total: 11m 14s	remaining: 39m 51s
110:	test: 0.9321249	best: 0.9366337 (51)	total: 11m 17s	remaining: 39m 34s
111:	test: 0.9320412	best: 0.9366337 (51)	total: 11m 22s	remaining: 39m 25s
112:	test: 0.9320451	best: 0.9366337 (51)	total: 11m 26s	remaining: 39m 10s
113:	test: 0.9321013	best: 0.9366337 (51)	total: 11m 30s	remaining: 38m 58s
114:	test: 0.9320393	best: 0.9366337 (51)	total: 11m 38s	remaining: 38m 58s
115:	test: 0.9319078	best: 0.9366337 (51)	total: 11m 41s	remaining: 38m 42s
116:	test: 0.9318238	best: 0.9366337 (51)	total: 11m 44s	remaining: 38m 26s
117:	test: 0.9317653	best: 0.9366337 (51)	total: 11m 48s	remaining: 38m 14s
118:	test: 0.9322901	best: 0.9366337 (51)	total: 11m 53s	remaining: 38m 5s
119:	test: 0.9322889	best: 0.9366337 (51)	total: 11m 57s	remaining: 37m 51s
120:	test: 0.9322797	best: 0.9366337 (51)	total: 12m 1s	remaining: 37m 39s
121:	test: 0.9322926	best: 0.9366337 (51)	total: 12m 5s	remaining: 37m 26s
122:	test: 0.9323850	best: 0.9366337 (51)	total: 12m 10s	remaining: 37m 18s
123:	test: 0.9321652	best: 0.9366337 (51)	total: 12m 19s	remaining: 37m 23s
124:	test: 0.9321669	best: 0.9366337 (51)	total: 12m 26s	remaining: 37m 19s
125:	test: 0.9323696	best: 0.9366337 (51)	total: 12m 39s	remaining: 37m 34s
126:	test: 0.9322960	best: 0.9366337 (51)	total: 12m 44s	remaining: 37m 26s
127:	test: 0.9322582	best: 0.9366337 (51)	total: 12m 50s	remaining: 37m 20s
128:	test: 0.9319831	best: 0.9366337 (51)	total: 12m 53s	remaining: 37m 3s
129:	test: 0.9319568	best: 0.9366337 (51)	total: 12m 56s	remaining: 36m 50s
130:	test: 0.9319357	best: 0.9366337 (51)	total: 12m 59s	remaining: 36m 36s
131:	test: 0.9317413	best: 0.9366337 (51)	total: 13m 4s	remaining: 36m 27s
132:	test: 0.9317354	best: 0.9366337 (51)	total: 13m 11s	remaining: 36m 25s
133:	test: 0.9317284	best: 0.9366337 (51)	total: 13m 18s	remaining: 36m 21s
134:	test: 0.9317330	best: 0.9366337 (51)	total: 13m 26s	remaining: 36m 21s
135:	test: 0.9317382	best: 0.9366337 (51)	total: 13m 30s	remaining: 36m 8s
136:	test: 0.9315768	best: 0.9366337 (51)	total: 13m 35s	remaining: 35m 59s
137:	test: 0.9315775	best: 0.9366337 (51)	total: 13m 37s	remaining: 35m 43s
138:	test: 0.9316244	best: 0.9366337 (51)	total: 13m 40s	remaining: 35m 30s
139:	test: 0.9315858	best: 0.9366337 (51)	total: 13m 50s	remaining: 35m 34s
140:	test: 0.9315637	best: 0.9366337 (51)	total: 13m 57s	remaining: 35m 32s
141:	test: 0.9316008	best: 0.9366337 (51)	total: 14m 1s	remaining: 35m 22s
142:	test: 0.9317209	best: 0.9366337 (51)	total: 14m 10s	remaining: 35m 22s
143:	test: 0.9317495	best: 0.9366337 (51)	total: 14m 17s	remaining: 35m 18s
144:	test: 0.9317556	best: 0.9366337 (51)	total: 14m 24s	remaining: 35m 15s
145:	test: 0.9316663	best: 0.9366337 (51)	total: 14m 31s	remaining: 35m 13s
146:	test: 0.9316679	best: 0.9366337 (51)	total: 14m 37s	remaining: 35m 8s
147:	test: 0.9316703	best: 0.9366337 (51)	total: 14m 40s	remaining: 34m 53s
148:	test: 0.9316666	best: 0.9366337 (51)	total: 14m 43s	remaining: 34m 41s
149:	test: 0.9316574	best: 0.9366337 (51)	total: 14m 49s	remaining: 34m 35s
150:	test: 0.9316520	best: 0.9366337 (51)	total: 14m 51s	remaining: 34m 21s
151:	test: 0.9316310	best: 0.9366337 (51)	total: 14m 55s	remaining: 34m 10s
152:	test: 0.9316121	best: 0.9366337 (51)	total: 14m 58s	remaining: 33m 56s
153:	test: 0.9316035	best: 0.9366337 (51)	total: 15m 6s	remaining: 33m 57s
154:	test: 0.9316246	best: 0.9366337 (51)	total: 15m 13s	remaining: 33m 53s
155:	test: 0.9316285	best: 0.9366337 (51)	total: 15m 15s	remaining: 33m 39s
156:	test: 0.9315856	best: 0.9366337 (51)	total: 15m 17s	remaining: 33m 25s
157:	test: 0.9315772	best: 0.9366337 (51)	total: 15m 20s	remaining: 33m 12s
158:	test: 0.9315402	best: 0.9366337 (51)	total: 15m 25s	remaining: 33m 5s
159:	test: 0.9315624	best: 0.9366337 (51)	total: 15m 27s	remaining: 32m 51s
160:	test: 0.9315643	best: 0.9366337 (51)	total: 15m 29s	remaining: 32m 38s
161:	test: 0.9315063	best: 0.9366337 (51)	total: 15m 35s	remaining: 32m 32s
162:	test: 0.9315135	best: 0.9366337 (51)	total: 15m 40s	remaining: 32m 24s
163:	test: 0.9314988	best: 0.9366337 (51)	total: 15m 46s	remaining: 32m 19s
164:	test: 0.9315383	best: 0.9366337 (51)	total: 15m 50s	remaining: 32m 9s
165:	test: 0.9316018	best: 0.9366337 (51)	total: 15m 53s	remaining: 31m 58s
166:	test: 0.9316334	best: 0.9366337 (51)	total: 15m 57s	remaining: 31m 48s
167:	test: 0.9316525	best: 0.9366337 (51)	total: 16m	remaining: 31m 38s
168:	test: 0.9316579	best: 0.9366337 (51)	total: 16m 2s	remaining: 31m 25s
169:	test: 0.9311930	best: 0.9366337 (51)	total: 16m 8s	remaining: 31m 20s
170:	test: 0.9311976	best: 0.9366337 (51)	total: 16m 10s	remaining: 31m 7s
171:	test: 0.9310901	best: 0.9366337 (51)	total: 16m 12s	remaining: 30m 55s
172:	test: 0.9311154	best: 0.9366337 (51)	total: 16m 15s	remaining: 30m 43s
173:	test: 0.9310751	best: 0.9366337 (51)	total: 16m 19s	remaining: 30m 35s
174:	test: 0.9310668	best: 0.9366337 (51)	total: 16m 22s	remaining: 30m 24s
175:	test: 0.9310675	best: 0.9366337 (51)	total: 16m 24s	remaining: 30m 12s
176:	test: 0.9311163	best: 0.9366337 (51)	total: 16m 29s	remaining: 30m 4s
177:	test: 0.9311185	best: 0.9366337 (51)	total: 16m 32s	remaining: 29m 55s
178:	test: 0.9311281	best: 0.9366337 (51)	total: 16m 35s	remaining: 29m 45s
179:	test: 0.9311179	best: 0.9366337 (51)	total: 16m 40s	remaining: 29m 37s
180:	test: 0.9311152	best: 0.9366337 (51)	total: 16m 44s	remaining: 29m 29s
181:	test: 0.9311207	best: 0.9366337 (51)	total: 16m 46s	remaining: 29m 18s
182:	test: 0.9311385	best: 0.9366337 (51)	total: 16m 50s	remaining: 29m 11s
183:	test: 0.9310472	best: 0.9366337 (51)	total: 16m 57s	remaining: 29m 6s
184:	test: 0.9310509	best: 0.9366337 (51)	total: 16m 59s	remaining: 28m 56s
185:	test: 0.9310505	best: 0.9366337 (51)	total: 17m 2s	remaining: 28m 45s
186:	test: 0.9310538	best: 0.9366337 (51)	total: 17m 4s	remaining: 28m 35s
