71:	test: 0.9343798	best: 0.9553908 (24)	total: 8m 33s	remaining: 50m 55s
72:	test: 0.9343567	best: 0.9553908 (24)	total: 8m 36s	remaining: 50m 23s
73:	test: 0.9343832	best: 0.9553908 (24)	total: 8m 42s	remaining: 50m 6s
74:	test: 0.9341787	best: 0.9553908 (24)	total: 8m 47s	remaining: 49m 47s
75:	test: 0.9342934	best: 0.9553908 (24)	total: 8m 53s	remaining: 49m 39s
76:	test: 0.9342549	best: 0.9553908 (24)	total: 9m	remaining: 49m 31s
77:	test: 0.9342237	best: 0.9553908 (24)	total: 9m 5s	remaining: 49m 12s
78:	test: 0.9341996	best: 0.9553908 (24)	total: 9m 14s	remaining: 49m 15s
79:	test: 0.9341125	best: 0.9553908 (24)	total: 9m 25s	remaining: 49m 27s
80:	test: 0.9341357	best: 0.9553908 (24)	total: 9m 28s	remaining: 48m 58s
81:	test: 0.9341640	best: 0.9553908 (24)	total: 9m 37s	remaining: 49m 5s
82:	test: 0.9341676	best: 0.9553908 (24)	total: 9m 45s	remaining: 48m 59s
83:	test: 0.9342140	best: 0.9553908 (24)	total: 9m 51s	remaining: 48m 50s
84:	test: 0.9342062	best: 0.9553908 (24)	total: 9m 56s	remaining: 48m 32s
85:	test: 0.9342078	best: 0.9553908 (24)	total: 10m 4s	remaining: 48m 31s
86:	test: 0.9342044	best: 0.9553908 (24)	total: 10m 9s	remaining: 48m 13s
87:	test: 0.9341819	best: 0.9553908 (24)	total: 10m 13s	remaining: 47m 50s
88:	test: 0.9341399	best: 0.9553908 (24)	total: 10m 18s	remaining: 47m 36s
89:	test: 0.9341689	best: 0.9553908 (24)	total: 10m 28s	remaining: 47m 41s
90:	test: 0.9342111	best: 0.9553908 (24)	total: 10m 36s	remaining: 47m 41s
91:	test: 0.9340779	best: 0.9553908 (24)	total: 10m 42s	remaining: 47m 29s
92:	test: 0.9340866	best: 0.9553908 (24)	total: 10m 46s	remaining: 47m 8s
93:	test: 0.9340536	best: 0.9553908 (24)	total: 10m 49s	remaining: 46m 45s
94:	test: 0.9340481	best: 0.9553908 (24)	total: 10m 54s	remaining: 46m 29s
95:	test: 0.9340852	best: 0.9553908 (24)	total: 11m 2s	remaining: 46m 28s
96:	test: 0.9340028	best: 0.9553908 (24)	total: 11m 8s	remaining: 46m 17s
97:	test: 0.9339862	best: 0.9553908 (24)	total: 11m 13s	remaining: 46m 1s
98:	test: 0.9339866	best: 0.9553908 (24)	total: 11m 15s	remaining: 45m 35s
99:	test: 0.9339797	best: 0.9553908 (24)	total: 11m 18s	remaining: 45m 14s
100:	test: 0.9338823	best: 0.9553908 (24)	total: 11m 23s	remaining: 45m
101:	test: 0.9337287	best: 0.9553908 (24)	total: 11m 33s	remaining: 45m 5s
102:	test: 0.9333512	best: 0.9553908 (24)	total: 11m 40s	remaining: 44m 58s
103:	test: 0.9333669	best: 0.9553908 (24)	total: 11m 47s	remaining: 44m 53s
104:	test: 0.9334050	best: 0.9553908 (24)	total: 11m 54s	remaining: 44m 46s
105:	test: 0.9333765	best: 0.9553908 (24)	total: 11m 59s	remaining: 44m 35s
106:	test: 0.9332232	best: 0.9553908 (24)	total: 12m 5s	remaining: 44m 26s
107:	test: 0.9330293	best: 0.9553908 (24)	total: 12m 10s	remaining: 44m 11s
108:	test: 0.9330540	best: 0.9553908 (24)	total: 12m 15s	remaining: 43m 58s
109:	test: 0.9329683	best: 0.9553908 (24)	total: 12m 25s	remaining: 44m 1s
110:	test: 0.9326207	best: 0.9553908 (24)	total: 12m 31s	remaining: 43m 53s
111:	test: 0.9325493	best: 0.9553908 (24)	total: 12m 36s	remaining: 43m 39s
112:	test: 0.9327042	best: 0.9553908 (24)	total: 12m 47s	remaining: 43m 47s
113:	test: 0.9327404	best: 0.9553908 (24)	total: 12m 58s	remaining: 43m 55s
114:	test: 0.9322295	best: 0.9553908 (24)	total: 13m 3s	remaining: 43m 43s
115:	test: 0.9322225	best: 0.9553908 (24)	total: 13m 8s	remaining: 43m 30s
116:	test: 0.9322209	best: 0.9553908 (24)	total: 13m 10s	remaining: 43m 8s
117:	test: 0.9321619	best: 0.9553908 (24)	total: 13m 18s	remaining: 43m 4s
118:	test: 0.9321903	best: 0.9553908 (24)	total: 13m 23s	remaining: 42m 52s
119:	test: 0.9320734	best: 0.9553908 (24)	total: 13m 31s	remaining: 42m 48s
120:	test: 0.9320434	best: 0.9553908 (24)	total: 13m 37s	remaining: 42m 40s
121:	test: 0.9320739	best: 0.9553908 (24)	total: 13m 45s	remaining: 42m 39s
122:	test: 0.9319919	best: 0.9553908 (24)	total: 13m 51s	remaining: 42m 27s
123:	test: 0.9320015	best: 0.9553908 (24)	total: 13m 59s	remaining: 42m 26s
124:	test: 0.9319934	best: 0.9553908 (24)	total: 14m 6s	remaining: 42m 18s
125:	test: 0.9319575	best: 0.9553908 (24)	total: 14m 11s	remaining: 42m 6s
126:	test: 0.9319593	best: 0.9553908 (24)	total: 14m 13s	remaining: 41m 46s
127:	test: 0.9318251	best: 0.9553908 (24)	total: 14m 19s	remaining: 41m 38s
128:	test: 0.9315365	best: 0.9553908 (24)	total: 14m 22s	remaining: 41m 19s
129:	test: 0.9315224	best: 0.9553908 (24)	total: 14m 25s	remaining: 41m 3s
130:	test: 0.9313695	best: 0.9553908 (24)	total: 14m 28s	remaining: 40m 46s
131:	test: 0.9313367	best: 0.9553908 (24)	total: 14m 31s	remaining: 40m 29s
132:	test: 0.9313550	best: 0.9553908 (24)	total: 14m 36s	remaining: 40m 18s
133:	test: 0.9313910	best: 0.9553908 (24)	total: 14m 40s	remaining: 40m 5s
134:	test: 0.9313493	best: 0.9553908 (24)	total: 14m 46s	remaining: 39m 56s
135:	test: 0.9313494	best: 0.9553908 (24)	total: 14m 50s	remaining: 39m 44s
136:	test: 0.9312146	best: 0.9553908 (24)	total: 14m 59s	remaining: 39m 44s
137:	test: 0.9312136	best: 0.9553908 (24)	total: 15m 2s	remaining: 39m 26s
138:	test: 0.9310560	best: 0.9553908 (24)	total: 15m 5s	remaining: 39m 12s
139:	test: 0.9304756	best: 0.9553908 (24)	total: 15m 10s	remaining: 39m 2s
140:	test: 0.9304805	best: 0.9553908 (24)	total: 15m 17s	remaining: 38m 56s
141:	test: 0.9304810	best: 0.9553908 (24)	total: 15m 23s	remaining: 38m 48s
142:	test: 0.9303443	best: 0.9553908 (24)	total: 15m 28s	remaining: 38m 38s
143:	test: 0.9303301	best: 0.9553908 (24)	total: 15m 30s	remaining: 38m 21s
144:	test: 0.9303217	best: 0.9553908 (24)	total: 15m 33s	remaining: 38m 4s
145:	test: 0.9302731	best: 0.9553908 (24)	total: 15m 40s	remaining: 38m
146:	test: 0.9302470	best: 0.9553908 (24)	total: 15m 46s	remaining: 37m 52s
147:	test: 0.9300719	best: 0.9553908 (24)	total: 15m 54s	remaining: 37m 50s
148:	test: 0.9300561	best: 0.9553908 (24)	total: 16m 2s	remaining: 37m 47s
149:	test: 0.9300568	best: 0.9553908 (24)	total: 16m 7s	remaining: 37m 37s
150:	test: 0.9298964	best: 0.9553908 (24)	total: 16m 16s	remaining: 37m 37s
151:	test: 0.9298940	best: 0.9553908 (24)	total: 16m 21s	remaining: 37m 26s
152:	test: 0.9298600	best: 0.9553908 (24)	total: 16m 25s	remaining: 37m 15s
153:	test: 0.9301050	best: 0.9553908 (24)	total: 16m 28s	remaining: 37m
154:	test: 0.9300078	best: 0.9553908 (24)	total: 16m 33s	remaining: 36m 51s
155:	test: 0.9300095	best: 0.9553908 (24)	total: 16m 35s	remaining: 36m 35s
156:	test: 0.9300091	best: 0.9553908 (24)	total: 16m 41s	remaining: 36m 27s
157:	test: 0.9299706	best: 0.9553908 (24)	total: 16m 46s	remaining: 36m 18s
158:	test: 0.9298764	best: 0.9553908 (24)	total: 16m 55s	remaining: 36m 18s
159:	test: 0.9298379	best: 0.9553908 (24)	total: 16m 58s	remaining: 36m 3s
160:	test: 0.9298384	best: 0.9553908 (24)	total: 17m	remaining: 35m 48s
161:	test: 0.9298531	best: 0.9553908 (24)	total: 17m 4s	remaining: 35m 37s
162:	test: 0.9298794	best: 0.9553908 (24)	total: 17m 12s	remaining: 35m 34s
163:	test: 0.9298916	best: 0.9553908 (24)	total: 17m 15s	remaining: 35m 21s
164:	test: 0.9300481	best: 0.9553908 (24)	total: 17m 17s	remaining: 35m 7s
165:	test: 0.9299389	best: 0.9553908 (24)	total: 17m 20s	remaining: 34m 54s
166:	test: 0.9299195	best: 0.9553908 (24)	total: 17m 23s	remaining: 34m 39s
167:	test: 0.9303909	best: 0.9553908 (24)	total: 17m 28s	remaining: 34m 32s
168:	test: 0.9304219	best: 0.9553908 (24)	total: 17m 34s	remaining: 34m 25s
169:	test: 0.9304106	best: 0.9553908 (24)	total: 17m 43s	remaining: 34m 23s
170:	test: 0.9303988	best: 0.9553908 (24)	total: 17m 47s	remaining: 34m 14s
171:	test: 0.9304170	best: 0.9553908 (24)	total: 17m 52s	remaining: 34m 5s
172:	test: 0.9303608	best: 0.9553908 (24)	total: 17m 55s	remaining: 33m 53s
173:	test: 0.9303926	best: 0.9553908 (24)	total: 18m 3s	remaining: 33m 49s
174:	test: 0.9303789	best: 0.9553908 (24)	total: 18m 8s	remaining: 33m 41s
175:	test: 0.9303806	best: 0.9553908 (24)	total: 18m 11s	remaining: 33m 29s
176:	test: 0.9303664	best: 0.9553908 (24)	total: 18m 15s	remaining: 33m 18s
177:	test: 0.9303717	best: 0.9553908 (24)	total: 18m 18s	remaining: 33m 6s
178:	test: 0.9301784	best: 0.9553908 (24)	total: 18m 23s	remaining: 32m 58s
179:	test: 0.9302071	best: 0.9553908 (24)	total: 18m 27s	remaining: 32m 48s
180:	test: 0.9301757	best: 0.9553908 (24)	total: 18m 30s	remaining: 32m 37s
181:	test: 0.9300478	best: 0.9553908 (24)	total: 18m 36s	remaining: 32m 31s
182:	test: 0.9300830	best: 0.9553908 (24)	total: 18m 40s	remaining: 32m 20s
183:	test: 0.9300869	best: 0.9553908 (24)	total: 18m 43s	remaining: 32m 8s
184:	test: 0.9300743	best: 0.9553908 (24)	total: 18m 47s	remaining: 31m 59s
185:	test: 0.9300600	best: 0.9553908 (24)	total: 18m 49s	remaining: 31m 46s
186:	test: 0.9300504	best: 0.9553908 (24)	total: 18m 52s	remaining: 31m 35s
187:	test: 0.9300691	best: 0.9553908 (24)	total: 18m 56s	remaining: 31m 26s
188:	test: 0.9305795	best: 0.9553908 (24)	total: 19m	remaining: 31m 16s
189:	test: 0.9305890	best: 0.9553908 (24)	total: 19m 5s	remaining: 31m 8s
190:	test: 0.9305930	best: 0.9553908 (24)	total: 19m 12s	remaining: 31m 4s
191:	test: 0.9306216	best: 0.9553908 (24)	total: 19m 19s	remaining: 30m 59s
192:	test: 0.9304691	best: 0.9553908 (24)	total: 19m 24s	remaining: 30m 52s
193:	test: 0.9304674	best: 0.9553908 (24)	total: 19m 27s	remaining: 30m 41s
194:	test: 0.9304615	best: 0.9553908 (24)	total: 19m 31s	remaining: 30m 31s
195:	test: 0.9304621	best: 0.9553908 (24)	total: 19m 33s	remaining: 30m 20s
196:	test: 0.9304720	best: 0.9553908 (24)	total: 19m 42s	remaining: 30m 18s
197:	test: 0.9304749	best: 0.9553908 (24)	total: 19m 45s	remaining: 30m 8s
198:	test: 0.9304751	best: 0.9553908 (24)	total: 19m 49s	remaining: 29m 59s
199:	test: 0.9303356	best: 0.9553908 (24)	total: 19m 55s	remaining: 29m 53s
200:	test: 0.9301640	best: 0.9553908 (24)	total: 19m 59s	remaining: 29m 43s
201:	test: 0.9301504	best: 0.9553908 (24)	total: 20m 2s	remaining: 29m 33s
202:	test: 0.9301510	best: 0.9553908 (24)	total: 20m 4s	remaining: 29m 22s
203:	test: 0.9301985	best: 0.9553908 (24)	total: 20m 8s	remaining: 29m 13s
204:	test: 0.9301706	best: 0.9553908 (24)	total: 20m 11s	remaining: 29m 3s
205:	test: 0.9301642	best: 0.9553908 (24)	total: 20m 16s	remaining: 28m 56s
206:	test: 0.9301741	best: 0.9553908 (24)	total: 20m 19s	remaining: 28m 46s
207:	test: 0.9301694	best: 0.9553908 (24)	total: 20m 22s	remaining: 28m 35s
208:	test: 0.9301571	best: 0.9553908 (24)	total: 20m 24s	remaining: 28m 24s
209:	test: 0.9301850	best: 0.9553908 (24)	total: 20m 26s	remaining: 28m 13s
210:	test: 0.9301843	best: 0.9553908 (24)	total: 20m 32s	remaining: 28m 7s
211:	test: 0.9302038	best: 0.9553908 (24)	total: 20m 35s	remaining: 27m 58s
212:	test: 0.9302135	best: 0.9553908 (24)	total: 20m 38s	remaining: 27m 48s
213:	test: 0.9303268	best: 0.9553908 (24)	total: 20m 43s	remaining: 27m 41s
214:	test: 0.9302948	best: 0.9553908 (24)	total: 20m 45s	remaining: 27m 30s
215:	test: 0.9302830	best: 0.9553908 (24)	total: 20m 47s	remaining: 27m 20s
216:	test: 0.9302763	best: 0.9553908 (24)	total: 20m 50s	remaining: 27m 11s
217:	test: 0.9302760	best: 0.9553908 (24)	total: 20m 52s	remaining: 27m
218:	test: 0.9302613	best: 0.9553908 (24)	total: 20m 56s	remaining: 26m 52s
219:	test: 0.9303192	best: 0.9553908 (24)	total: 20m 59s	remaining: 26m 42s
220:	test: 0.9302992	best: 0.9553908 (24)	total: 21m 4s	remaining: 26m 36s
221:	test: 0.9303014	best: 0.9553908 (24)	total: 21m 7s	remaining: 26m 26s
222:	test: 0.9302708	best: 0.9553908 (24)	total: 21m 11s	remaining: 26m 19s
