72:	test: 0.8283950	best: 0.8283950 (72)	total: 11.8s	remaining: 1m 9s
73:	test: 0.8286023	best: 0.8286023 (73)	total: 12s	remaining: 1m 9s
74:	test: 0.8288593	best: 0.8288593 (74)	total: 12.1s	remaining: 1m 8s
75:	test: 0.8290606	best: 0.8290606 (75)	total: 12.3s	remaining: 1m 8s
76:	test: 0.8292162	best: 0.8292162 (76)	total: 12.4s	remaining: 1m 8s
77:	test: 0.8293735	best: 0.8293735 (77)	total: 12.6s	remaining: 1m 8s
78:	test: 0.8295314	best: 0.8295314 (78)	total: 12.7s	remaining: 1m 7s
79:	test: 0.8297178	best: 0.8297178 (79)	total: 12.9s	remaining: 1m 7s
80:	test: 0.8298721	best: 0.8298721 (80)	total: 13s	remaining: 1m 7s
81:	test: 0.8299993	best: 0.8299993 (81)	total: 13.2s	remaining: 1m 7s
82:	test: 0.8301777	best: 0.8301777 (82)	total: 13.3s	remaining: 1m 7s
83:	test: 0.8303219	best: 0.8303219 (83)	total: 13.5s	remaining: 1m 6s
84:	test: 0.8305307	best: 0.8305307 (84)	total: 13.6s	remaining: 1m 6s
85:	test: 0.8306662	best: 0.8306662 (85)	total: 13.8s	remaining: 1m 6s
86:	test: 0.8307964	best: 0.8307964 (86)	total: 13.9s	remaining: 1m 6s
87:	test: 0.8309075	best: 0.8309075 (87)	total: 14.1s	remaining: 1m 5s
88:	test: 0.8310596	best: 0.8310596 (88)	total: 14.3s	remaining: 1m 5s
89:	test: 0.8311833	best: 0.8311833 (89)	total: 14.4s	remaining: 1m 5s
90:	test: 0.8313065	best: 0.8313065 (90)	total: 14.6s	remaining: 1m 5s
91:	test: 0.8314976	best: 0.8314976 (91)	total: 14.8s	remaining: 1m 5s
92:	test: 0.8316103	best: 0.8316103 (92)	total: 14.9s	remaining: 1m 5s
93:	test: 0.8317203	best: 0.8317203 (93)	total: 15.1s	remaining: 1m 5s
94:	test: 0.8318303	best: 0.8318303 (94)	total: 15.2s	remaining: 1m 4s
95:	test: 0.8319545	best: 0.8319545 (95)	total: 15.4s	remaining: 1m 4s
96:	test: 0.8321155	best: 0.8321155 (96)	total: 15.5s	remaining: 1m 4s
97:	test: 0.8322112	best: 0.8322112 (97)	total: 15.6s	remaining: 1m 4s
98:	test: 0.8323252	best: 0.8323252 (98)	total: 15.8s	remaining: 1m 3s
99:	test: 0.8324409	best: 0.8324409 (99)	total: 15.9s	remaining: 1m 3s
100:	test: 0.8325852	best: 0.8325852 (100)	total: 16.1s	remaining: 1m 3s
101:	test: 0.8326924	best: 0.8326924 (101)	total: 16.3s	remaining: 1m 3s
102:	test: 0.8327865	best: 0.8327865 (102)	total: 16.4s	remaining: 1m 3s
103:	test: 0.8329481	best: 0.8329481 (103)	total: 16.7s	remaining: 1m 3s
104:	test: 0.8330712	best: 0.8330712 (104)	total: 16.8s	remaining: 1m 3s
105:	test: 0.8331995	best: 0.8331995 (105)	total: 17s	remaining: 1m 3s
106:	test: 0.8332753	best: 0.8332753 (106)	total: 17.1s	remaining: 1m 2s
107:	test: 0.8333781	best: 0.8333781 (107)	total: 17.3s	remaining: 1m 2s
