75:	test: 0.6818528	best: 0.6818528 (75)	total: 3.12s	remaining: 17.4s
76:	test: 0.6819523	best: 0.6819523 (76)	total: 3.16s	remaining: 17.4s
77:	test: 0.6820307	best: 0.6820307 (77)	total: 3.21s	remaining: 17.4s
78:	test: 0.6819193	best: 0.6820307 (77)	total: 3.25s	remaining: 17.3s
79:	test: 0.6818589	best: 0.6820307 (77)	total: 3.3s	remaining: 17.3s
80:	test: 0.6827943	best: 0.6827943 (80)	total: 3.37s	remaining: 17.4s
81:	test: 0.6833960	best: 0.6833960 (81)	total: 3.43s	remaining: 17.5s
82:	test: 0.6837274	best: 0.6837274 (82)	total: 3.49s	remaining: 17.5s
83:	test: 0.6838697	best: 0.6838697 (83)	total: 3.54s	remaining: 17.5s
84:	test: 0.6840219	best: 0.6840219 (84)	total: 3.6s	remaining: 17.6s
85:	test: 0.6842530	best: 0.6842530 (85)	total: 3.65s	remaining: 17.6s
86:	test: 0.6843962	best: 0.6843962 (86)	total: 3.7s	remaining: 17.6s
87:	test: 0.6845803	best: 0.6845803 (87)	total: 3.75s	remaining: 17.6s
88:	test: 0.6851816	best: 0.6851816 (88)	total: 3.8s	remaining: 17.6s
89:	test: 0.6852652	best: 0.6852652 (89)	total: 3.85s	remaining: 17.5s
90:	test: 0.6855070	best: 0.6855070 (90)	total: 3.9s	remaining: 17.5s
91:	test: 0.6857764	best: 0.6857764 (91)	total: 3.94s	remaining: 17.5s
92:	test: 0.6858912	best: 0.6858912 (92)	total: 3.98s	remaining: 17.4s
93:	test: 0.6860040	best: 0.6860040 (93)	total: 4.03s	remaining: 17.4s
94:	test: 0.6860814	best: 0.6860814 (94)	total: 4.07s	remaining: 17.4s
95:	test: 0.6863429	best: 0.6863429 (95)	total: 4.12s	remaining: 17.3s
96:	test: 0.6865599	best: 0.6865599 (96)	total: 4.16s	remaining: 17.3s
97:	test: 0.6891678	best: 0.6891678 (97)	total: 4.21s	remaining: 17.3s
98:	test: 0.6904736	best: 0.6904736 (98)	total: 4.25s	remaining: 17.2s
99:	test: 0.6899287	best: 0.6904736 (98)	total: 4.3s	remaining: 17.2s
100:	test: 0.6899443	best: 0.6904736 (98)	total: 4.37s	remaining: 17.2s
101:	test: 0.6953887	best: 0.6953887 (101)	total: 4.44s	remaining: 17.3s
102:	test: 0.6958345	best: 0.6958345 (102)	total: 4.51s	remaining: 17.4s
103:	test: 0.6956255	best: 0.6958345 (102)	total: 4.56s	remaining: 17.4s
104:	test: 0.6960552	best: 0.6960552 (104)	total: 4.61s	remaining: 17.3s
105:	test: 0.6968940	best: 0.6968940 (105)	total: 4.66s	remaining: 17.3s
106:	test: 0.6974475	best: 0.6974475 (106)	total: 4.71s	remaining: 17.3s
107:	test: 0.6977338	best: 0.6977338 (107)	total: 4.75s	remaining: 17.3s
108:	test: 0.6981718	best: 0.6981718 (108)	total: 4.8s	remaining: 17.2s
109:	test: 0.6978601	best: 0.6981718 (108)	total: 4.85s	remaining: 17.2s
110:	test: 0.6979388	best: 0.6981718 (108)	total: 4.9s	remaining: 17.2s
111:	test: 0.6977867	best: 0.6981718 (108)	total: 4.94s	remaining: 17.1s
112:	test: 0.6983185	best: 0.6983185 (112)	total: 5s	remaining: 17.1s
113:	test: 0.6985054	best: 0.6985054 (113)	total: 5.04s	remaining: 17.1s
114:	test: 0.6981153	best: 0.6985054 (113)	total: 5.09s	remaining: 17s
115:	test: 0.6970506	best: 0.6985054 (113)	total: 5.15s	remaining: 17s
