72:	test: 0.9223628	best: 0.9223628 (72)	total: 16.4s	remaining: 1m 35s
73:	test: 0.9227546	best: 0.9227546 (73)	total: 16.6s	remaining: 1m 35s
74:	test: 0.9231884	best: 0.9231884 (74)	total: 16.8s	remaining: 1m 35s
75:	test: 0.9235410	best: 0.9235410 (75)	total: 17s	remaining: 1m 35s
76:	test: 0.9238738	best: 0.9238738 (76)	total: 17.3s	remaining: 1m 34s
77:	test: 0.9242206	best: 0.9242206 (77)	total: 17.5s	remaining: 1m 34s
78:	test: 0.9245855	best: 0.9245855 (78)	total: 17.7s	remaining: 1m 34s
79:	test: 0.9248966	best: 0.9248966 (79)	total: 17.9s	remaining: 1m 34s
80:	test: 0.9252394	best: 0.9252394 (80)	total: 18.1s	remaining: 1m 33s
81:	test: 0.9255934	best: 0.9255934 (81)	total: 18.4s	remaining: 1m 33s
82:	test: 0.9259895	best: 0.9259895 (82)	total: 18.6s	remaining: 1m 33s
83:	test: 0.9263445	best: 0.9263445 (83)	total: 18.8s	remaining: 1m 33s
84:	test: 0.9266697	best: 0.9266697 (84)	total: 19.1s	remaining: 1m 33s
85:	test: 0.9269220	best: 0.9269220 (85)	total: 19.3s	remaining: 1m 32s
86:	test: 0.9271646	best: 0.9271646 (86)	total: 19.5s	remaining: 1m 32s
87:	test: 0.9274250	best: 0.9274250 (87)	total: 19.7s	remaining: 1m 32s
88:	test: 0.9276848	best: 0.9276848 (88)	total: 19.9s	remaining: 1m 32s
89:	test: 0.9279378	best: 0.9279378 (89)	total: 20.2s	remaining: 1m 31s
90:	test: 0.9281601	best: 0.9281601 (90)	total: 20.4s	remaining: 1m 31s
91:	test: 0.9284638	best: 0.9284638 (91)	total: 20.6s	remaining: 1m 31s
92:	test: 0.9287263	best: 0.9287263 (92)	total: 20.9s	remaining: 1m 31s
93:	test: 0.9290105	best: 0.9290105 (93)	total: 21.1s	remaining: 1m 31s
94:	test: 0.9292510	best: 0.9292510 (94)	total: 21.3s	remaining: 1m 30s
95:	test: 0.9295195	best: 0.9295195 (95)	total: 21.5s	remaining: 1m 30s
96:	test: 0.9297421	best: 0.9297421 (96)	total: 21.8s	remaining: 1m 30s
97:	test: 0.9299869	best: 0.9299869 (97)	total: 22s	remaining: 1m 30s
98:	test: 0.9302632	best: 0.9302632 (98)	total: 22.2s	remaining: 1m 29s
99:	test: 0.9304560	best: 0.9304560 (99)	total: 22.5s	remaining: 1m 29s
100:	test: 0.9306924	best: 0.9306924 (100)	total: 22.7s	remaining: 1m 29s
101:	test: 0.9309187	best: 0.9309187 (101)	total: 22.9s	remaining: 1m 29s
102:	test: 0.9310558	best: 0.9310558 (102)	total: 23.1s	remaining: 1m 29s
103:	test: 0.9312671	best: 0.9312671 (103)	total: 23.3s	remaining: 1m 28s
104:	test: 0.9314801	best: 0.9314801 (104)	total: 23.5s	remaining: 1m 28s
105:	test: 0.9317109	best: 0.9317109 (105)	total: 23.8s	remaining: 1m 28s
106:	test: 0.9319148	best: 0.9319148 (106)	total: 24s	remaining: 1m 28s
107:	test: 0.9320909	best: 0.9320909 (107)	total: 24.2s	remaining: 1m 27s
108:	test: 0.9323187	best: 0.9323187 (108)	total: 24.4s	remaining: 1m 27s
109:	test: 0.9324900	best: 0.9324900 (109)	total: 24.6s	remaining: 1m 27s
110:	test: 0.9326851	best: 0.9326851 (110)	total: 24.8s	remaining: 1m 27s
111:	test: 0.9328899	best: 0.9328899 (111)	total: 25s	remaining: 1m 26s
112:	test: 0.9330417	best: 0.9330417 (112)	total: 25.3s	remaining: 1m 26s
113:	test: 0.9332341	best: 0.9332341 (113)	total: 25.5s	remaining: 1m 26s
114:	test: 0.9333815	best: 0.9333815 (114)	total: 25.7s	remaining: 1m 26s
115:	test: 0.9335408	best: 0.9335408 (115)	total: 25.9s	remaining: 1m 25s
116:	test: 0.9336635	best: 0.9336635 (116)	total: 26.2s	remaining: 1m 25s
117:	test: 0.9338835	best: 0.9338835 (117)	total: 26.4s	remaining: 1m 25s
118:	test: 0.9340442	best: 0.9340442 (118)	total: 26.6s	remaining: 1m 25s
119:	test: 0.9342349	best: 0.9342349 (119)	total: 26.8s	remaining: 1m 24s
120:	test: 0.9344440	best: 0.9344440 (120)	total: 27s	remaining: 1m 24s
121:	test: 0.9346400	best: 0.9346400 (121)	total: 27.2s	remaining: 1m 24s
122:	test: 0.9347902	best: 0.9347902 (122)	total: 27.5s	remaining: 1m 24s
123:	test: 0.9349440	best: 0.9349440 (123)	total: 27.7s	remaining: 1m 23s
124:	test: 0.9351030	best: 0.9351030 (124)	total: 27.9s	remaining: 1m 23s
125:	test: 0.9352875	best: 0.9352875 (125)	total: 28.1s	remaining: 1m 23s
126:	test: 0.9354392	best: 0.9354392 (126)	total: 28.3s	remaining: 1m 23s
127:	test: 0.9356010	best: 0.9356010 (127)	total: 28.6s	remaining: 1m 23s
128:	test: 0.9357088	best: 0.9357088 (128)	total: 28.8s	remaining: 1m 22s
129:	test: 0.9358754	best: 0.9358754 (129)	total: 29s	remaining: 1m 22s
130:	test: 0.9360293	best: 0.9360293 (130)	total: 29.2s	remaining: 1m 22s
131:	test: 0.9361748	best: 0.9361748 (131)	total: 29.4s	remaining: 1m 22s
132:	test: 0.9363331	best: 0.9363331 (132)	total: 29.6s	remaining: 1m 21s
133:	test: 0.9364897	best: 0.9364897 (133)	total: 29.8s	remaining: 1m 21s
134:	test: 0.9365872	best: 0.9365872 (134)	total: 30s	remaining: 1m 21s
135:	test: 0.9367380	best: 0.9367380 (135)	total: 30.3s	remaining: 1m 21s
136:	test: 0.9368854	best: 0.9368854 (136)	total: 30.5s	remaining: 1m 20s
137:	test: 0.9370496	best: 0.9370496 (137)	total: 30.7s	remaining: 1m 20s
138:	test: 0.9371731	best: 0.9371731 (138)	total: 30.9s	remaining: 1m 20s
139:	test: 0.9372718	best: 0.9372718 (139)	total: 31.1s	remaining: 1m 20s
140:	test: 0.9373859	best: 0.9373859 (140)	total: 31.3s	remaining: 1m 19s
141:	test: 0.9374886	best: 0.9374886 (141)	total: 31.6s	remaining: 1m 19s
142:	test: 0.9375961	best: 0.9375961 (142)	total: 31.8s	remaining: 1m 19s
143:	test: 0.9377001	best: 0.9377001 (143)	total: 32s	remaining: 1m 19s
144:	test: 0.9378105	best: 0.9378105 (144)	total: 32.2s	remaining: 1m 18s
145:	test: 0.9379203	best: 0.9379203 (145)	total: 32.4s	remaining: 1m 18s
146:	test: 0.9380285	best: 0.9380285 (146)	total: 32.7s	remaining: 1m 18s
147:	test: 0.9381595	best: 0.9381595 (147)	total: 32.9s	remaining: 1m 18s
148:	test: 0.9382709	best: 0.9382709 (148)	total: 33.1s	remaining: 1m 17s
149:	test: 0.9383737	best: 0.9383737 (149)	total: 33.3s	remaining: 1m 17s
150:	test: 0.9384958	best: 0.9384958 (150)	total: 33.5s	remaining: 1m 17s
151:	test: 0.9386272	best: 0.9386272 (151)	total: 33.8s	remaining: 1m 17s
152:	test: 0.9387083	best: 0.9387083 (152)	total: 34s	remaining: 1m 17s
