60:	learn: 8.2003158	test: 9.0524260	best: 9.0524260 (60)	total: 4.5s	remaining: 32.4s
61:	learn: 8.1874756	test: 9.0503520	best: 9.0503520 (61)	total: 4.57s	remaining: 32.3s
62:	learn: 8.1738174	test: 9.0478263	best: 9.0478263 (62)	total: 4.64s	remaining: 32.2s
63:	learn: 8.1603772	test: 9.0459675	best: 9.0459675 (63)	total: 4.7s	remaining: 32s
64:	learn: 8.1483922	test: 9.0440242	best: 9.0440242 (64)	total: 4.77s	remaining: 31.9s
65:	learn: 8.1358965	test: 9.0424709	best: 9.0424709 (65)	total: 4.83s	remaining: 31.8s
66:	learn: 8.1229850	test: 9.0406580	best: 9.0406580 (66)	total: 4.9s	remaining: 31.7s
67:	learn: 8.1109520	test: 9.0374793	best: 9.0374793 (67)	total: 4.96s	remaining: 31.5s
68:	learn: 8.0989881	test: 9.0359200	best: 9.0359200 (68)	total: 5.04s	remaining: 31.5s
69:	learn: 8.0869404	test: 9.0338202	best: 9.0338202 (69)	total: 5.1s	remaining: 31.3s
70:	learn: 8.0751375	test: 9.0326061	best: 9.0326061 (70)	total: 5.17s	remaining: 31.2s
71:	learn: 8.0631515	test: 9.0298427	best: 9.0298427 (71)	total: 5.24s	remaining: 31.1s
72:	learn: 8.0512995	test: 9.0288983	best: 9.0288983 (72)	total: 5.3s	remaining: 31s
73:	learn: 8.0403549	test: 9.0282414	best: 9.0282414 (73)	total: 5.36s	remaining: 30.9s
74:	learn: 8.0287277	test: 9.0253694	best: 9.0253694 (74)	total: 5.43s	remaining: 30.8s
75:	learn: 8.0165464	test: 9.0222931	best: 9.0222931 (75)	total: 5.5s	remaining: 30.7s
76:	learn: 8.0051324	test: 9.0210012	best: 9.0210012 (76)	total: 5.56s	remaining: 30.6s
77:	learn: 7.9938945	test: 9.0202813	best: 9.0202813 (77)	total: 5.63s	remaining: 30.4s
78:	learn: 7.9821642	test: 9.0179454	best: 9.0179454 (78)	total: 5.69s	remaining: 30.3s
79:	learn: 7.9717061	test: 9.0154504	best: 9.0154504 (79)	total: 5.76s	remaining: 30.3s
80:	learn: 7.9607596	test: 9.0131908	best: 9.0131908 (80)	total: 5.83s	remaining: 30.2s
81:	learn: 7.9495422	test: 9.0098860	best: 9.0098860 (81)	total: 5.89s	remaining: 30.1s
82:	learn: 7.9383910	test: 9.0090828	best: 9.0090828 (82)	total: 5.96s	remaining: 29.9s
83:	learn: 7.9274007	test: 9.0074385	best: 9.0074385 (83)	total: 6.03s	remaining: 29.8s
84:	learn: 7.9167882	test: 9.0073345	best: 9.0073345 (84)	total: 6.1s	remaining: 29.8s
85:	learn: 7.9056410	test: 9.0067060	best: 9.0067060 (85)	total: 6.16s	remaining: 29.7s
86:	learn: 7.8946516	test: 9.0056248	best: 9.0056248 (86)	total: 6.23s	remaining: 29.6s
87:	learn: 7.8836719	test: 9.0034155	best: 9.0034155 (87)	total: 6.3s	remaining: 29.5s
88:	learn: 7.8733029	test: 9.0032189	best: 9.0032189 (88)	total: 6.36s	remaining: 29.4s
89:	learn: 7.8620979	test: 9.0010106	best: 9.0010106 (89)	total: 6.43s	remaining: 29.3s
90:	learn: 7.8516369	test: 9.0010496	best: 9.0010106 (89)	total: 6.5s	remaining: 29.2s
91:	learn: 7.8408424	test: 9.0000274	best: 9.0000274 (91)	total: 6.57s	remaining: 29.2s
92:	learn: 7.8311106	test: 8.9995900	best: 8.9995900 (92)	total: 6.64s	remaining: 29s
93:	learn: 7.8211334	test: 8.9998956	best: 8.9995900 (92)	total: 6.71s	remaining: 29s
94:	learn: 7.8109401	test: 8.9987418	best: 8.9987418 (94)	total: 6.78s	remaining: 28.9s
95:	learn: 7.8011179	test: 8.9981307	best: 8.9981307 (95)	total: 6.84s	remaining: 28.8s
96:	learn: 7.7908754	test: 8.9978627	best: 8.9978627 (96)	total: 6.92s	remaining: 28.7s
97:	learn: 7.7806030	test: 8.9966857	best: 8.9966857 (97)	total: 6.98s	remaining: 28.6s
98:	learn: 7.7707075	test: 8.9950182	best: 8.9950182 (98)	total: 7.04s	remaining: 28.5s
99:	learn: 7.7611832	test: 8.9947310	best: 8.9947310 (99)	total: 7.11s	remaining: 28.4s
100:	learn: 7.7517862	test: 8.9950292	best: 8.9947310 (99)	total: 7.18s	remaining: 28.4s
101:	learn: 7.7418962	test: 8.9946336	best: 8.9946336 (101)	total: 7.25s	remaining: 28.3s
102:	learn: 7.7325497	test: 8.9929479	best: 8.9929479 (102)	total: 7.31s	remaining: 28.2s
103:	learn: 7.7232059	test: 8.9923039	best: 8.9923039 (103)	total: 7.38s	remaining: 28.1s
104:	learn: 7.7134249	test: 8.9913569	best: 8.9913569 (104)	total: 7.44s	remaining: 28s
105:	learn: 7.7039915	test: 8.9904462	best: 8.9904462 (105)	total: 7.52s	remaining: 28s
106:	learn: 7.6936275	test: 8.9902367	best: 8.9902367 (106)	total: 7.59s	remaining: 27.9s
107:	learn: 7.6846099	test: 8.9906264	best: 8.9902367 (106)	total: 7.65s	remaining: 27.8s
108:	learn: 7.6748410	test: 8.9893442	best: 8.9893442 (108)	total: 7.72s	remaining: 27.7s
109:	learn: 7.6657413	test: 8.9885006	best: 8.9885006 (109)	total: 7.78s	remaining: 27.6s
110:	learn: 7.6562694	test: 8.9876855	best: 8.9876855 (110)	total: 7.85s	remaining: 27.5s
111:	learn: 7.6469201	test: 8.9873116	best: 8.9873116 (111)	total: 7.92s	remaining: 27.4s
112:	learn: 7.6375260	test: 8.9866298	best: 8.9866298 (112)	total: 7.98s	remaining: 27.3s
113:	learn: 7.6285864	test: 8.9873208	best: 8.9866298 (112)	total: 8.05s	remaining: 27.3s
114:	learn: 7.6195555	test: 8.9866907	best: 8.9866298 (112)	total: 8.12s	remaining: 27.2s
115:	learn: 7.6104124	test: 8.9867225	best: 8.9866298 (112)	total: 8.18s	remaining: 27.1s
116:	learn: 7.6015371	test: 8.9863892	best: 8.9863892 (116)	total: 8.25s	remaining: 27s
117:	learn: 7.5933440	test: 8.9849897	best: 8.9849897 (117)	total: 8.31s	remaining: 26.9s
118:	learn: 7.5840731	test: 8.9859503	best: 8.9849897 (117)	total: 8.38s	remaining: 26.8s
119:	learn: 7.5743098	test: 8.9848302	best: 8.9848302 (119)	total: 8.45s	remaining: 26.8s
