Metric NDCG:type=Base is not implemented on GPU. Will use CPU for metric computation, this could significantly affect learning time
Metric NDCG:top=10;type=Exp is not implemented on GPU. Will use CPU for metric computation, this could significantly affect learning time
70:	test: 0.7787606	best: 0.7787606 (70)	total: 11.6s	remaining: 1m 10s
71:	test: 0.7788463	best: 0.7788463 (71)	total: 11.7s	remaining: 1m 9s
72:	test: 0.7789909	best: 0.7789909 (72)	total: 11.9s	remaining: 1m 9s
73:	test: 0.7790991	best: 0.7790991 (73)	total: 12.1s	remaining: 1m 9s
74:	test: 0.7790271	best: 0.7790991 (73)	total: 12.3s	remaining: 1m 9s
75:	test: 0.7793915	best: 0.7793915 (75)	total: 12.5s	remaining: 1m 9s
76:	test: 0.7794228	best: 0.7794228 (76)	total: 12.7s	remaining: 1m 9s
77:	test: 0.7795432	best: 0.7795432 (77)	total: 12.9s	remaining: 1m 9s
78:	test: 0.7796928	best: 0.7796928 (78)	total: 13.1s	remaining: 1m 9s
79:	test: 0.7797354	best: 0.7797354 (79)	total: 13.3s	remaining: 1m 9s
80:	test: 0.7795641	best: 0.7797354 (79)	total: 13.5s	remaining: 1m 10s
81:	test: 0.7796381	best: 0.7797354 (79)	total: 13.8s	remaining: 1m 10s
82:	test: 0.7797702	best: 0.7797702 (82)	total: 14s	remaining: 1m 10s
83:	test: 0.7798009	best: 0.7798009 (83)	total: 14.2s	remaining: 1m 10s
84:	test: 0.7797985	best: 0.7798009 (83)	total: 14.3s	remaining: 1m 9s
85:	test: 0.7799036	best: 0.7799036 (85)	total: 14.5s	remaining: 1m 9s
86:	test: 0.7797710	best: 0.7799036 (85)	total: 14.6s	remaining: 1m 9s
87:	test: 0.7798519	best: 0.7799036 (85)	total: 14.8s	remaining: 1m 9s
88:	test: 0.7800637	best: 0.7800637 (88)	total: 15s	remaining: 1m 9s
89:	test: 0.7801377	best: 0.7801377 (89)	total: 15.2s	remaining: 1m 9s
90:	test: 0.7805794	best: 0.7805794 (90)	total: 15.3s	remaining: 1m 8s
91:	test: 0.7804530	best: 0.7805794 (90)	total: 15.6s	remaining: 1m 9s
92:	test: 0.7802946	best: 0.7805794 (90)	total: 15.8s	remaining: 1m 9s
93:	test: 0.7804332	best: 0.7805794 (90)	total: 16s	remaining: 1m 9s
94:	test: 0.7804565	best: 0.7805794 (90)	total: 16.2s	remaining: 1m 9s
95:	test: 0.7805579	best: 0.7805794 (90)	total: 16.4s	remaining: 1m 8s
96:	test: 0.7806829	best: 0.7806829 (96)	total: 16.6s	remaining: 1m 9s
97:	test: 0.7809259	best: 0.7809259 (97)	total: 16.8s	remaining: 1m 9s
98:	test: 0.7809865	best: 0.7809865 (98)	total: 17s	remaining: 1m 9s
99:	test: 0.7810959	best: 0.7810959 (99)	total: 17.2s	remaining: 1m 8s
100:	test: 0.7811427	best: 0.7811427 (100)	total: 17.4s	remaining: 1m 8s
101:	test: 0.7814113	best: 0.7814113 (101)	total: 17.5s	remaining: 1m 8s
102:	test: 0.7816483	best: 0.7816483 (102)	total: 17.6s	remaining: 1m 7s
103:	test: 0.7816569	best: 0.7816569 (103)	total: 17.8s	remaining: 1m 7s
104:	test: 0.7815501	best: 0.7816569 (103)	total: 17.9s	remaining: 1m 7s
105:	test: 0.7815697	best: 0.7816569 (103)	total: 18s	remaining: 1m 7s
106:	test: 0.7817542	best: 0.7817542 (106)	total: 18.2s	remaining: 1m 6s
107:	test: 0.7819865	best: 0.7819865 (107)	total: 18.3s	remaining: 1m 6s
108:	test: 0.7821959	best: 0.7821959 (108)	total: 18.5s	remaining: 1m 6s
109:	test: 0.7821842	best: 0.7821959 (108)	total: 18.6s	remaining: 1m 5s
110:	test: 0.7822375	best: 0.7822375 (110)	total: 18.7s	remaining: 1m 5s
111:	test: 0.7821140	best: 0.7822375 (110)	total: 18.9s	remaining: 1m 5s
112:	test: 0.7819086	best: 0.7822375 (110)	total: 19.1s	remaining: 1m 5s
113:	test: 0.7821340	best: 0.7822375 (110)	total: 19.3s	remaining: 1m 5s
114:	test: 0.7822966	best: 0.7822966 (114)	total: 19.5s	remaining: 1m 5s
115:	test: 0.7824964	best: 0.7824964 (115)	total: 19.7s	remaining: 1m 5s
116:	test: 0.7825771	best: 0.7825771 (116)	total: 19.9s	remaining: 1m 5s
117:	test: 0.7826401	best: 0.7826401 (117)	total: 20.2s	remaining: 1m 5s
118:	test: 0.7826667	best: 0.7826667 (118)	total: 20.3s	remaining: 1m 5s
119:	test: 0.7828264	best: 0.7828264 (119)	total: 20.5s	remaining: 1m 4s
120:	test: 0.7829245	best: 0.7829245 (120)	total: 20.6s	remaining: 1m 4s
121:	test: 0.7828930	best: 0.7829245 (120)	total: 20.7s	remaining: 1m 4s
122:	test: 0.7828420	best: 0.7829245 (120)	total: 20.9s	remaining: 1m 3s
123:	test: 0.7829128	best: 0.7829245 (120)	total: 21s	remaining: 1m 3s
124:	test: 0.7830801	best: 0.7830801 (124)	total: 21.1s	remaining: 1m 3s
125:	test: 0.7829821	best: 0.7830801 (124)	total: 21.3s	remaining: 1m 3s
126:	test: 0.7829448	best: 0.7830801 (124)	total: 21.4s	remaining: 1m 2s
127:	test: 0.7830667	best: 0.7830801 (124)	total: 21.6s	remaining: 1m 2s
128:	test: 0.7830847	best: 0.7830847 (128)	total: 21.7s	remaining: 1m 2s
129:	test: 0.7831153	best: 0.7831153 (129)	total: 21.9s	remaining: 1m 2s
130:	test: 0.7832273	best: 0.7832273 (130)	total: 22s	remaining: 1m 1s
131:	test: 0.7831684	best: 0.7832273 (130)	total: 22.1s	remaining: 1m 1s
132:	test: 0.7831981	best: 0.7832273 (130)	total: 22.3s	remaining: 1m 1s
133:	test: 0.7832746	best: 0.7832746 (133)	total: 22.4s	remaining: 1m 1s
134:	test: 0.7833175	best: 0.7833175 (134)	total: 22.5s	remaining: 1m
135:	test: 0.7834660	best: 0.7834660 (135)	total: 22.7s	remaining: 1m
136:	test: 0.7836120	best: 0.7836120 (136)	total: 22.8s	remaining: 1m
137:	test: 0.7836004	best: 0.7836120 (136)	total: 23s	remaining: 1m
138:	test: 0.7834647	best: 0.7836120 (136)	total: 23.1s	remaining: 60s
139:	test: 0.7835421	best: 0.7836120 (136)	total: 23.2s	remaining: 59.7s
140:	test: 0.7834806	best: 0.7836120 (136)	total: 23.4s	remaining: 59.5s
141:	test: 0.7836674	best: 0.7836674 (141)	total: 23.5s	remaining: 59.2s
142:	test: 0.7837185	best: 0.7837185 (142)	total: 23.6s	remaining: 59s
143:	test: 0.7837254	best: 0.7837254 (143)	total: 23.8s	remaining: 58.7s
144:	test: 0.7836646	best: 0.7837254 (143)	total: 23.9s	remaining: 58.5s
145:	test: 0.7838349	best: 0.7838349 (145)	total: 24s	remaining: 58.3s
146:	test: 0.7839827	best: 0.7839827 (146)	total: 24.2s	remaining: 58.1s
147:	test: 0.7839818	best: 0.7839827 (146)	total: 24.3s	remaining: 57.8s
148:	test: 0.7842992	best: 0.7842992 (148)	total: 24.4s	remaining: 57.6s
149:	test: 0.7843708	best: 0.7843708 (149)	total: 24.6s	remaining: 57.4s
150:	test: 0.7845079	best: 0.7845079 (150)	total: 24.7s	remaining: 57.2s
151:	test: 0.7846144	best: 0.7846144 (151)	total: 24.9s	remaining: 56.9s
152:	test: 0.7846891	best: 0.7846891 (152)	total: 25s	remaining: 56.7s
153:	test: 0.7847989	best: 0.7847989 (153)	total: 25.2s	remaining: 56.7s
154:	test: 0.7847287	best: 0.7847989 (153)	total: 25.4s	remaining: 56.6s
155:	test: 0.7847345	best: 0.7847989 (153)	total: 25.6s	remaining: 56.5s
156:	test: 0.7848408	best: 0.7848408 (156)	total: 25.8s	remaining: 56.3s
157:	test: 0.7847808	best: 0.7848408 (156)	total: 25.9s	remaining: 56.1s
158:	test: 0.7850219	best: 0.7850219 (158)	total: 26.1s	remaining: 55.9s
159:	test: 0.7849100	best: 0.7850219 (158)	total: 26.2s	remaining: 55.7s
160:	test: 0.7849103	best: 0.7850219 (158)	total: 26.3s	remaining: 55.4s
161:	test: 0.7849767	best: 0.7850219 (158)	total: 26.5s	remaining: 55.2s
162:	test: 0.7852269	best: 0.7852269 (162)	total: 26.6s	remaining: 55s
163:	test: 0.7853450	best: 0.7853450 (163)	total: 26.8s	remaining: 54.8s
164:	test: 0.7852951	best: 0.7853450 (163)	total: 27s	remaining: 54.8s
165:	test: 0.7851784	best: 0.7853450 (163)	total: 27.2s	remaining: 54.7s
